Date,PAKISTAN SMALL VALUE
2017-05,1000.0
2017-06,888.576549938722
2017-07,909.030377
2017-08,865.713571
2017-09,914.172925
2017-10,888.667925
2017-11,878.836483
2017-12,826.29423
2018-01,898.436579
2018-02,872.547075
2018-03,885.556299
2018-04,892.9016447576421
2018-05,859.2219458317012
2018-06,801.0646875151004
2018-07,803.7142335379688
2018-08,800.7976207982696
2018-09,780.4368300474613
2018-10,761.8205073298607
2018-11,725.2582464969101
2018-12,634.5555765498932
2019-01,719.1841410694424
2019-02,682.646803811437
2019-03,655.1292848555503
2019-04,636.2120334610115
2019-05,607.9493511362308
2019-06,518.8206079555893
2019-07,498.7812841093389
2019-08,473.90522859918855
2019-09,525.4279492635818
2019-10,566.7530974433872
2019-11,645.9575463215858
2019-12,671.5081867139501
2020-01,675.3739370434052
2020-02,612.4368467667166
2020-03,442.11534373832325
2020-04,531.8881590390414
2020-05,508.8584358865726
2020-06,503.36223218068955
2020-07,561.911200446407
2020-08,581.5347726946853
2020-09,567.9309616481979
2020-10,561.8208550630179
2020-11,602.5684042218323
2020-12,630.0490193109259
2021-01,648.70939755404
2021-02,632.5907725732158
2021-03,632.2749822645404
2021-04,640.8214311578704
2021-05,682.1035755046058
2021-06,657.6569736797622
2021-07,639.1146179647699
2021-08,630.6617497081977
2021-09,599.1215877505329
2021-10,642.0751256118616
2021-11,625.3003487932227
