Date,SAUDI ARABIA DOMESTIC SMALL CAP
2002-05,220.81503065955766
2002-06,211.6301231123557
2002-07,217.86828543380437
2002-08,219.7261001796221
2002-09,219.50499242260338
2002-10,215.15712531523258
2002-11,204.77067725440685
2002-12,209.20322028490747
2003-01,212.8323025150394
2003-02,213.93660082544568
2003-03,219.65447222811545
2003-04,233.5092704281111
2003-05,283.7477165547715
2003-06,292.670807610634
2003-07,326.80133915997584
2003-08,350.30393218285616
2003-09,349.8903557716295
2003-10,305.8385090531446
2003-11,336.5791647195318
2003-12,364.00052392092937
2004-01,386.62757125809287
2004-02,414.6347271472437
2004-03,454.35602696781143
2004-04,555.6978535845766
2004-05,545.4446708330103
2004-06,531.581635245873
2004-07,559.9896205877009
2004-08,606.7710205123651
2004-09,619.28131766157
2004-10,579.91551414312
2004-11,635.6981907236044
2004-12,599.4057064114585
2005-01,568.9929764675146
2005-02,625.0009570691769
2005-03,671.0887403557393
2005-04,776.6242670618652
2005-05,1004.1553575206152
2005-06,1216.2760120525722
2005-07,1098.3792672314496
2005-08,1344.8864152823824
2005-09,1521.741611112283
2005-10,1611.6266159214015
2005-11,1745.9344600529528
2005-12,1999.5049221382185
2006-01,2362.000644249839
2006-02,2738.988911302128
2006-03,1419.2803816683586
2006-04,1021.3940688639999
2006-05,1136.689770547629
2006-06,1617.4628201677804
2006-07,1298.105232057659
2006-08,1589.4333032917255
2006-09,1871.0362810216031
2006-10,1423.901179744203
2006-11,831.4065145421785
2006-12,760.5860119623864
2007-01,719.9338474558442
2007-02,865.5577269631768
2007-03,874.7797117988231
2007-04,846.6419270974015
2007-05,848.8878095707552
2007-06,722.518566678709
2007-07,846.6175676812782
2007-08,923.9348222460288
2007-09,897.7602031067187
2007-10,914.7462271306828
2007-11,1000.0
2007-12,1027.5936437913322
2008-01,894.8227613786032
2008-02,950.7041526773818
2008-03,870.3673700318719
2008-04,951.5097157289961
2008-05,933.7929921000429
2008-06,915.3125235197792
2008-07,861.4229891420351
2008-08,842.6575604580007
2008-09,685.7999989343078
2008-10,466.1412144413389
2008-11,414.8719148281085
2008-12,457.9854419809244
2009-01,472.44707940537813
2009-02,457.6208841864044
2009-03,462.8183604562918
2009-04,559.7783772159843
2009-05,583.3093486425935
2009-06,590.0835866574065
2009-07,594.9716827607905
2009-08,566.0804021396461
2009-09,604.4213389823268
2009-10,624.7584288029917
2009-11,621.0154071201013
2009-12,591.1035836748196
2010-01,580.6203846505124
2010-02,591.5189348375611
2010-03,613.677343373463
2010-04,612.3992144430055
2010-05,541.5143196488193
2010-06,538.177354581904
2010-07,547.421904291334
2010-08,528.1571251245633
2010-09,556.3710619446573
2010-10,534.6539789087328
2010-11,533.0084117316281
2010-12,567.4979469156799
2011-01,535.7998188119465
2011-02,512.2535650745815
