Date,IRELAND SMALL CAP
2000-12,100.0
2001-01,107.6520578845091
2001-02,113.31129738992044
2001-03,93.78373809363329
2001-04,101.3336056235972
2001-05,102.10685543540569
2001-06,106.51628660283546
2001-07,107.0079658356113
2001-08,109.10330455735264
2001-09,92.75599333667364
2001-10,99.15908323644238
2001-11,110.45100231463938
2001-12,116.96188489018755
2002-01,114.61760908688147
2002-02,114.49218274089951
2002-03,124.0134299063121
2002-04,133.31571237815143
2002-05,141.66454181756305
2002-06,141.32360972499976
2002-07,129.88020377935104
2002-08,134.99507931232992
2002-09,120.62362731566927
2002-10,128.11486801152904
2002-11,135.14820035558145
2002-12,136.50703449484382
2003-01,154.32828768809952
2003-02,138.2955497400783
2003-03,138.37401512980352
2003-04,152.20609643895995
2003-05,186.85903780729228
2003-06,182.13792820098337
2003-07,178.11354416113423
2003-08,174.81668366535217
2003-09,191.37642889523437
2003-10,204.94076451442152
2003-11,214.98522677790405
2003-12,227.18357485463238
2004-01,240.2036249304675
2004-02,239.19709517078044
2004-03,230.42917196208538
2004-04,227.25842959482276
2004-05,234.22184367182132
2004-06,246.60058856761378
2004-07,238.20111912188963
2004-08,242.20407989133423
2004-09,253.87645135188646
2004-10,270.0017375008285
2004-11,294.1604605384164
2004-12,308.85088159037844
2005-01,313.5519062241808
2005-02,323.6489662564317
2005-03,306.00933315268054
2005-04,300.2748507141707
2005-05,297.26137034522577
2005-06,306.3820244127736
2005-07,319.95302745709887
2005-08,325.15312512493773
2005-09,312.3853214442989
2005-10,298.5074548478351
2005-11,289.8472184329228
2005-12,316.00917123264287
2006-01,333.94568498526587
2006-02,323.7740234879061
2006-03,340.22004400960253
2006-04,356.8250938017978
2006-05,339.04256103835127
2006-06,317.49915507799517
2006-07,323.69278345392627
2006-08,345.56565194824
2006-09,336.96603081374974
2006-10,365.70013623111754
2006-11,385.75940032012494
2006-12,411.3390082952311
2007-01,412.7404976242184
2007-02,428.5341834418099
2007-03,459.24818251474704
2007-04,461.6669482243949
2007-05,466.5703273072902
2007-06,474.12949974639935
2007-07,468.471185427698
2007-08,444.8131273301375
2007-09,456.623414501448
2007-10,504.98930037016487
2007-11,458.4831385547259
2007-12,480.387174768624
2008-01,474.08722177690777
2008-02,491.6286285916577
2008-03,510.6724459156119
2008-04,497.1806158152354
2008-05,510.54093879947703
2008-06,448.0778752238689
2008-07,422.5864861349176
2008-08,415.22974349632494
2008-09,334.1434241978197
2008-10,233.37669984841108
2008-11,195.7757028216722
2008-12,219.52179944007082
2009-01,182.34047371402886
2009-02,147.93847082214813
2009-03,187.07249131847482
2009-04,255.80087532449565
2009-05,364.6777016511065
2009-06,371.7068618977835
2009-07,395.6882416767909
2009-08,507.601448854096
2009-09,592.1942556612712
2009-10,461.7615166531198
2009-11,440.4195742559488
2009-12,416.5700431546773
2010-01,398.1393331227291
2010-02,350.7049798693171
2010-03,412.52186922622815
2010-04,438.75171777987214
2010-05,337.1015693790921
2010-06,333.6356823281607
2010-07,372.0212070568856
2010-08,343.745491674079
2010-09,372.8138745414083
2010-10,382.53749157600873
2010-11,340.20095580762813
2010-12,386.13315081632436
2011-01,385.8093167302196
2011-02,410.98150875113475
2011-03,399.91796528342877
2011-04,430.50450125116726
2011-05,423.012833102531
2011-06,410.20155916575743
2011-07,384.5096563645199
2011-08,352.4137586075914
2011-09,319.72438425856313
2011-10,362.1283398376762
2011-11,334.1470151187984
2011-12,316.10207156864453
2012-01,359.6387369585329
2012-02,417.67815920035196
2012-03,406.3946829535485
2012-04,400.5069483508935
2012-05,346.34046918807013
2012-06,358.5706682134863
2012-07,364.86725790917643
2012-08,383.60714187352977
2012-09,421.93653478245
2012-10,422.7401588360092
2012-11,461.55603994531594
2012-12,491.37086447265636
2013-01,540.8680150942462
2013-02,541.306269412841
2013-03,578.8637687610557
2013-04,590.995074622754
2013-05,616.7950826521188
2013-06,614.863547112785
2013-07,655.5244979314447
2013-08,667.9230974901025
2013-09,703.8844053664754
2013-10,733.5165585037124
2013-11,732.5901778596548
2013-12,765.5217186717135
2014-01,742.8599930132896
2014-02,830.1474152052546
2014-03,778.6713266782459
2014-04,743.4162858801665
2014-05,749.3024984433022
2014-06,717.7760814761051
2014-07,705.9144999479481
2014-08,709.8751100438209
2014-09,694.0446068825834
2014-10,666.5755470553553
2014-11,718.6684505309034
2014-12,729.0652667500153
2015-01,733.9528934642226
2015-02,797.1393304692999
2015-03,807.898250167976
2015-04,852.9623740534662
2015-05,865.4935775056709
2015-06,849.3244211326032
2015-07,899.8384142010882
2015-08,917.1499032684717
2015-09,879.5004279068281
2015-10,917.6473249613568
2015-11,925.6173115773629
2015-12,930.258228399255
2016-01,900.9767225244876
2016-02,914.9749081178927
2016-03,996.7856424914811
2016-04,989.4556581773285
2016-05,1008.6733012612726
2016-06,868.320762959563
2016-07,915.3477642403599
2016-08,966.4652376215456
2016-09,938.2862929154521
2016-10,871.9036321520322
2016-11,893.2588478524596
2016-12,911.2109031860961
2017-01,973.5214370834298
2017-02,1012.9194856030277
2017-03,1021.1868872311011
2017-04,1076.747442
2017-05,1113.499929
2017-06,1129.416673
2017-07,1124.388391
2017-08,1160.70825
2017-09,1222.901778
2017-10,1196.262235
2017-11,1223.896568
2017-12,1270.760724
2018-01,1313.551646
2018-02,1259.350299
2018-03,1319.608114
2018-04,1374.2819784611365
2018-05,1364.729069435849
2018-06,1417.654892987045
2018-07,1354.7782238933241
2018-08,1383.1736491249972
2018-09,1342.0738316758511
2018-10,1265.1299963036054
2018-11,1237.2279707999694
2018-12,1192.1931336216428
2019-01,1302.848244849629
2019-02,1326.7715262558531
2019-03,1317.7704820941622
2019-04,1305.7819915315174
2019-05,1244.7366633531642
2019-06,1261.745871495097
2019-07,1163.5436194504812
2019-08,1095.3029274838539
2019-09,1163.9618911646137
2019-10,1153.2286923412712
2019-11,1154.8845463852272
2019-12,1152.0895296670838
2020-01,1128.5349233666566
2020-02,1035.3345591016603
2020-03,819.9661062511593
2020-04,891.0382434170648
2020-05,929.6351204012356
2020-06,971.5319199864307
2020-07,1030.3032885334455
2020-08,1053.248918303967
2020-09,941.9929989460043
2020-10,985.8740805077276
2020-11,1252.5827019243175
2020-12,1388.0678768487298
2021-01,1310.3202131483388
2021-02,1421.717837523468
2021-03,1602.2996356416875
2021-04,1748.1818174355215
2021-05,1903.1726606091613
2021-06,1691.501692210752
2021-07,1696.1565855298134
2021-08,1861.7508754026735
2021-09,1765.1548775346062
2021-10,1778.9564939118077
2021-11,1585.3336931472672
2021-12,1699.8541082009135
2022-01,1793.9867152571346
2022-02,1769.2449840613758
