Date,UNITED ARAB EMIRATES SMALL CAP
2002-05,125.81238151259849
2002-06,130.47472363364957
2002-07,131.31290372034027
2002-08,140.47044448159306
2002-09,139.35621201142746
2002-10,138.80100797950934
2002-11,143.79392937623584
2002-12,144.90551309888195
2003-01,146.92210111514385
2003-02,145.41681984056225
2003-03,135.71408501537124
2003-04,146.02752885773313
2003-05,148.91970546990322
2003-06,139.1575286074621
2003-07,170.20845870679426
2003-08,183.33271134225325
2003-09,205.1410904974418
2003-10,213.83400483644024
2003-11,214.51069596264153
2003-12,221.7648540961258
2004-01,244.40188443887712
2004-02,250.54174994970145
2004-03,233.42105831757812
2004-04,230.1050300453857
2004-05,247.723021350435
2004-06,250.5240909280636
2004-07,272.2701482464106
2004-08,269.472325971012
2004-09,297.5045655762008
2004-10,279.18340674656145
2004-11,304.6932931996725
2004-12,366.85241596404865
2005-01,387.59383867536167
2005-02,459.64717864425495
2005-03,537.2522517503359
2005-04,776.4316682830355
2005-05,840.3808048036371
2005-06,1105.767652233788
2005-07,928.2653397328658
2005-08,1202.640275742359
2005-09,1285.8976590144102
2005-10,1339.920970650315
2005-11,1276.996508406772
2005-12,1196.1422706716878
2006-01,1140.696373192769
2006-02,1098.6413255114658
2006-03,990.7471077982636
2006-04,874.5239758973054
2006-05,750.6377634233382
2006-06,721.1101209086464
2006-07,698.2592399172099
2006-08,754.9646822638363
2006-09,791.6101172893805
2006-10,774.7676779321782
2006-11,701.7223127484716
2006-12,685.3405995794664
2007-01,651.0071047407462
2007-02,672.7105238934623
2007-03,649.1852568687684
2007-04,728.093272189347
2007-05,819.2631905130102
2007-06,836.1132856188176
2007-07,853.5343947791308
2007-08,859.1711784728877
2007-09,880.0492919668184
2007-10,1049.0518945434626
2007-11,1000.0
2007-12,1089.8002149848471
2008-01,1088.2244600483596
2008-02,1170.903762018281
2008-03,1011.9938749450909
2008-04,1090.258924909664
2008-05,1149.536183645593
2008-06,1114.5438662777046
2008-07,1087.1924181872926
2008-08,996.097566150279
2008-09,887.7870248297187
2008-10,693.2267678908934
2008-11,537.723209116224
2008-12,450.49474563103547
2009-01,451.478424800896
2009-02,453.1889014448923
2009-03,479.98064656282094
2009-04,515.7476812907407
2009-05,564.3962195202157
2009-06,565.1030591839295
2009-07,609.2837873265821
2009-08,544.6901751717703
2009-09,576.7355512926277
2009-10,542.251992622821
2009-11,476.0183243066159
2009-12,475.16129332681027
2010-01,434.5160124720631
2010-02,431.93546490182763
2010-03,446.4772145803885
2010-04,428.7976699048444
2010-05,398.0583855878409
2010-06,344.685055688649
2010-07,359.02154246224205
2010-08,340.95726001762046
2010-09,384.7865728185011
2010-10,419.4410091385586
2010-11,387.8792237793561
2010-12,392.4346261951017
2011-01,363.45707330047014
2011-02,322.02949747532546
2011-03,362.79758649945296
2011-04,380.4609262973665
2011-05,365.42860969443086
2011-06,348.38608232804717
2011-07,353.3422061233148
2011-08,341.6883776181757
2011-09,331.15966411508083
2011-10,325.92296781792805
2011-11,320.3907737670382
2011-12,311.4407950410418
2012-01,342.4239498122813
2012-02,473.2532294596885
2012-03,443.3169869971989
2012-04,444.005925167781
2012-05,406.1082953748771
2012-06,408.3714084708235
2012-07,416.93991142571065
2012-08,422.9508203831181
2012-09,438.67778807560506
2012-10,468.30301492300106
2012-11,460.76918870203065
2012-12,484.87204542765846
2013-01,543.4355125942998
2013-02,570.6479779744152
2013-03,543.3633009827113
2013-04,610.3650891626185
2013-05,768.3671373260873
2013-06,758.8068564916023
2013-07,935.7680906054532
2013-08,893.9730898707663
