Date,KAZAKHSTAN SMALL CAP
2015-11,1000.0
2015-12,961.9047619047617
2016-01,738.095238095238
2016-02,916.6666666666665
2016-03,859.5238095238093
2016-04,690.4761904761903
2016-05,972.2363778298201
2016-06,893.4064012490238
2016-07,893.4064012490237
2016-08,886.8372365339574
2016-09,882.8957377049175
2016-10,932.8213895394214
2016-11,827.7147540983599
2016-12,840.8530835284927
2017-01,951.215050741607
2017-02,934.1352224824342
2017-03,945.9597189695537
2017-04,906.544731
2017-05,916.502008
2017-06,1027.59316
2017-07,1124.797919
2017-08,1138.684313
2017-09,1555.276134
2017-10,1496.953279
2017-11,1346.980224
2017-12,1513.616952
2018-01,1444.184982
2018-02,1327.539272
2018-03,1330.316551
2018-04,1349.7575023781958
2018-05,1298.4985796952878
2019-05,969.9999999999999
2019-06,988.0000000000001
2019-07,920.0000000000003
2019-08,923.279127668846
2019-09,1110.375338562092
2019-10,1081.904176034859
2019-11,1138.8465010893249
2019-12,1216.1253708061008
2020-01,1199.8561350762532
2020-02,1216.1253708061006
2020-03,1216.1253708061006
2020-04,1189.6878627450985
2020-05,1086.5456873058608
