Date,UNITED KINGDOM SMALL CAP
2000-12,100.0
2001-01,105.07148725710732
2001-02,101.40953185021574
2001-03,92.62688768585963
2001-04,101.03120911444142
2001-05,103.75286552522273
2001-06,99.60949561868964
2001-07,96.44958608316861
2001-08,100.64835773126293
2001-09,80.214473733994
2001-10,85.34147003674451
2001-11,93.33470160659658
2001-12,96.46471806807115
2002-01,91.42839390073888
2002-02,91.461851413426
2002-03,98.27710767270214
2002-04,101.93845444570375
2002-05,100.7899126236216
2002-06,94.62397813327739
2002-07,84.16360485360342
2002-08,84.86610775656258
2002-09,78.9913861681031
2002-10,79.0867739973521
2002-11,80.54797902236112
2002-12,78.2145808357416
2003-01,72.3365450418741
2003-02,70.23719421848243
2003-03,70.15090124590765
2003-04,79.54399390041677
2003-05,91.12535402959617
2003-06,94.1270474465455
2003-07,100.08414825418502
2003-08,104.84709400231591
2003-09,107.5983821300505
2003-10,116.32359020124271
2003-11,117.29276342716008
2003-12,123.87023697941466
2004-01,134.3672692097366
2004-02,143.470266604293
2004-03,142.92276265515778
2004-04,137.94974092563925
2004-05,137.87109078690943
2004-06,142.65392523243872
2004-07,136.19844918496824
2004-08,134.33450089152907
2004-09,138.74925143729527
2004-10,144.02903483961276
2004-11,155.67446723497687
2004-12,164.65353882369953
2005-01,168.3512308678378
2005-02,172.33610922145934
2005-03,170.1841438031661
2005-04,162.4918099604644
2005-05,161.0510718211294
2005-06,163.52904630956837
2005-07,168.38645472920783
2005-08,176.5346084046947
2005-09,176.84242538559735
2005-10,171.4571623356525
2005-11,180.01464609053627
2005-12,187.79304976700797
2006-01,203.0857351244166
2006-02,206.27005932090893
2006-03,210.44292198659446
2006-04,221.58020464999183
2006-05,216.66195776904445
2006-06,214.82267285610206
2006-07,213.15298359211002
2006-08,220.82276596554308
2006-09,227.29737152541063
2006-10,240.3153749782862
2006-11,255.8890934260897
2006-12,267.8957934177223
2007-01,267.2712724787714
2007-02,268.10537492541704
2007-03,279.1946950999654
2007-04,293.052753102262
2007-05,294.9353237006785
2007-06,286.35139254333774
2007-07,284.74163209931055
2007-08,274.3035314392339
2007-09,258.75909586778477
2007-10,287.1927221216325
2007-11,253.961004866092
2007-12,241.21058330221368
2008-01,221.80149286795032
2008-02,229.31617215953514
2008-03,226.434172745345
2008-04,230.6457409972285
2008-05,231.73714389756236
2008-06,215.89417041728458
2008-07,207.28035880029648
2008-08,201.85471275441162
2008-09,164.73706450385592
2008-10,119.02720342293986
2008-11,107.98906226156076
2008-12,105.24962755883244
2009-01,104.67241321755598
2009-02,101.20244057086667
2009-03,107.07166571653589
2009-04,131.66766494385934
2009-05,145.57461282933005
2009-06,146.60217191956278
2009-07,160.0927411058049
2009-08,175.52828451055012
2009-09,179.5775123609292
2009-10,179.83752247253236
2009-11,177.96631439699576
2009-12,182.36236312147926
2010-01,181.5159487455425
2010-02,173.385884880764
2010-03,188.66757602610232
2010-04,196.19793387338208
2010-05,172.61452846918482
2010-06,173.36023123982565
2010-07,194.21291781605572
2010-08,188.9376917232822
2010-09,209.75789691134233
2010-10,218.70347284186792
2010-11,209.59523538326377
2010-12,231.52588638712447
2011-01,233.76525979789005
2011-02,239.93023691137665
2011-03,235.7940302660839
2011-04,257.4076553827702
2011-05,254.14973580808865
2011-06,245.5886693017372
2011-07,244.9091210351166
2011-08,219.92886973543523
2011-09,196.7371465327998
2011-10,218.23605807674033
2011-11,209.7650847372775
2011-12,202.76357541454513
2012-01,223.33459645333184
2012-02,244.07761322828085
2012-03,244.88336239074658
2012-04,249.05141863546822
2012-05,218.19372339374837
2012-06,228.58476289629021
2012-07,232.7483476559749
2012-08,245.07008902962846
2012-09,258.1489282721487
2012-10,263.4920599248546
2012-11,263.5829454440558
2012-12,275.714712853503
2013-01,282.9693231304725
2013-02,284.56348106193764
2013-03,292.2334226264005
2013-04,299.5361638138429
2013-05,303.58333011171635
2013-06,292.64187792214864
2013-07,317.01558484408025
2013-08,321.3570018706761
2013-09,345.47773581309053
2013-10,357.6379368032806
2013-11,366.06616048562154
2013-12,383.7567968670324
2014-01,375.60042072818294
2014-02,412.02985860739545
2014-03,397.1650549898593
2014-04,387.66648894040173
2014-05,388.42872404869524
2014-06,387.5091931181615
2014-07,376.564087461577
2014-08,380.52887685617384
2014-09,358.2015175902612
2014-10,355.9187128929844
2014-11,356.04451260700716
2014-12,361.90249124396513
2015-01,352.04267697504474
2015-02,386.8142002518995
2015-03,369.0191681832813
2015-04,392.68984195257053
2015-05,410.7307000550493
2015-06,411.2515000292485
2015-07,414.20154160859784
2015-08,397.9069347678053
2015-09,383.24030863746765
2015-10,400.221535617068
2015-11,396.99336664170806
2015-12,392.7671093059828
2016-01,354.6507621568524
2016-02,350.9430851934618
2016-03,375.71620559159663
2016-04,380.76224620900865
2016-05,391.7656410908514
2016-06,336.10874995782984
2016-07,355.4465391984383
2016-08,361.40586987897785
2016-09,364.49285865371075
2016-10,336.7942475305786
2016-11,344.35607950314517
2016-12,351.8858228613231
2017-01,359.9352546570006
2017-02,368.35340071566213
2017-03,374.2685042578631
2017-04,404.304419
2017-05,412.484484
2017-06,403.212049
2017-07,420.80568
2017-08,416.120082
2017-09,437.202059
2017-10,445.212514
2017-11,446.87593
2017-12,466.294668
2018-01,483.036049
2018-02,454.237602
2018-03,459.40878246690517
2018-04,475.8485617223231
2018-05,474.3627056595906
2018-06,470.61536748429666
2018-07,469.0750995453208
2018-08,462.1548084347538
2018-09,452.52187470684123
2018-10,410.5146182578658
2018-11,394.4657617725409
2018-12,373.2895020719676
2019-01,414.90245621944564
2019-02,431.03438607451244
2019-03,428.42076776819727
2019-04,449.2001361644576
2019-05,418.17341462231735
2019-06,427.36875697286416
2019-07,414.3405279548372
2019-08,403.54268355794534
2019-09,422.9361842285502
2019-10,449.44662363522184
2019-11,467.3837040014056
2019-12,505.198993925761
2020-01,485.72559044032414
2020-02,430.6929353323365
2020-03,320.7596314765557
2020-04,360.3851306733091
2020-05,368.64257895536645
2020-06,368.13789519551807
2020-07,384.6749423067377
2020-08,414.425685995093
2020-09,391.9726416933021
2020-10,386.6601079644388
2020-11,452.77737683886863
2020-12,496.4297608808493
2021-01,492.74492302273876
2021-02,521.5777178273207
2021-03,531.3825242598357
2021-04,564.6827849842912
2021-05,582.4254702359219
2021-06,554.6920699037302
2021-07,571.6056930013355
2021-08,596.425276335264
2021-09,556.4566499635688
2021-10,564.0251341869632
2021-11,527.4662487168976
2021-12,563.9573185425345
2022-01,516.6193520540442
2022-02,496.62245631094663
2022-03,483.3564050561867
2022-04,451.9898687048852
2022-05,447.074305745235
2022-06,391.9756635149309
2022-07,425.13968926894
2022-08,381.7846677314732
2022-09,327.28630072483844
2022-10,352.1846035364938
2022-11,391.7101142146449
2022-12,389.03892791605296
2023-01,423.2067371668383
2023-02,420.23787030082025
2023-03,406.88551379994607
2023-04,429.0574483657269
2023-05,407.12484383304877
2023-06,412.4014193458882
2023-07,437.34733712976833
