Date,LITHUANIA SMALL CAP
2010-11,1000.0
2010-12,1028.564478771314
2011-01,1046.2657913107632
2011-02,997.665293010681
2011-03,1003.8229194159592
2011-04,1067.196783969151
2011-05,1470.3942989671073
2011-06,1502.2403221084953
2011-07,1577.900428970234
2011-08,1464.7644478571679
2011-09,1252.1108820129498
2011-10,1429.3076136386449
2011-11,1289.160104245764
2011-12,1243.1922069060936
2012-01,1320.3589793791066
2012-02,1331.2366361827708
2012-03,1362.4628255089399
2012-04,1445.8683401594028
2012-05,1376.214622189467
2012-06,1431.8406738845104
2012-07,1475.2850899967243
2012-08,1522.3143383333047
2012-09,1495.7645750341376
2012-10,1503.330329095672
2012-11,1524.8585239157112
2012-12,1534.5618842391139
2013-01,1694.1154088851426
2013-02,1665.9238900997368
2013-03,1691.0853294438002
2013-04,1690.8563775389691
2013-05,1710.2461117101038
2013-06,1509.8425722495906
2013-07,1558.465769783209
2013-08,1515.184359899655
2013-09,1530.8417505536781
2013-10,1520.6842287024258
2013-11,1496.6428114057617
2013-12,1448.139879334271
2014-01,1435.7533671988128
2014-02,1430.5215357559875
2014-03,1415.715864728131
2014-04,1391.2454521878
2014-05,1458.8399708141953
2014-06,1448.7559189472213
2014-07,1440.927229124958
2014-08,1412.3417263588979
2014-09,1397.9969287614895
2014-10,1339.474991340077
2014-11,1350.5739538883179
2014-12,1324.3584036876402
2015-01,1256.5291204641876
2015-02,1245.3990372267176
2015-03,1180.567004254161
2015-04,1229.95850333471
2015-05,1194.7006031629849
2015-06,1210.6172297004257
2015-07,1214.4780769555055
2015-08,1181.9160523798982
2015-09,1170.3508000027502
2015-10,1156.43641150072
2015-11,1126.7899939316085
2015-12,1150.2426004924505
2016-01,1142.2704870546938
2016-02,1162.709666501946
2016-03,1230.3939379688306
2016-04,1223.7936133046865
2016-05,1184.1370376281704
2016-06,1185.255260860972
2016-07,1194.83756762384
2016-08,1186.4557063903035
2016-09,1186.344044500771
2016-10,1137.862569791958
2016-11,1110.851369225759
2016-12,1092.5289196960819
2017-01,1136.9539800589814
2017-02,1109.2859529095542
2017-03,1130.432954436861
2017-04,1158.009089
2017-05,1168.4285567779677
2017-11,1000.0
2017-12,1011.083222
2018-01,1086.24525
2018-02,1059.42796
2018-03,1072.381072
2018-04,1029.3770937877125
2018-05,977.6151712205011
2018-06,973.6635910077545
2018-07,959.0689740459632
2018-08,928.8209247533273
2018-09,894.1091721630161
2018-10,722.8025747196148
2018-11,677.9055599819227
2020-11,1000.0
2020-12,1129.4596599505242
2021-01,1193.537480662157
2021-02,1156.4581262690335
2021-03,1154.6337978617457
2021-04,1326.7903855320103
2021-05,1578.6429881504143
2021-06,1475.714676028179
2021-07,1608.7261989463975
2021-08,1639.0197386630725
2021-09,1628.6858334311935
2021-10,1671.772480048523
2021-11,1596.562675367507
2021-12,1619.4002045460284
2022-01,1587.940312371473
2022-02,1410.302568819042
2022-03,1376.2353652419672
2022-04,1260.7514278915805
2022-05,1288.6816307728623
2022-06,1140.127356386929
2022-07,1148.1858750438178
2022-08,1134.2914727427035
2022-09,1029.729417464164
2022-10,1114.8893412413613
2022-11,1319.8602471165996
2022-12,1443.8272934153738
2023-01,1599.9093991932948
2023-02,1562.2705380456598
2023-03,1456.9465688882863
2023-04,1506.9268572074732
2023-05,1359.0555193449534
2023-06,1401.9778816326827
2023-07,1516.246056523727
