Date,AUSTRIA SMALL CAP
2000-12,100.0
2001-01,101.49294285049382
2001-02,107.19891564379031
2001-03,97.71416097021255
2001-04,96.87759700349561
2001-05,90.50035371380373
2001-06,90.80765914502646
2001-07,96.03977817696622
2001-08,94.96206817860738
2001-09,84.05833419003423
2001-10,77.60529113214443
2001-11,78.73383196537252
2001-12,80.1530973250131
2002-01,80.66359784307123
2002-02,85.96827838010486
2002-03,88.07931300537109
2002-04,95.04878231534477
2002-05,99.08495880961235
2002-06,100.78336820064625
2002-07,93.02377181127582
2002-08,92.01442867450933
2002-09,90.4329110965166
2002-10,90.00059202591578
2002-11,92.04670412098915
2002-12,98.44563168023262
2003-01,104.82254124421281
2003-02,105.34608954462347
2003-03,107.26483457497359
2003-04,116.64933017740445
2003-05,129.0374440083443
2003-06,127.41061297427784
2003-07,126.77263007179934
2003-08,124.94153471947429
2003-09,132.083392239201
2003-10,133.89803598899513
2003-11,141.63154373503198
2003-12,154.423783673653
2004-01,162.49475658052003
2004-02,163.19201954917153
2004-03,169.51640463723294
2004-04,169.2810311499664
2004-05,171.17980400933718
2004-06,177.64194117494432
2004-07,175.62907752904073
2004-08,180.394273454321
2004-09,187.08677781346773
2004-10,195.1826617477109
2004-11,220.0965595237648
2004-12,234.20861087630576
2005-01,234.2936543820391
2005-02,260.205237779665
2005-03,247.62483366628558
2005-04,255.05102328840795
2005-05,255.0397473308722
2005-06,262.4103377990451
2005-07,277.28780539711533
2005-08,282.7384013639569
2005-09,291.3795710923231
2005-10,270.94411767378375
2005-11,285.39597029574884
2005-12,307.12810385763333
2006-01,337.373551713013
2006-02,340.6170655503267
2006-03,360.5946663037033
2006-04,404.27929189288017
2006-05,368.1043582909024
2006-06,372.6884391333973
2006-07,376.91023916658105
2006-08,377.68153100867306
2006-09,384.9371158493601
2006-10,416.80577391360237
2006-11,441.964902373464
2006-12,462.11843618377225
2007-01,485.49828373307486
2007-02,494.2693231982093
2007-03,550.4715005420971
2007-04,576.7845682336482
2007-05,581.2853321323588
2007-06,550.8450831990526
2007-07,526.1059052846266
2007-08,511.1953391879131
2007-09,506.253933866787
2007-10,576.879774355917
2007-11,514.8477102654841
2007-12,509.2101045440373
2008-01,456.2158883894919
2008-02,483.12289307336624
2008-03,493.01149915813636
2008-04,505.8552030725415
2008-05,535.9908975509605
2008-06,496.33930429269014
2008-07,455.75234608175606
2008-08,427.60204847251055
2008-09,335.69556166208895
2008-10,233.50896825606492
2008-11,221.0931096726527
2008-12,249.79077679315253
2009-01,258.87082045342174
2009-02,234.67712709152062
2009-03,259.93315744123436
2009-04,307.3298430795661
2009-05,351.35136766818454
2009-06,353.72690340984326
2009-07,378.419491221587
2009-08,464.4107055455652
2009-09,520.8195591259467
2009-10,496.4960525966024
2009-11,514.845070371073
2009-12,514.6892133768656
2010-01,504.21949293694354
2010-02,484.9069808911785
2010-03,522.2043352208882
2010-04,524.9304418555961
2010-05,446.9862348302049
2010-06,430.76789647549055
2010-07,489.1969389865891
2010-08,462.5834122695106
2010-09,532.7043210719894
2010-10,563.6172717917292
2010-11,535.1588769340312
2010-12,609.8230208286882
2011-01,603.0766218065497
2011-02,603.1936602495456
2011-03,636.0799445066406
2011-04,670.4424938163706
2011-05,642.2039066208383
2011-06,607.2805963511257
2011-07,573.5879065845483
2011-08,531.608854224627
2011-09,463.3509909252475
2011-10,495.8415692323856
2011-11,458.32817797107697
2011-12,441.86387691012175
2012-01,477.18632580280064
2012-02,505.62737783922495
2012-03,510.71219009404064
2012-04,517.946164663728
2012-05,472.58512209539975
2012-06,482.33604213422944
2012-07,470.1757079128511
2012-08,489.63288802986096
2012-09,513.248523009627
2012-10,524.3612703047456
2012-11,546.8698953463934
2012-12,575.6227801259051
