Date,PERU SMALL CAP
1995-05,183.7524474988522
1995-06,190.31370788407187
1995-07,195.4656936597467
1995-08,182.35826434119187
1995-09,165.99981928697744
1995-10,153.42453666221266
1995-11,151.25868275987398
1995-12,148.99884865761118
1996-01,151.76666967713652
1996-02,158.73236208291794
1996-03,157.48992955053686
1996-04,161.21018480540516
1996-05,156.13030734553206
1996-06,160.87737763537834
1996-07,153.31158760999477
1996-08,151.1056733862898
1996-09,169.1754632736464
1996-10,161.2513423122394
1996-11,153.70415425401922
1996-12,151.581550733062
1997-01,150.4758670009696
1997-02,158.2975292748179
1997-03,167.92577345984878
1997-04,171.58483278406507
1997-05,214.23802516914486
1997-06,209.04473772830084
1997-07,210.4055143250495
1997-08,190.09414021317073
1997-09,186.51588439123194
1997-10,168.06057188365452
1997-11,162.5633998489745
1997-12,159.46895966304228
1998-01,141.2606801935448
1998-02,136.33446727102313
1998-03,144.76087838902643
1998-04,159.4465925145304
1998-05,155.38745434305451
1998-06,143.35211333172526
1998-07,141.25885444990857
1998-08,114.09595889060773
1998-09,100.38004880873467
1998-10,88.07386941403229
1998-11,100.28383630723097
1998-12,88.98804120791625
1999-01,84.72452875822756
1999-02,84.52322540388005
1999-03,90.13125637230023
1999-04,95.60636238278906
1999-05,94.87781510226544
1999-06,98.98201461014963
1999-07,93.63636960144868
1999-08,90.69680807816545
1999-09,96.90818888402517
1999-10,97.0127200209017
1999-11,96.76865110388631
1999-12,95.04178118153769
2000-01,92.42803563351536
2000-02,93.25054000601693
2000-03,90.55355857086681
2000-04,91.11914729946352
2000-05,84.4326435700952
2000-06,85.00776880082164
2000-07,85.35788599645065
2000-08,86.68288430307746
2000-09,84.91205927266095
2000-10,80.27376528519129
2000-11,76.87769677608134
2000-12,75.66694669639446
2001-01,78.44391792863476
2001-02,73.57190125370454
2001-03,75.83632910866594
2001-04,68.36728000692243
2001-05,70.35634489801
2001-06,74.10538880322757
2001-07,74.29398909619913
2001-08,74.80656939401064
2001-09,71.84238445826372
2001-10,70.86364994674756
2001-11,72.32684568174612
2001-12,71.33480892552595
2002-01,72.3647977691566
2002-02,74.85007749424011
2002-03,72.94565505865147
2002-04,73.70837866900635
2002-05,73.09916366711994
2002-06,70.80179401237433
2002-07,68.1960934789511
2002-08,67.2778002495352
2002-09,71.19851457502882
2002-10,75.13169098818985
2002-11,84.44517402399747
2002-12,83.56008063143048
2003-01,88.01424728642243
2003-02,90.75903080049478
2003-03,90.5815604044894
2003-04,100.12488443959704
2003-05,104.40849660966819
2003-06,106.32827447086359
2003-07,108.7589947826899
2003-08,112.0788072655123
2003-09,125.09878466495606
2003-10,136.04790082143177
2003-11,151.08600689411745
2003-12,173.9302860143431
2004-01,179.7232984346993
2004-02,180.83690662588145
