Date,Bond US 10y
1990-01,100
1990-02,97.4633
1990-03,96.796
1990-04,97.0883
1990-05,95.1568
1990-06,99.6687
1990-07,100.3564
1990-08,102.035
1990-09,98.872
1990-10,100.5641
1990-11,102.2251
1990-12,104.8038
1991-01,106.8367
1991-02,108.8135
1991-03,107.5211
1991-04,108.6152
1991-05,109.7328
1991-06,109.8548
1991-07,109.3479
1991-08,110.5921
1991-09,113.7433
1991-10,117.3856
1991-11,117.9712
1991-12,118.9979
1992-01,125.4463
1992-02,121.1253
1992-03,122.1222
1992-04,121.3907
1992-05,121.3943
1992-06,122.9191
1992-07,126.1307
1992-08,130.2916
1992-09,131.9325
1992-10,135.8761
1992-11,131.1933
1992-12,130.7009
1993-01,133.5609
1993-02,137.384
1993-03,141.7747
1993-04,141.3482
1993-05,142.1267
1993-06,142.6744
1993-07,146.1547
1993-08,146.6115
1993-09,150.7657
1993-10,152.8798
1993-11,151.1563
1993-12,149.0882
1994-01,149.7776
1994-02,151.2023
1994-03,145.3674
1994-04,141.1708
1994-05,139.0237
1994-06,138.947
1994-07,137.7381
1994-08,140.5101
1994-09,140.7322
1994-10,137.4295
1994-11,135.605
1994-12,136.2907
1995-01,137.9459
1995-02,140.5542
1995-03,145.6086
1995-04,146.7611
1995-05,148.8779
1995-06,159.1004
1995-07,159.7011
1995-08,157.33
1995-09,161.0386
1995-10,162.3997
1995-11,165.5984
1995-12,169.1706
1996-01,171.5899
1996-02,171.9818
1996-03,167.9547
1996-04,164.9065
1996-05,161.3469
1996-06,160.7659
1996-07,163.0426
1996-08,164.8331
1996-09,162.2424
1996-10,166.6923
1996-11,170.6554
1996-12,175.469
1997-01,171.7686
1997-02,171.5956
1997-03,171.6238
1997-04,168.4885
1997-05,171.8018
1997-06,173.2168
1997-07,176.9997
1997-08,181.1157
1997-09,179.5992
1997-10,184.5744
1997-11,188.2686
1997-12,188.8093
1998-01,191.1959
1998-02,195.1477
1998-03,193.3801
1998-04,194.571
1998-05,194.7877
1998-06,196.9911
1998-07,199.2875
1998-08,199.1457
1998-09,206.8657
1998-10,219.3413
1998-11,215.1766
1998-12,214.4825
1999-01,215.5185
1999-02,214.7504
1999-03,205.3012
1999-04,207.9768
1999-05,207.6391
1999-06,201.3785
1999-07,201.2086
1999-08,201.1669
1999-09,200.1325
1999-10,201.048
1999-11,201.1185
1999-12,199.8508
2000-01,198.5208
2000-02,196.1967
2000-03,199.266
2000-04,205.6189
2000-05,203.076
2000-06,205.091
2000-07,208.6371
2000-08,210.1945
2000-09,213.9369
2000-10,212.942
2000-11,214.9981
2000-12,219.5083
2001-01,227.0696
2001-02,228.5288
2001-03,231.6164
2001-04,231.3492
2001-05,225.9691
2001-06,225.7251
2001-07,226.1491
2001-08,232.7328
2001-09,236.5833
2001-10,242.8796
2001-11,249.9768
2001-12,240.9201
2002-01,236.8048
2002-02,238.682
2002-03,238.9805
2002-04,231.8086
2002-05,239.3129
2002-06,240.6592
2002-07,245.7927
2002-08,254.5308
2002-09,260.8608
2002-10,271.0632
2002-11,266.0778
2002-12,261.9486
2003-01,271.2601
2003-02,268.9282
2003-03,276.3557
2003-04,274.3128
2003-05,274.5912
2003-06,287.3013
2003-07,283.4253
2003-08,265.2323
2003-09,266.6107
2003-10,278.9897
2003-11,271.8126
2003-12,271.0466
2004-01,274.9129
2004-02,278.6401
2004-03,283.2177
2004-04,286.2993
2004-05,273.7788
2004-06,270.5051
2004-07,274.487
2004-08,277.3766
2004-09,286.2489
2004-10,285.7918
2004-11,288.9926
2004-12,283.4905
2005-01,287.0873
2005-02,291.0416
2005-03,286.3275
2005-04,285.6064
2005-05,292.2976
2005-06,299.8381
2005-07,297.7328
2005-08,292.1083
2005-09,299.7879
2005-10,293.3849
2005-11,288.7467
2005-12,290.801
2006-01,294.7692
2006-02,292.0876
2006-03,291.6648
2006-04,286.7799
2006-05,281.84
2006-06,283.0828
2006-07,283.5387
2006-08,288.1666
