Date,MSCI EMU High Dividend Yield
1995-06,10000
1995-07,10363.252244471121
1995-08,10028.887928233957
1995-09,10371.661134056458
1995-10,10332.176380315319
1995-11,10743.570552967034
1995-12,11456.924656640955
1996-01,11838.640523919827
1996-02,12169.522186671944
1996-03,12250.253639767452
1996-04,12613.531598373425
1996-05,13076.786739260951
1996-06,13161.563052841904
1996-07,12726.871384301256
1996-08,12849.55815453281
1996-09,13369.723249755452
1996-10,13829.049730617813
1996-11,14492.85917875177
1996-12,15224.90822209085
1997-01,15814.827629320009
1997-02,16617.288591225482
1997-03,17386.30651914092
1997-04,17211.413200528492
1997-05,18024.49368067249
1997-06,18970.101460769547
1997-07,21034.997150559553
1997-08,20021.082122289066
1997-09,21627.571833374423
1997-10,20154.942663086273
1997-11,19966.022060592986
1997-12,21563.88418117413
1998-01,22384.681293845184
1998-02,23900.05370883649
1998-03,26195.301453327476
1998-04,26894.956035560233
1998-05,27537.239946769918
1998-06,28240.108622998712
1998-07,28512.207136940582
1998-08,24577.389682958
1998-09,22696.519299056607
1998-10,23470.097542788077
1998-11,25105.184722396294
1998-12,25981.03192777434
1999-01,26106.277137115438
1999-02,26307.545654960206
1999-03,27948.74724595559
1999-04,29968.131758174128
1999-05,29220.110488805363
1999-06,30202.853869311355
1999-07,29409.247225607924
1999-08,30228.903548211005
1999-09,29393.03859874951
1999-10,30846.43108528716
1999-11,31245.854031481093
1999-12,34119.18330841355
2000-01,30731.026926848797
2000-02,32361.803694279053
2000-03,33471.75481998758
2000-04,33902.693918216915
2000-05,33849.50381594721
2000-06,34096.57338949734
2000-07,35249.400822567404
2000-08,36371.77518549705
2000-09,36013.56592781059
2000-10,37391.664026411534
2000-11,36359.846105544224
2000-12,36788.95080267403
2001-01,37220.18860540726
2001-02,35871.63150379266
2001-03,35030.763169738784
2001-04,36909.03880498332
2001-05,37573.502227596866
2001-06,36889.54538886303
2001-07,36306.83352741503
2001-08,34150.199222163224
2001-09,30188.478430559055
2001-10,30947.430605998496
2001-11,32210.173380857734
2001-12,33445.02007832415
2002-01,33158.975585803106
2002-02,33356.98640928015
2002-03,35395.18599862211
2002-04,34488.93566703098
2002-05,33849.59246043195
2002-06,31388.545030742822
2002-07,27286.19999270741
2002-08,27697.677938676305
2002-09,23011.077024499213
2002-10,25107.431045100813
2002-11,26363.132847361743
2002-12,24587.6282588506
2003-01,23041.49337804758
2003-02,22007.306751877328
2003-03,20862.362948024213
2003-04,23356.244789121916
2003-05,24070.133826564415
2003-06,25576.85870456792
2003-07,26324.905676863673
2003-08,27171.43674773702
2003-09,25293.25939838583
2003-10,26841.483244647545
2003-11,27334.137991671385
2003-12,28849.331224613834
2004-01,29097.31701714178
2004-02,29856.809359775016
2004-03,29616.444252678382
2004-04,30554.70901749593
2004-05,30677.031859452924
2004-06,31518.11689767633
2004-07,31424.166884612987
2004-08,31721.288523558822
2004-09,32258.328986323526
2004-10,33154.26249988379
2004-11,33754.79324216851
2004-12,34472.71015679321
2005-01,35464.249354477324
2005-02,36828.50040868905
2005-03,36742.119957950585
2005-04,35368.69536355361
2005-05,37444.828968663256
2005-06,39719.114464694765
2005-07,41283.42732428399
2005-08,41419.51396131227
2005-09,43252.72434928177
2005-10,41404.94142321813
2005-11,43670.72342387097
2005-12,45141.86627075328
2006-01,47473.8201400403
2006-02,48981.82177050272
2006-03,49378.6709927169
2006-04,49704.788297505955
2006-05,47903.80687687229
2006-06,48846.72045156746
2006-07,49702.48159246126
2006-08,51517.75501295581
2006-09,53086.85693119377
2006-10,55159.26790245413
2006-11,54778.19940963229
2006-12,56459.34971705888
2007-01,57438.51024701794
2007-02,56167.01279574352
2007-03,57232.7507373434
2007-04,60526.345850758065
2007-05,62304.54485401735
2007-06,61544.57474621641
2007-07,59432.757567275105
2007-08,58067.21187059767
2007-09,59048.57695705914
2007-10,60195.060385256416
2007-11,57788.086240390134
2007-12,57181.53722413089
2008-01,49789.65925637247
2008-02,49165.099210498985
2008-03,47949.39629851137
2008-04,52081.467726648625
2008-05,52504.85967278398
2008-06,45560.910363402894
2008-07,45250.04934199703
2008-08,45699.164294015594
2008-09,39466.661834565406
2008-10,33189.0681894393
2008-11,31280.081155865646
2008-12,31178.17833845658
2009-01,28486.191137073383
2009-02,24981.397635533183
2009-03,25588.773711711514
2009-04,30883.857448063085
2009-05,32874.73699495485
2009-06,32309.29778694324
2009-07,35901.963912405095
2009-08,38453.772963145624
2009-09,39324.69031986933
2009-10,38269.61195104155
2009-11,39201.80040915479
2009-12,41249.378225782064
2010-01,38681.33908549719
2010-02,38528.499132726196
2010-03,40442.11280097535
2010-04,39244.797493654
2010-05,36926.16750360253
2010-06,36443.14028153764
2010-07,38950.39419759597
2010-08,38083.71404754083
2010-09,39120.88633935091
2010-10,41320.21681332984
2010-11,38383.082128661066
2010-12,40523.40173440129
2011-01,43393.03599371649
2011-02,43335.509526012545
2011-03,41764.9459821647
2011-04,43012.77573910799
2011-05,41780.668459723034
2011-06,41277.1821042167
2011-07,39108.437525701665
2011-08,35030.11377536934
2011-09,34501.74299735212
2011-10,36620.76102960985
2011-11,36056.843251489256
2011-12,36122.93662302904
2012-01,36178.780867947164
2012-02,37088.33183871493
2012-03,36394.852527809315
2012-04,34104.452874717615
2012-05,31873.70187118041
2012-06,35625.17394560175
2012-07,35355.28352546771
2012-08,37843.2203987465
2012-09,37906.63493590433
2012-10,38124.723770522716
2012-11,38647.68140400911
2012-12,39728.84060986615
2013-01,41031.96557654054
2013-02,39962.43689462036
2013-03,39810.82982204539
2013-04,42411.6495198655
2013-05,42885.129080121034
2013-06,41466.301532386366
2013-07,44496.82297539463
2013-08,43760.99624254684
2013-09,46828.0328487552
2013-10,49030.26144352987
2013-11,49715.21806772582
2013-12,50812.63054278034
2014-01,49746.49630364459
2014-02,52830.79898416735
2014-03,53568.41026307798
2014-04,54723.6019265749
2014-05,57189.192048284836
2014-06,57796.56700207813
2014-07,56170.528926205836
2014-08,56522.3270116464
2014-09,56863.17248034439
2014-10,56214.33739933866
2014-11,58470.41634839749
2014-12,56829.05164355912
2015-01,61676.80703229777
2015-02,64880.11754065136
2015-03,66386.50490985233
2015-04,66428.75717118861
