Date,MSCI Canada
1978-12,10000
1979-01,10381.646588355381
1979-02,10685.778131677991
1979-03,11768.05109565595
1979-04,12235.46628527441
1979-05,12705.490371831775
1979-06,13438.690938634263
1979-07,12352.265592598464
1979-08,13657.798483279126
1979-09,14394.49725287671
1979-10,12968.865698826434
1979-11,14074.812826714131
1979-12,14659.35450317914
1980-01,16645.196195530276
1980-02,19049.282132680022
1980-03,15640.980466255302
1980-04,16367.663433375905
1980-05,17027.21037445216
1980-06,18007.40198666449
1980-07,18522.682369688515
1980-08,19211.918420408383
1980-09,19056.508342264213
1980-10,18973.99334229726
1980-11,20436.934148017834
1980-12,19869.61833867816
1981-01,19758.165684039126
1981-02,20644.827766198152
1981-03,22256.62220948306
1981-04,22370.71545802975
1981-05,24602.219609973483
1981-06,25558.168567671204
1981-07,24575.290728573455
1981-08,25314.260203469017
1981-09,20664.272576441595
1981-10,19564.569685329767
1981-11,21924.51654337696
1981-12,21157.548867206122
1982-01,19609.95639382765
1982-02,18713.319549961227
1982-03,17932.868914348706
1982-04,18079.26546261503
1982-05,17123.398501741314
1982-06,15682.779654302294
1982-07,17076.699849509638
1982-08,20271.589398456472
1982-09,20215.828295855714
1982-10,22793.568459147
1982-11,23533.443945679923
1982-12,24626.871911169903
1983-01,25223.796385123493
1983-02,26641.29633528478
1983-03,27463.181008091065
1983-04,30779.224945099773
1983-05,31746.724560328807
1983-06,33431.73230161472
1983-07,34086.9928534807
1983-08,35379.308242223255
1983-09,35907.53478981588
1983-10,33278.36565963612
1983-11,37169.03351317316
1983-12,38125.66399826847
1984-01,37134.29367936518
1984-02,35637.30369816176
1984-03,33350.16850691586
1984-04,33067.034821188776
1984-05,32839.17512195527
1984-06,32229.36252301934
1984-07,32469.51526319771
1984-08,37647.007359385665
1984-09,39080.38089270596
1984-10,39090.760089427604
1984-11,38115.63897285179
1984-12,40286.44732370155
1985-01,44589.024819386985
1985-02,44340.846166635485
1985-03,45598.79376776948
1985-04,42690.13937827169
1985-05,44358.11276114815
1985-06,43350.37901465574
1985-07,43214.426047305635
1985-08,41292.114627838855
1985-09,39340.57142407721
1985-10,37596.74518707898
1985-11,39271.78278943891
1985-12,38500.130032062596
1986-01,36084.186510725674
1986-02,35090.02855832501
1986-03,37195.01119437249
1986-04,38096.44335535625
1986-05,37921.8983075428
1986-06,37357.80649920577
1986-07,34592.89481180332
1986-08,34941.43961691768
1986-09,34432.99489402777
1986-10,34805.13196633656
1986-11,35545.53948326761
1986-12,35660.09997627636
1987-01,38266.11281140789
1987-02,39424.51731730468
1987-03,43074.77579398724
1987-04,41427.34199206999
1987-05,40740.86779411297
1987-06,42771.40351186724
1987-07,47081.895641640476
1987-08,47461.91892613359
1987-09,45592.527764679675
1987-10,35298.13153297295
1987-11,32354.720576243664
1987-12,33746.50438766527
1988-01,33662.131788677
1988-02,36946.081205759394
1988-03,38122.836743261985
1988-04,38529.19328926063
1988-05,37489.7148474249
1988-06,42186.89008435222
1988-07,43510.88397027553
1988-08,42191.45695046492
1988-09,42813.39226148921
1988-10,43166.84748314572
1988-11,41304.17987928121
1988-12,42553.9473722342
1989-01,47918.24342225617
1989-02,47002.48573181708
1989-03,47877.75053232487
1989-04,49452.97285838532
1989-05,51976.77837286486
1989-06,54205.23272991028
1989-07,55879.41757970179
1989-08,57657.25484674495
1989-09,57641.32025114766
1989-10,55509.634198437016
1989-11,55298.20309295294
1989-12,54109.575026097635
1990-01,47712.84238427041
1990-02,47199.408505856045
1990-03,48477.10279951955
1990-04,44295.71573067775
1990-05,46799.88152371159
1990-06,46965.83221156357
1990-07,46508.14222124121
1990-08,42216.580008716155
1990-09,40431.49764927423
1990-10,38055.78655237101
1990-11,38329.23852463453
1990-12,40476.88973521646
1991-01,40592.47088407537
1991-02,42604.91049106432
1991-03,46317.65571679409
1991-04,49348.08495575611
1991-05,51829.66383452054
1991-06,52477.54344253852
1991-07,53421.281378129395
1991-08,52884.71178766962
1991-09,50119.295424886695
1991-10,52305.56730721443
1991-11,49124.2373823792
1991-12,47748.8833598908
1992-01,48755.31830918426
1992-02,49450.95481043299
1992-03,48011.1286215104
1992-04,46965.430172971675
1992-05,46336.40156889914
1992-06,45185.799713591914
1992-07,44033.26338331127
1992-08,42009.9080966926
1992-09,39826.64918359832
1992-10,42543.67493967098
1992-11,43313.548500409874
1992-12,44446.472542254814
1993-01,44469.06680712038
1993-02,48140.16792591452
1993-03,49698.64840756322
1993-04,49717.34222806738
1993-05,50580.772496520425
1993-06,51710.26279704189
1993-07,53536.612381916006
1993-08,54368.13223608269
1993-09,49663.830173022085
1993-10,54973.45559173288
1993-11,55180.75450991769
1993-12,57687.30444268813
1994-01,62186.01990896182
1994-02,58951.20058247387
1994-03,55254.329137472814
1994-04,54820.38176920849
1994-05,54314.08169234778
1994-06,49994.407902090985
1994-07,50708.7906371775
1994-08,53660.84128859997
1994-09,54291.45035892679
1994-10,52611.82657805896
1994-11,50456.60106589587
1994-12,52390.687265124165
1995-01,48722.40788268969
1995-02,50864.88802529484
1995-03,50989.11717428151
1995-04,50909.22299536187
1995-05,53869.54609887726
1995-06,54358.99842872601
1995-07,54704.43774174536
1995-08,56425.285479768085
1995-09,56911.90603296691
1995-10,55581.32582095434
1995-11,57802.58038648012
1995-12,59300.68096487396
1996-01,63164.94271498669
1996-02,62993.29368225277
1996-03,64216.78145823991
1996-04,67464.34166156925
1996-05,69394.14445063433
1996-06,67000.62861056504
1996-07,63995.5324083697
1996-08,66278.52145318953
1996-09,69534.64978270231
1996-10,75242.31563506449
1996-11,79714.90524053665
1996-12,78699.11863599632
1997-01,84844.8835629852
1997-02,87872.2657476485
1997-03,84461.89013948663
1997-04,86946.15694287505
1997-05,93958.85440213895
1997-06,96723.3277677213
1997-07,105917.7302128936
1997-08,103235.22664026893
1997-09,106429.35073339699
1997-10,99595.82995914374
1997-11,94620.78719563328
1997-12,99668.54128951386
1998-01,100176.35753188776
1998-02,108471.27592973587
1998-03,117112.65202992619
1998-04,116916.23041843824
1998-05,113775.89956126192
1998-06,110019.25473633454
1998-07,102474.13406573507
1998-08,79842.57011966397
1998-09,78116.37988837942
1998-10,82879.01945340302
1998-11,88442.765787995
1998-12,88896.59884719663
1999-01,99445.10672019183
1999-02,96929.41480271943
1999-03,103553.62561857414
1999-04,115685.3528608226
1999-05,114058.01446300246
1999-06,120321.57092586027
1999-07,117081.1157602691
1999-08,116542.02704802233
1999-09,118911.76057962597
1999-10,129522.44619945958
