Date,MSCI Nordic Countries
1978-12,10000
1979-01,10811.114006928536
1979-02,10693.253073615164
1979-03,10766.764591995629
1979-04,10695.198819383912
1979-05,10910.951560726937
1979-06,11247.691391823624
1979-07,11167.462559797797
1979-08,11123.62555331838
1979-09,11480.021087539668
1979-10,11411.622693937856
1979-11,12087.250464458315
1979-12,11864.97546510098
1980-01,12101.364080444608
1980-02,11809.71874754561
1980-03,10860.584807309418
1980-04,12086.428426940993
1980-05,11999.07040585011
1980-06,11990.974783563945
1980-07,11884.577827191282
1980-08,11770.505040783599
1980-09,12268.691145754055
1980-10,13271.139942237896
1980-11,14092.528811429955
1980-12,14446.573727292984
1981-01,13863.784662170203
1981-02,15906.650602085942
1981-03,16785.247744114902
1981-04,16355.487469174377
1981-05,17304.404383563455
1981-06,19272.311962827374
1981-07,20491.879398280984
1981-08,21515.007234002747
1981-09,18619.18187007288
1981-10,20171.243434057284
1981-11,21781.299561032585
1981-12,21387.190901183756
1982-01,21439.06299023531
1982-02,21619.076821696446
1982-03,20831.076179806205
1982-04,21518.109834376282
1982-05,21214.28549910585
1982-06,21334.621300366216
1982-07,22716.59167195926
1982-08,22866.842020223463
1982-09,23881.723627249645
1982-10,23807.92567264211
1982-11,26745.2372955749
1982-12,27513.585342538405
1983-01,30038.3004830171
1983-02,35777.74463689314
1983-03,37058.169133599855
1983-04,42289.78253716983
1983-05,42345.7205584201
1983-06,42704.99261257899
1983-07,45928.577855863805
1983-08,48894.41247800589
1983-09,49432.779922472146
1983-10,47466.849567210644
1983-11,50127.55431164493
1983-12,50474.760681960215
1984-01,55111.01438676089
1984-02,53352.27691329227
1984-03,52971.86621109948
1984-04,51816.23560756058
1984-05,48928.32665661059
1984-06,48520.8579899763
1984-07,49649.57607600473
1984-08,50404.059083094115
1984-09,48576.311595641404
1984-10,48641.40194357645
1984-11,45003.61930480904
1984-12,45931.33829761378
1985-01,50992.36563951501
1985-02,49439.76837597979
1985-03,51376.90300186878
1985-04,48690.00893635618
1985-05,48538.62697606498
1985-06,47380.709367320545
1985-07,50566.25107027304
1985-08,48093.509480454115
1985-09,51970.19432105329
1985-10,53402.49345362959
1985-11,57828.942970205935
1985-12,59804.7147431592
1986-01,58729.76270829417
1986-02,61816.874222393315
1986-03,63631.67386791468
1986-04,70674.86899104143
1986-05,67971.09796624036
1986-06,71950.87376019634
1986-07,71145.7321953723
1986-08,71664.80630300417
