Date,MSCI World High Dividend Yield
1994-06,10000
1994-07,10107.783377965654
1994-08,10530.474641026938
1994-09,10101.717527066134
1994-10,10205.941273816668
1994-11,9949.71598748316
1994-12,10242.702432206208
1995-01,10092.20033854071
1995-02,10304.575329099629
1995-03,10290.533077278465
1995-04,10379.518266482952
1995-05,10924.75613131239
1995-06,10894.492909083086
1995-07,11119.224171111651
1995-08,11322.679398891409
1995-09,11955.953039086562
1995-10,11875.8125618051
1995-11,12286.969677661129
1995-12,12975.369005491651
1996-01,13427.535015015334
1996-02,13593.129365942348
1996-03,13634.413932957392
1996-04,13924.498525539535
1996-05,14321.786908700044
1996-06,14322.67811067676
1996-07,13842.35947768828
1996-08,14002.271991845646
1996-09,14649.58432287218
1996-10,15343.248496350272
1996-11,16104.141453254942
1996-12,16608.332330671536
1997-01,17444.954667399328
1997-02,18571.473096223574
1997-03,18561.83855099731
1997-04,19043.510105684785
1997-05,20012.441190697147
1997-06,21036.14381290493
1997-07,22840.679938750323
1997-08,22336.577059898005
1997-09,23361.60227195833
1997-10,21951.36905494655
1997-11,22012.522279413548
1997-12,23260.916628074203
1998-01,24001.76382788473
1998-02,25595.716820127083
1998-03,27294.83027643172
1998-04,27143.596924031568
1998-05,26564.11208501258
1998-06,26877.26242866082
1998-07,26820.421126349618
1998-08,23634.48111904155
1998-09,23116.527206829654
1998-10,23723.564234868816
1998-11,25534.729963822658
1998-12,26042.882354248995
1999-01,26934.432474737485
1999-02,27379.40439814273
1999-03,28652.858083742092
1999-04,31138.894806382552
1999-05,30325.967948961727
1999-06,31320.17885973272
1999-07,30038.62783157149
1999-08,29907.768387264692
1999-09,28963.239971726332
1999-10,30624.97755364258
1999-11,31968.81536892598
1999-12,33041.24782265904
2000-01,31358.068382290694
2000-02,30388.559979471145
2000-03,33345.78465958845
2000-04,34056.787292989924
2000-05,33435.829069645035
2000-06,32229.612088491198
2000-07,33299.967839853314
2000-08,35259.48530845027
2000-09,35929.43690110685
2000-10,38214.05710098207
2000-11,36455.07633091124
2000-12,36217.987460601435
2001-01,36525.688110528215
2001-02,35558.977471875754
2001-03,35493.82762398077
2001-04,37130.81115175732
2001-05,38882.60260620581
2001-06,38043.52891180958
2001-07,36901.44377303593
2001-08,34801.2004617526
2001-09,32162.111991901114
2001-10,32385.76137439725
2001-11,34019.58200716528
2001-12,35168.93707181997
2002-01,35180.55042285209
2002-02,35560.20902996583
2002-03,37139.25407258943
2002-04,35969.44239791913
2002-05,35066.45914857612
2002-06,31716.95541944897
2002-07,29445.900247461657
2002-08,29598.90824698583
2002-09,25973.565190452668
2002-10,27782.981660103585
2002-11,28600.555436999945
2002-12,26657.28687125958
2003-01,24803.684252634153
2003-02,24363.106172222528
2003-03,23898.21541026431
2003-04,25683.606794297775
2003-05,25624.12315011038
2003-06,27087.94014182032
2003-07,27345.275966972815
2003-08,28439.36854574442
2003-09,26926.523283158203
2003-10,28368.478576713016
2003-11,28165.745396145754
2003-12,28887.745542878598
2004-01,29559.000853746973
2004-02,30285.746913836138
2004-03,30329.866382598837
2004-04,30693.21173937407
2004-05,30397.75578173711
2004-06,30991.55000516555
2004-07,31140.77705446525
2004-08,31559.350258935574
2004-09,31484.99562464538
2004-10,31467.7777777843
2004-11,31707.700860235498
2004-12,32147.80915802689
2005-01,33037.878581555364
2005-02,34104.1804215352
2005-03,33989.749265826766
2005-04,33637.23373012322
2005-05,35462.96276014039
2005-06,36758.39338365851
2005-07,37625.6926685653
2005-08,37530.62779526966
2005-09,38801.20454133031
2005-10,37953.841022935616
2005-11,39535.13781957505
2005-12,40272.04789675057
2006-01,40871.12439730332
2006-02,42151.13874090759
2006-03,42027.17771546015
2006-04,42442.78788542749
2006-05,40429.09864242301
2006-06,41128.59444160596
2006-07,42074.74139367392
2006-08,43019.70472929553
2006-09,44225.05978013522
2006-10,45645.71313357901
2006-11,44932.16701885694
2006-12,46499.33220901569
2007-01,47520.46348909067
2007-02,46259.606365588705
2007-03,47220.34703708824
2007-04,48695.34416961815
2007-05,50287.09921915232
2007-06,49651.62341126938
2007-07,47533.545468469136
2007-08,47564.055293365396
2007-09,47902.59109872617
2007-10,48649.345406536355
2007-11,45434.49541677413
2007-12,44653.773823351476
2008-01,40823.365093818764
2008-02,38997.06235161381
2008-03,37515.99609910973
2008-04,39819.20818573567
2008-05,39669.90120461378
2008-06,34922.55675047606
2008-07,35262.62562719729
2008-08,36499.567467451976
2008-09,34052.93076429443
2008-10,30947.261396229813
2008-11,28817.87968270053
2008-12,27208.85839384705
2009-01,25510.919199504
2009-02,22874.914699807618
2009-03,23660.361548112043
