Date,S&P 500 Health Care Sector
2017-10,211310.67544121327
2017-11,213605.28785926016
2017-12,209676.4387924372
2018-01,215284.98618847693
2018-02,209803.1283796061
2018-03,201597.97404994135
2018-04,208142.32056091903
2018-05,215383.9085220185
2018-06,219654.95491195537
2018-07,232626.1405684978
2018-08,244566.2393272806
2018-09,253358.38062546728
2018-10,241797.94291338383
2018-11,257916.3970877311
2018-12,233823.8870414133
2019-01,244337.50102769304
2019-02,248764.8634695549
2019-03,254013.19186757747
2019-04,247696.80157847467
2019-05,243310.32308418275
2019-06,254247.76897487644
2019-07,255332.80191227366
2019-08,256714.34672324205
2019-09,259735.28681714914
2019-10,266536.4587209554
2019-11,284348.13276542077
2019-12,287947.91487748723
2020-01,284729.655107449
2020-02,267568.14757476764
2020-03,257841.44459777736
2020-04,292589.51948811224
2020-05,295162.49089211057
2020-06,286544.71895615634
2020-07,285409.0447813282
2020-08,290762.8533409965
2020-09,290143.1342555943
2020-10,279697.81854461436
2020-11,294796.638256449
2020-12,299057.2660928523
2021-01,306680.3012943695
2021-02,300591.91361607675
2021-03,322937.1400823915
2021-04,325805.29012950056
2021-05,328727.7555361029
2021-06,345393.5163848107
2021-07,362097.89229077304
2021-08,372483.97184587474
2021-09,359569.4543909743
2021-10,375990.30719492683
2021-11,373775.4552557811
2021-12,408675.59616043
2022-01,386870.2102068769
2022-02,381452.209750706
2022-03,406221.18232236645
2022-04,407695.2505345265
2022-05,406882.5118536837
2022-06,408482.0014491664
2022-07,429877.4241508982
2022-08,413037.96327352006
2022-09,412714.7871111356
2022-10,445222.79664818937
2022-11,445895.5894619234
2022-12,425483.8434424624
2023-01,411099.43748472363
2023-02,400058.87374313804
2023-03,399330.13660870394
2023-04,407635.356867761
