Date,S&P 500
1992-02,10000
1992-03,10067.640613024361
1992-04,10269.780740213888
1992-05,10122.864970710893
1992-06,9686.87752644206
1992-07,9602.987256402665
1992-08,9169.25525665484
1992-09,9491.321882692582
1992-10,9920.291927926208
1992-11,10930.112146862437
1992-12,11057.097711728504
1993-01,11367.305059451082
1993-02,11809.294458555614
1993-03,12117.829643162962
1993-04,11422.597380087655
1993-05,11757.08239924232
1993-06,12135.607846862778
1993-07,12599.43598874043
1993-08,13177.410406297258
1993-09,12556.483718152682
1993-10,12966.668179471859
1993-11,13187.99310195585
1993-12,13341.53504260749
1994-01,13982.159821309693
1994-02,13550.3438992548
1994-03,12691.652797918045
1994-04,12891.672761664764
1994-05,12821.613417789253
1994-06,12304.236876536706
1994-07,12316.604873200962
1994-08,12836.31017355328
1994-09,12388.229940679188
1994-10,12424.473496473596
1994-11,12150.00857940921
1994-12,12582.415013111779
1995-01,12644.893742612507
1995-02,12993.880712335687
1995-03,12857.48428695583
1995-04,12982.853312539622
1995-05,13710.366892566946
1995-06,13911.774039246971
1995-07,14206.113189136824
1995-08,14673.019847872905
1995-09,15488.442608809182
1995-10,15193.003751486518
1995-11,15894.22979652807
1995-12,16456.94876457078
1996-01,17223.68184932228
1996-02,17483.252118797678
1996-03,17640.287714165417
1996-04,18052.988686777913
1996-05,18743.208585179567
1996-06,18668.803072469545
1996-07,17572.862696743352
1996-08,17780.882700210288
1996-09,18944.463295734695
1996-10,19527.520175964382
1996-11,20733.968605105485
1996-12,20772.9511051641
1997-01,22671.04023865503
1997-02,23844.209246047823
1997-03,23129.892745287372
1997-04,24644.072164033743
1997-05,26064.431952580464
1997-06,27538.11692278689
1997-07,30556.423379582393
1997-08,29667.345651145628
1997-09,30471.42290547583
1997-10,28919.151153973286
1997-11,29635.186270727452
1997-12,30957.447132087964
1998-01,32019.795525622503
1998-02,34253.596854553405
1998-03,36140.37048391496
1998-04,36256.759877504766
1998-05,35090.85666363194
1998-06,36781.39527653441
1998-07,36475.82309109218
1998-08,31075.010653770016
1998-09,31523.098743026138
1998-10,32828.01582744618
1998-11,35825.13205856945
1998-12,37647.83637751166
1999-01,40503.79747793662
1999-02,40548.64519376216
1999-03,43254.45603859343
1999-04,45544.28192582365
1999-05,45068.479716740316
1999-06,48159.2150726635
1999-07,45058.68401518935
1999-08,45348.87883647522
1999-09,43725.21431450646
1999-10,47435.09575610408
1999-11,50105.83632133739
1999-12,53326.22866810132
2000-01,51966.05873946909
2000-02,51386.4792620835
2000-03,57364.30157278598
2000-04,58504.586453145566
2000-05,55961.415853050115
2000-06,55822.91665074519
2000-07,56810.97274556172
2000-08,62622.98638003693
2000-09,60271.12342589394
2000-10,62497.69018405656
2000-11,55800.329892595204
2000-12,52331.1923380711
2001-01,54257.826812403066
2001-02,49550.44723592158
2001-03,48597.43887988294
2001-04,52114.34164476126
2001-05,54913.45060687364
2001-06,53576.93451420489
2001-07,51383.197841663336
2001-08,46046.94120833865
2001-09,42453.6971741988
2001-10,43689.083876813995
2001-11,47801.58370330424
2001-12,48685.43039070807
2002-01,48952.563787732965
2002-02,47930.80202261471
2002-03,49317.29080225841
2002-04,44866.704724781695
2002-05,42738.01602758493
2002-06,37353.963199114856
2002-07,35118.00017480017
2002-08,35168.81888420959
2002-09,31260.851145893754
2002-10,33998.5276720812
2002-11,35771.1860814394
2002-12,31871.7564331781
2003-01,30092.762584412492
2003-02,29734.721179181033
2003-03,29712.01877670033
2003-04,31477.568592699285
2003-05,31199.21952164579
2003-06,32689.452164639675
2003-07,33586.1836159889
2003-08,35466.4482883288
2003-09,32906.48448411636
2003-10,34857.75252587352
2003-11,34073.79337908959
2003-12,34054.96312638137
2004-01,35368.9371868021
2004-02,35762.360965954496
2004-03,35781.8429197264
2004-04,36036.72876253276
2004-05,35779.54821204492
2004-06,36604.31563658813
2004-07,35733.84719008805
2004-08,35665.09118452032
2004-09,35185.59785756319
2004-10,34803.20460244126
2004-11,34691.58037743318
2004-12,35013.53909496121
2005-01,35695.78063745927
2005-02,35836.63425760494
2005-03,35997.64030669475
2005-04,35334.00799078862
2005-05,38309.13378905602
2005-06,39121.76925726601
2005-07,40573.29403006217
2005-08,39857.03367604118
2005-09,40700.36459084229
2005-10,40085.10096429412
2005-11,42499.05403968774
2005-12,42412.94280776664
2006-01,42382.686507133825
2006-02,43367.33849599113
2006-03,43076.4616225624
2006-04,42147.13024399904
2006-05,39881.14407726758
2006-06,40422.10683249335
2006-07,40499.425838835356
2006-08,41192.00690684879
2006-09,42891.01199974343
2006-10,44163.07428539298
2006-11,43284.58200000344
2006-12,43991.74419908985
2007-01,45401.684516480724
2007-02,43647.72922721974
2007-03,43781.32759303148
2007-04,44756.14983862263
2007-05,46841.24543424632
2007-06,45885.70043928855
2007-07,43807.7697799022
2007-08,44470.94492113012
2007-09,44591.84451960796
2007-10,44460.79289900342
2007-11,41695.802658955436
2007-12,41519.0348558423
2008-01,38637.59140019671
2008-02,36650.3962662339
2008-03,35003.557924308334
2008-04,37350.863469322074
2008-05,37912.726089604024
2008-06,34152.75707528149
2008-07,34197.57130100922
2008-08,36754.69903194867
2008-09,34490.77914007785
2008-10,32176.016678467044
2008-11,29937.63252394275
2008-12,27669.058512370844
2009-01,27513.586913296447
2009-02,24918.440302419593
2009-03,25749.01280723464
2009-04,28283.563679200095
