Date,FTSE EPRA/NAREIT Developed
1989-12,10000
1990-01,9527.354024604498
1990-02,9062.253934667986
1990-03,8247.59912125164
1990-04,8158.250630727345
1990-05,8813.707235122038
1990-06,8764.708368747457
1990-07,8444.554202134917
1990-08,7540.979826030521
1990-09,6655.41562273069
1990-10,6991.92993628055
1990-11,6702.857778468438
1990-12,6795.476357630815
1991-01,7070.007006234907
1991-02,7748.047211210264
1991-03,8382.484092359708
1991-04,8483.55815362474
1991-05,8195.93659486576
1991-06,8203.470276566695
1991-07,8487.187447566317
1991-08,8293.555214815355
1991-09,8246.25517082164
1991-10,8350.789951203393
1991-11,7838.426187805521
1991-12,7662.375125948477
1992-01,7798.263786711865
1992-02,7750.718556440978
1992-03,7460.667209082662
1992-04,7525.584887095653
1992-05,8198.851793034373
1992-06,7422.610724775542
1992-07,6862.913954274185
1992-08,6513.741936202511
1992-09,6570.043261026005
1992-10,7171.41147637889
1992-11,7225.593884357948
1992-12,7229.611531880989
1993-01,7340.6246929673825
1993-02,8174.294868850296
1993-03,8553.507002193222
1993-04,8997.76988821589
1993-05,9523.041690583823
1993-06,9854.244017512707
1993-07,10413.60717541714
1993-08,10612.611061721487
1993-09,10458.806747093013
1993-10,11659.93563360222
1993-11,11316.535289384019
1993-12,13404.871942068556
1994-01,13690.705548420081
1994-02,13086.542339137639
1994-03,11979.868447377066
1994-04,11857.442087311518
1994-05,12137.537427365762
1994-06,11264.430205471563
1994-07,11615.677103154505
1994-08,11791.857128548876
1994-09,11424.038360763438
1994-10,11138.913405716186
1994-11,10614.304124817443
1994-12,10491.670374939355
1995-01,9994.402456551681
1995-02,10173.121733995871
1995-03,10001.466413938379
1995-04,10064.22506381718
1995-05,10669.780760782833
1995-06,10512.975117972515
1995-07,10843.346681942166
1995-08,11219.896970096692
1995-09,11326.380499898336
1995-10,11184.366534076878
1995-11,11685.48769184796
1995-12,12019.229344901061
1996-01,13438.005274819789
1996-02,13151.559758335588
1996-03,13109.136217541856
1996-04,13659.295038156604
1996-05,13710.348691460375
1996-06,13720.86470125853
1996-07,13097.41436903992
1996-08,13621.987279406309
1996-09,14448.79192471218
1996-10,14598.386998371723
1996-11,15671.53659267686
1996-12,16175.06579820971
1997-01,17079.084213328762
1997-02,17808.76457422
1997-03,16905.36771742474
1997-04,17450.233829282148
1997-05,18578.406816793322
1997-06,18850.296768451346
1997-07,20268.296880099988
1997-08,19912.091719593678
1997-09,20263.247339092315
1997-10,16905.510921766232
1997-11,16911.213965684423
1997-12,16969.902486324958
1998-01,16659.267084328403
1998-02,17683.105459015977
1998-03,17893.889434822388
1998-04,16927.58602008218
1998-05,16103.340756545407
1998-06,15755.360280817546
1998-07,14673.059145754158
1998-08,12887.360322410324
1998-09,13059.954554056856
1998-10,14177.959274059358
1998-11,14984.095827315674
1998-12,14613.529491737829
1999-01,14679.47041504879
1999-02,15044.746282620017
1999-03,15858.377813701185
1999-04,17735.814786360297
1999-05,17600.088404097427
1999-06,18130.27956170805
1999-07,17281.126502054143
1999-08,17329.736014842805
1999-09,16419.47851638117
1999-10,16414.58347606159
1999-11,17618.346670599523
1999-12,18518.600994880355
2000-01,18886.750782658575
2000-02,18250.451652474487
2000-03,19567.864927250277
2000-04,20626.758532137534
2000-05,19443.975486594525
2000-06,20314.53491936385
2000-07,21902.69014068479
2000-08,23471.030458941208
2000-09,23504.91949876184
2000-10,23290.288913231176
2000-11,23050.473030347475
2000-12,23247.325758923052
2001-01,23826.40241203296
2001-02,23993.25500699684
2001-03,23564.549393965353
2001-04,23928.9954615446
2001-05,25297.705261076208
2001-06,25822.337227261167
2001-07,24614.183698355173
2001-08,24129.551910319155
2001-09,21734.35605764133
2001-10,21922.505043749312
2001-11,23119.17704003848
2001-12,23923.439881246133
2002-01,24317.330524407244
2002-02,24458.627449998177
2002-03,25529.002587502262
2002-04,25436.22439651791
2002-05,25274.18663781271
2002-06,23807.513439018185
2002-07,22755.286530489084
2002-08,22417.322062332518
2002-09,21362.317363654183
2002-10,21028.982545746338
2002-11,21727.318989263273
2002-12,20697.129215918085
2003-01,19802.125229835514
2003-02,19821.94013290004
2003-03,19559.34637079263
2003-04,19922.86650832213
2003-05,20336.57205454776
2003-06,21269.90954468973
2003-07,22546.76708328673
2003-08,23775.84663131694
2003-09,23460.845228394028
2003-10,24206.774476467806
2003-11,24322.886104705703
2003-12,24226.21900751243
2004-01,25725.114572038045
2004-02,26625.859324429024
2004-03,28221.607172157866
2004-04,25771.411074525247
2004-05,26628.08155654841
2004-06,27329.19579021458
2004-07,27840.123991663328
2004-08,29118.09264632002
2004-09,28799.57270920808
2004-10,29361.982621422598
2004-11,30075.31913174539
2004-12,31017.73073637485
2005-01,30865.507836196935
2005-02,30959.952701270824
2005-03,30841.43365490359
2005-04,32061.624274456255
2005-05,34158.48546510656
2005-06,36185.53153000616
2005-07,37849.98338742601
2005-08,37011.090762357926
2005-09,38542.39387862459
2005-10,37638.68615007443
2005-11,39606.84306381032
2005-12,41229.99844101157
2006-01,42704.264266214
2006-02,44476.49438142404
2006-03,45807.611420936046
2006-04,43797.04691092189
2006-05,41494.44406321846
2006-06,43193.15533247884
2006-07,44831.68114850585
2006-08,46381.50286576739
2006-09,47923.36158460113
2006-10,50261.149774194826
2006-11,50837.078265135606
2006-12,52500.23382048581
2007-01,55838.58202183289
2007-02,55323.394542155314
2007-03,55243.208999847484
2007-04,54290.61216467084
