Date,MSCI Emerging Markets Minimum Volatility
1993-05,10000
1993-06,10525.85732506421
1993-07,11293.885531182343
1993-08,11938.478863087268
1993-09,11667.728868004857
1993-10,12724.349223452073
1993-11,13759.877225408087
1993-12,16123.208912905211
1994-01,16647.34170960592
1994-02,16384.083819149262
1994-03,14576.146429606044
1994-04,14724.192866887535
1994-05,14934.699076016428
1994-06,14222.43867563251
1994-07,14246.186966206338
1994-08,15533.733990619072
1994-09,15678.82661371011
1994-10,15719.251027538061
1994-11,15427.558606054316
1994-12,14720.949878491947
1995-01,13209.146999258706
1995-02,12956.70463232581
1995-03,12476.526095646925
1995-04,12693.936182861256
1995-05,13761.636187916174
1995-06,13697.88387781452
1995-07,13709.271405889169
1995-08,13751.261544117631
1995-09,13917.488163769085
1995-10,13489.78641011397
1995-11,13112.937044637081
1995-12,13952.063790565258
1996-01,14689.309563082266
1996-02,14698.265406163744
1996-03,14800.592456584349
1996-04,15487.14411805024
1996-05,15663.027051706169
1996-06,15472.660406544745
1996-07,14422.956154564099
1996-08,14570.99573730981
1996-09,14848.283366902282
1996-10,14578.505921994132
1996-11,14412.292900816976
1996-12,14936.827934243078
1997-01,16172.085700546713
1997-02,17423.973230977288
1997-03,17393.129723480783
1997-04,17772.78442403072
1997-05,18108.503384423246
1997-06,19003.19757453056
1997-07,19949.090962136812
1997-08,19400.35994863461
1997-09,19240.292250598373
1997-10,16649.739231512878
1997-11,15522.568933291335
1997-12,15882.894610029762
1998-01,15104.647883232223
1998-02,16002.201269791656
1998-03,17066.500173191394
1998-04,17100.170659472602
1998-05,15359.68418417177
1998-06,13905.77676189786
1998-07,14279.702123518155
1998-08,11020.135707006928
1998-09,10938.793855902757
1998-10,11317.252130778465
1998-11,12564.44893808943
1998-12,12912.008988820198
1999-01,12681.779684582763
1999-02,13022.757573198965
1999-03,14937.15477638492
1999-04,16741.234056644644
1999-05,17091.25149848009
1999-06,18433.707775644478
1999-07,17616.84953458655
1999-08,18192.22715078445
1999-09,17588.706904344257
1999-10,17787.53823318813
1999-11,19560.49303006638
1999-12,20846.031876773235
2000-01,21754.913050995223
2000-02,22140.777289746457
2000-03,21886.76747727886
2000-04,21018.22587250355
2000-05,19997.759704500422
2000-06,19925.454640187836
2000-07,20086.805549269295
2000-08,20596.28254661133
2000-09,19886.351955152793
2000-10,19383.553663079674
2000-11,17957.46115555252
2000-12,17528.28844990354
2001-01,18908.85283146229
2001-02,18151.85008916939
2001-03,17610.896887990984
2001-04,17962.964433359797
2001-05,18930.170815125377
2001-06,18586.869103479054
2001-07,17216.600570167786
2001-08,16586.473439245656
2001-09,14858.42189652567
2001-10,15694.456840163473
2001-11,17049.273845626132
2001-12,18059.037518127905
2002-01,18928.052638403024
2002-02,19104.513855277084
2002-03,20008.684098468475
2002-04,19493.457548630555
2002-05,18491.382509429364
2002-06,16531.028553217166
2002-07,16229.109604749425
2002-08,16453.638263369063
2002-09,15216.47394808926
2002-10,15521.114587584196
2002-11,16139.60792977068
2002-12,15239.190041759399
2003-01,14729.069488875863
2003-02,14481.710704964022
2003-03,14168.807193052002
2003-04,14881.251571913412
2003-05,14928.529780316418
2003-06,16279.896708727632
2003-07,17310.54570358168
2003-08,18952.891544623355
2003-09,18054.995290609702
2003-10,19522.44052656009
2003-11,19154.933925292506
2003-12,19532.024167552623
2004-01,20210.985267016767
2004-02,20969.341824317755
2004-03,21794.187090633048
2004-04,21117.80506767583
2004-05,20380.65686420801
2004-06,20801.98760840405
2004-07,20978.134103114477
2004-08,21256.388109919782
2004-09,22059.450537755714
2004-10,22133.062893660965
2004-11,23413.017592278688
2004-12,24127.941614727653
2005-01,25154.66338088463
2005-02,26533.0937635647
2005-03,25782.126606305887
2005-04,25582.891957637883
2005-05,27508.14293986595
2005-06,29083.161671981376
2005-07,30904.160421514694
2005-08,31178.85081586709
2005-09,33713.8513903511
2005-10,31908.901695158816
2005-11,34621.09720693067
2005-12,36216.601756374424
2006-01,38270.826549774196
2006-02,39249.93213598509
2006-03,39028.60452208617
2006-04,39512.51102750079
2006-05,35015.389497830074
2006-06,34859.6489184347
2006-07,35464.03741405356
2006-08,36088.18400180658
2006-09,37492.49720575298
2006-10,39308.24587109795
2006-11,40514.09236055783
2006-12,42916.228307711724
2007-01,43421.74512182795
2007-02,42381.93049172633
2007-03,43319.25239275898
2007-04,44875.89904735542
2007-05,47384.625111474066
2007-06,48836.384023054
2007-07,49585.414241615916
2007-08,48819.94092535729
2007-09,51092.03444277883
2007-10,54938.252160498305
2007-11,50073.7883086302
2007-12,50989.50546979989
2008-01,45835.8008756965
2008-02,47557.8139711001
2008-03,44619.63602767151
2008-04,48060.609236706645
2008-05,48706.269341015846
2008-06,44581.8772247333
2008-07,43799.77020093346
2008-08,43787.144332123076
2008-09,38654.8195755361
2008-10,33727.18647488098
2008-11,32536.748448544084
2008-12,31515.823792838328
2009-01,31795.73851956671
2009-02,30900.319501703983
2009-03,32457.463969050972
2009-04,36775.54522796321
2009-05,38775.5506083375
2009-06,39245.585420872216
2009-07,42892.53100533623
2009-08,42257.4430768196
2009-09,44366.85774228861
2009-10,44241.385655468366
2009-11,44950.76952154092
2009-12,48709.068273675985
2010-01,48465.621846975315
2010-02,50332.8970922203
2010-03,53990.516863850855
2010-04,55351.40106163122
2010-05,56600.8063886447
2010-06,57825.94608430838
2010-07,59021.22318606482
2010-08,61393.14017787426
2010-09,62535.729512222286
2010-10,63456.56966408894
2010-11,65873.82560076231
2010-12,67968.11413801476
2011-01,63756.82361630102
2011-02,62508.026025435625
2011-03,64263.14946245454
2011-04,64213.91329668579
2011-05,65944.08732266187
2011-06,65194.34494604026
2011-07,67112.19333461406
2011-08,62918.371629635374
2011-09,59398.19013851687
2011-10,62842.795081505705
2011-11,62996.23434493788
2011-12,66105.83106661447
2012-01,69608.62678560798
2012-02,72403.54332114776
2012-03,72534.74609667149
2012-04,74082.93192312834
2012-05,72349.6029241864
2012-06,74548.32232618083
2012-07,78567.46553097128
2012-08,76794.9196571772
2012-09,77761.38940262058
2012-10,77213.92067457725
2012-11,78034.52922950896
2012-12,79562.22635099113
2013-01,78985.89031374376
2013-02,82079.53651516193
2013-03,83789.26228464792
2013-04,84004.58969409115
2013-05,81943.2506587448
2013-06,78712.08197944851
2013-07,77542.42970265982
2013-08,75183.72242120626
2013-09,77819.43300029545
2013-10,79902.5311870136
2013-11,77955.66360339515
2013-12,76393.38703272732
2014-01,73006.4486359216
2014-02,73540.27153312544
2014-03,75874.54277959852
2014-04,76770.89779796678
2014-05,80004.61506173044
2014-06,81420.95799862038
2014-07,84330.35987656092
2014-08,87609.69689360046
2014-09,87898.90430169483
2014-10,89357.262778969
2014-11,88446.60406160347
2014-12,88114.3428379063
2015-01,95672.902892071
2015-02,97877.64123125393
2015-03,103060.78746210986
2015-04,104526.51686957062
2015-05,103027.48772081867
2015-06,98503.86709663886
2015-07,96802.83048688625
2015-08,86579.37469664162
2015-09,84314.39637022886
2015-10,90698.54226279643
2015-11,89769.35076126986
2015-12,86800.42639544873
2016-01,82721.58522083035
2016-02,83102.39405059027
2016-03,87351.25561420288
2016-04,87448.53488054751
2016-05,86841.08874635372
2016-06,90601.80983723818
2016-07,93044.80610349767
2016-08,94438.35247785036
2016-09,94485.20890746816
2016-10,95215.41901661479
2016-11,93534.73235386568
2016-12,93553.94373982737
2017-01,94098.88357649378
2017-02,98272.59243363985
2017-03,100039.16284550517
2017-04,99475.33882614975
2017-05,98903.06411002607
2017-06,98085.11985041194
2017-07,98694.99721526039
2017-08,99484.74830785432
2017-09,99372.01335187079
2017-10,102876.0741570097
2017-11,101298.58596060931
2017-12,104599.89753429995
2018-01,106673.36451276824
2018-02,104776.27935004237
2018-03,103875.68186033654
2018-04,105733.18110432304
2018-05,107517.14233536797
2018-06,104175.17810318398
2018-07,106224.09466424701
2018-08,106441.47567851515
2018-09,107216.62199397077
2018-10,102087.56590619158
2018-11,105545.89633784528
2018-12,103661.79702540621
2019-01,109179.00859255403
2019-02,110271.9665502444
2019-03,112286.0892652767
2019-04,113977.25994232894
2019-05,109309.37954334299
2019-06,111442.67237023912
2019-07,113261.47159703079
2019-08,111431.14675433154
2019-09,113394.43446726761
2019-10,113382.24472960147
2019-11,112747.27746716951
2019-12,115082.26412436206
2020-01,112295.1744358283
2020-02,106751.61143911678
2020-03,94570.14197078731
2020-04,104245.77970438925
2020-05,101110.32753777003
2020-06,104107.35899880441
2020-07,103610.8233414705
2020-08,104687.58618008313
2020-09,105059.13540228372
2020-10,105441.6229288156
2020-11,110692.6988146905
2020-12,114043.97257733367
2021-01,116226.43078637659
2021-02,117644.86201017995
2021-03,122761.85188845443
2021-04,120466.39654236636
2021-05,122268.15349508813
2021-06,124927.15069431295
2021-07,119990.7546412436
2021-08,125433.92554036947
2021-09,125882.7861822896
2021-10,125869.1495250246
2021-11,126188.00745652553
2021-12,130876.97273793395
2022-01,130227.29380586543
2022-02,130294.2063709227
2022-03,130503.37781706026
2022-04,132870.39457891465
2022-05,128496.49410951317
2022-06,125355.61951593081
2022-07,129290.1336670139
2022-08,130965.37379629577
2022-09,124247.84365993054
2022-10,120196.1121163085
2022-11,124920.9949819025
2022-12,120086.72046265459
2023-01,122046.75730213197
2023-02,120825.66852658414
2023-03,121453.01283676844
2023-04,122721.11947604283
