Date,BEL 20
1994-03,10000
1994-04,10392.64728039777
1994-05,10380.955250866355
1994-06,9977.459695645623
1994-07,10335.271960222992
1994-08,10480.27723368992
1994-09,9734.518607804732
1994-10,9734.156998643966
1994-11,9982.040078348651
1994-12,9843.48350158204
1995-01,9590.718698207022
1995-02,9396.835919843303
1995-03,9217.538044297122
1995-04,10095.284013861685
1995-05,10523.911405755613
1995-06,10537.11014012355
1995-07,10841.102907940334
1995-08,10779.448546029833
1995-09,10756.305559740847
1995-10,10509.145698357692
1995-11,10973.632665360856
1995-12,11486.756064486966
1996-01,12455.145397016724
1996-02,12452.373060117523
1996-03,12080.819647431068
1996-04,12681.874340816632
1996-05,13164.863643212295
1996-06,13300.226005725479
1996-07,12948.621365074581
1996-08,13081.753804429713
1996-09,13516.106674702425
1996-10,13724.99623323791
1996-11,14476.17899653458
1996-12,14541.569986439656
1997-01,15746.210637336146
1997-02,16458.82175681784
1997-03,16489.076389935213
1997-04,17250.74581889408
1997-05,17576.796745517553
1997-06,18788.850384209734
1997-07,20356.245291547384
1997-08,18300.37667620913
1997-09,19237.908693686906
1997-10,18448.576163929487
1997-11,18890.402290191352
1997-12,19094.47039324996
1998-01,20375.29004068103
1998-02,21445.110742805486
1998-03,23580.59364170559
1998-04,24369.745366882627
1998-05,26009.22103359952
1998-06,27754.708452614133
1998-07,28233.117372306766
1998-08,25592.345939430466
1998-09,23871.68901612174
1998-10,25467.53051077294
1998-11,26437.245743558837
1998-12,28359.801114961578
1999-01,27594.214253427752
1999-02,27192.10486665662
1999-03,26298.93023956607
1999-04,26106.734970619254
1999-05,25389.844809401842
1999-06,25868.796142835618
1999-07,24972.909447039325
1999-08,26463.52267590779
1999-09,25369.715232785897
1999-10,25469.941238511376
1999-11,25920.38571643815
1999-12,27573.24092210336
2000-01,23170.52885339762
2000-02,22673.376525538646
2000-03,22935.603435287027
2000-04,23228.205514539703
2000-05,23961.85023353925
2000-06,25050.77595299081
2000-07,26029.049269248153
2000-08,26571.16166942896
2000-09,25922.193762241975
2000-10,26388.428506855507
2000-11,25357.239716739492
2000-12,25679.252674401087
2001-01,25224.529154738586
2001-02,25487.780623775805
2001-03,24118.185927376828
2001-04,24241.193310230527
2001-05,24131.565466325148
2001-06,25221.334940485158
2001-07,25605.544673798402
2001-08,25291.969263221334
2001-09,23101.521771884887
2001-10,22783.607051378636
2001-11,23032.996835919843
2001-12,24340.696097634474
2002-01,24204.61051679976
2002-02,24068.766008738887
2002-03,24248.244688865452
2002-04,24663.070664456834
2002-05,24386.499924664757
2002-06,22891.908995027876
2002-07,20364.68283863191
2002-08,20279.04173572397
2002-09,16873.58746421576
2002-10,17666.35528100045
2002-11,18733.1023052584
2002-12,18287.419014615036
2003-01,17017.99005574808
2003-02,15114.41916528552
2003-03,14782.281151122495
2003-04,16995.510019587164
2003-05,17989.814675305108
2003-06,18337.863492541812
2003-07,19127.13575410577
2003-08,19321.74175079102
2003-09,19397.31806539099
2003-10,20433.20777459696
2003-11,20505.52960675004
2003-12,21222.901913515143
2004-01,22561.09688112099
2004-02,23501.943649239114
2004-03,22528.793129425947
2004-04,23133.1023052584
2004-05,23428.356185023353
2004-06,24212.324845562754
2004-07,24158.204007834865
2004-08,25069.037215609464
2004-09,26403.736627994575
2004-10,27308.060870875397
2004-11,27950.218472201297
2004-12,28750.881422329367
2005-01,29405.635076088594
2005-02,30474.250414343827
2005-03,30661.925568781076
2005-04,29959.01762844659
2005-05,30852.07171915022
2005-06,31538.104565315654
2005-07,32705.07759529908
2005-08,32778.72532770831
2005-09,33844.44779267741
2005-10,33201.86831399729
2005-11,34522.886846466776
2005-12,36100.587614886244
2006-01,38129.09447039325
2006-02,39092.42127467229
2006-03,39836.07051378635
2006-04,40026.15639596203
2006-05,38273.1354527648
2006-06,38723.45939430465
2006-07,39691.66792225403
2006-08,40966.340213952084
2006-09,42694.47039324996
