Date,MSCI Europe Value
1987-06,58543.30464212198
1987-07,61518.425594663815
1987-08,62689.31410670253
1987-09,61478.5138692088
1987-10,50014.09921669602
1987-11,45244.44110318394
1987-12,46555.373267232324
1988-01,45369.29621299339
1988-02,49406.39390927581
1988-03,50524.542326426665
1988-04,51412.63237714151
1988-05,51033.4376641903
1988-06,52322.212227134936
1988-07,55348.01990246372
1988-08,54106.96258962365
1988-09,56353.18026561399
1988-10,60266.75884977335
1988-11,58887.09568014926
1988-12,59463.00067979243
1989-01,64219.14159345893
1989-02,64128.11883385644
1989-03,65357.49416131342
1989-04,67450.50205011731
1989-05,66895.98730873145
1989-06,70636.06464481742
1989-07,75449.67024743045
1989-08,75583.43003684377
1989-09,78164.92205470432
1989-10,70290.2688357151
1989-11,73180.19442052118
1989-12,78555.78381920213
1990-01,76314.06591196689
1990-02,74020.43068367455
1990-03,76183.41974819709
1990-04,73346.16544879024
1990-05,77366.43084030962
1990-06,80134.29378305674
1990-07,80906.3627249796
1990-08,69703.5826864569
1990-09,61732.6903452756
1990-10,63955.60278445381
1990-11,63777.434723643404
1990-12,63699.1505457667
1991-01,65806.54770421346
1991-02,70678.4870424601
1991-03,71573.35350223523
1991-04,74747.49671328155
1991-05,78125.35323424413
1991-06,74201.3875128375
1991-07,79651.05204061796
1991-08,79600.80353708283
1991-09,79707.55781601161
1991-10,77305.76934900826
1991-11,71904.26792036412
1991-12,74254.24710017818
1992-01,74810.56513607256
1992-02,76732.49248539205
1992-03,75958.12333685532
1992-04,80500.01119813068
1992-05,83276.67754166557
1992-06,78455.32985818492
1992-07,71695.86989468968
1992-08,69433.41836053129
1992-09,69945.37538389694
1992-10,67751.73485616164
1992-11,71960.30718117557
1992-12,73920.75874697551
1993-01,76916.8159012913
1993-02,80587.7913447278
1993-03,85946.47987463472
1993-04,85064.0141152363
1993-05,86356.10874700427
1993-06,88582.00712245805
1993-07,94030.94541670909
1993-08,102850.6943316478
1993-09,98417.7488423528
1993-10,103785.30132304032
1993-11,104280.95637715505
1993-12,112914.62339563936
1994-01,121198.22566904838
1994-02,116713.04584586128
1994-03,111195.97205473956
1994-04,116455.69647518685
1994-05,109634.24463924696
1994-06,107182.79814374831
1994-07,109521.20566187393
1994-08,112191.85982898004
1994-09,106759.58107530669
1994-10,110002.53333849565
1994-11,107072.57324333764
1994-12,109260.76883621892
1995-01,106397.06216671164
1995-02,106818.53700008581
1995-03,106729.70218636334
1995-04,108101.5930469535
1995-05,112507.69502920171
1995-06,111178.37589006548
1995-07,115741.1518494859
1995-08,113701.17457509424
1995-09,118465.69262557916
1995-10,115891.30149614051
1995-11,117511.5340210755
1995-12,123758.34411545913
1996-01,125432.83078889799
1996-02,128540.47415850185
1996-03,129804.87626067727
1996-04,132298.15084670062
1996-05,135020.6926628762
1996-06,135149.79797025133
1996-07,131824.49432003286
1996-08,134965.00510071573
1996-09,138176.56962153173
1996-10,141419.19942653758
1996-11,147317.46589293747
1996-12,154005.9645162996
1997-01,159559.66862491507
1997-02,170096.45074189958
1997-03,177660.04811346316
1997-04,178172.22135268425
1997-05,186629.3816106603
1997-06,196629.90572435802
1997-07,211775.5959330863
1997-08,205630.89592414533
1997-09,219809.77118730373
1997-10,209047.82592254554
1997-11,208261.31000646003
1997-12,221821.921901428
1998-01,236042.4445191991
1998-02,252302.190734392
1998-03,278523.4759091332
1998-04,282534.01064415695
1998-05,284519.61905245227
1998-06,286426.6300412351
1998-07,296638.04141717637
1998-08,251649.09254292597
1998-09,230387.11064225534
1998-10,237653.27277734823
1998-11,258262.2829375022
1998-12,261798.55254127612
1999-01,265525.6405207472
1999-02,271586.0638282524
1999-03,290835.3372341633
1999-04,315170.18361331284
1999-05,301256.9390555966
1999-06,310466.9504795503
1999-07,307776.6120465922
1999-08,313040.5574807421
1999-09,307030.02907945076
1999-10,319389.26108124503
1999-11,328995.3725151284
1999-12,357447.9583129386
2000-01,331680.50301940757
2000-02,341530.94670766115
2000-03,359736.85042198247
2000-04,362762.372577867
2000-05,365107.95200817945
2000-06,365565.67228175385
2000-07,380399.5344148185
2000-08,392472.4167119319
2000-09,384088.38966168056
2000-10,403691.7436062105
2000-11,381892.40314033825
2000-12,386152.5526072389
2001-01,391252.72703274974
2001-02,367023.8860422285
2001-03,359473.65825084667
2001-04,381592.46206206066
2001-05,384317.8393998999
2001-06,371855.72946316533
2001-07,362803.0108398692
2001-08,343376.86948682973
2001-09,307293.0141061189
2001-10,316721.1185330956
2001-11,332806.37142857426
2001-12,344851.65547327825
2002-01,331811.9157299888
2002-02,328865.21198684035
2002-03,349832.9574909465
2002-04,337822.69003479334
2002-05,328286.5517103154
2002-06,293356.7568806906
2002-07,267946.7132857081
2002-08,268437.28522426815
2002-09,223804.45475854832
2002-10,246896.20897336997
2002-11,264091.9133883833
2002-12,237707.78519394755
2003-01,220571.87666163745
2003-02,213507.93766942082
2003-03,206639.84849774058
2003-04,232598.79716797074
2003-05,236079.4273311215
2003-06,248654.51603522335
2003-07,260610.29429144322
2003-08,271384.73296542605
2003-09,257081.68112388064
2003-10,276674.5489392918
2003-11,278716.9853950656
2003-12,289101.16998300265
2004-01,296461.93375577475
2004-02,304588.1186109008
2004-03,300927.72787372494
2004-04,307494.5699677219
2004-05,306766.1171102785
2004-06,314175.98969278636
2004-07,310367.0742717751
2004-08,310339.88537276426
2004-09,315538.5199630186
2004-10,319079.6216421285
2004-11,329107.7952545419
2004-12,336025.4300033303
2005-01,346244.95872069575
2005-02,358816.7224214578
2005-03,356902.9279472468
2005-04,345731.3095178889
2005-05,364654.87623764016
2005-06,380075.51420047646
2005-07,393708.60139817663
2005-08,395929.8664925466
2005-09,412702.85145257023
2005-10,399782.96130365814
2005-11,420959.5021311087
2005-12,434147.107163839
2006-01,451759.55406534375
2006-02,464798.249479991
2006-03,471388.40580537
2006-04,478634.22716231475
2006-05,454388.1883639815
2006-06,461444.59001593216
2006-07,468919.2448910221
2006-08,481913.41413149226
2006-09,497983.3343738991
2006-10,520533.93551829085
2006-11,517408.2381998946
2006-12,535002.7835214145
2007-01,545387.1287885125
2007-02,531341.1803689953
2007-03,540922.1423525077
2007-04,567348.3314816834
2007-05,584848.439755138
2007-06,583388.0025669177
2007-07,559174.1531250896
2007-08,549565.479966274
2007-09,553933.427405979
2007-10,569539.9974504339
2007-11,529423.7803635449
2007-12,520973.6759295629
2008-01,457598.399095767
2008-02,450108.23180158273
2008-03,435182.7444797174
2008-04,469229.21802379726
2008-05,466073.96703709324
2008-06,410705.505587023
2008-07,402071.8529346492
2008-08,412194.62253563997
2008-09,359717.97917627945
2008-10,312141.48474180565
2008-11,294222.7804861319
2008-12,282499.67463512404
2009-01,264722.0539541948
2009-02,235832.86969866752
2009-03,242643.4707875093
2009-04,292157.5064130222
2009-05,309265.9049925785
2009-06,300327.4765541632
2009-07,334440.38435563835
2009-08,362391.84159781423
2009-09,369449.48829211696
2009-10,355176.43784715224
2009-11,359176.50908913417
2009-12,379163.1147651957
2010-01,364965.2961427833
2010-02,365056.5227071632
2010-03,390711.9357832081
2010-04,383206.2285239666
2010-05,360942.4253356181
2010-06,353655.0626278794
2010-07,380239.3184752343
2010-08,371405.3947208373
2010-09,382060.9311521597
2010-10,395444.3144451428
2010-11,379184.5852651889
2010-12,401006.9373211365
2011-01,419219.279706527
2011-02,428318.92715246126
2011-03,409728.3682912359
2011-04,423043.475298407
2011-05,419900.25774048414
2011-06,410144.9403803603
2011-07,396489.0721422601
2011-08,346605.0586596494
2011-09,335066.78508664307
2011-10,362059.70934763964
2011-11,357942.3478366759
2011-12,365754.5516783904
2012-01,375167.3221193339
2012-02,389187.3248786755
2012-03,385779.5044127348
2012-04,374680.116825264
2012-05,349886.0205512089
2012-06,378976.7221992381
2012-07,388276.830188625
2012-08,400945.2346046147
2012-09,404632.92631171923
2012-10,411032.8666172259
2012-11,419082.67381338717
2012-12,427848.3666286109
2013-01,442949.33811499964
2013-02,435372.75157846976
2013-03,441010.96941894747
2013-04,457265.9703454862
2013-05,463684.69906389737
2013-06,435579.45796795376
2013-07,464960.16626882175
2013-08,460688.8561063698
2013-09,487531.5442829131
2013-10,510334.2164237146
2013-11,517872.0748609936
2013-12,522820.0698602483
2014-01,516132.4319225221
2014-02,541941.050738985
2014-03,536921.748043895
2014-04,552430.0712255499
2014-05,566198.1987886872
2014-06,564523.2877796815
2014-07,558413.312678205
2014-08,565864.8773926344
2014-09,570071.8640149591
2014-10,553295.0545292954
2014-11,563381.73312018
2014-12,553878.7014244337
2015-01,587955.6908195675
2015-02,627810.2149071267
2015-03,635984.7808762148
2015-04,639242.7065052073
2015-05,644098.3705617556
2015-06,611095.5977171159
2015-07,638624.9262831472
2015-08,579031.4931747661
2015-09,541820.343475912
2015-10,588983.3709028229
2015-11,598177.686941608
2015-12,561404.0156664095
2016-01,517763.83887149225
2016-02,511683.53869300085
2016-03,520512.78743551794
2016-04,541808.3186027283
2016-05,548022.8405409908
2016-06,518406.29485692736
2016-07,538067.003898516
2016-08,545141.1114500987
2016-09,548824.6378697515
2016-10,556959.6725679649
2016-11,566516.0776546731
2016-12,609386.6831700123
2017-01,606075.4262609738
2017-02,614733.9966703048
2017-03,637804.8047424736
2017-04,643582.2108307849
2017-05,654254.42679732
2017-06,639789.8013809519
2017-07,645750.3452468431
2017-08,637270.1524621311
2017-09,663196.3868037527
2017-10,671650.7110779749
2017-11,663731.3472624553
2017-12,664648.3791403414
2018-01,679888.7857335224
2018-02,652868.0488725214
2018-03,635705.2136254233
2018-04,674041.0820067083
2018-05,658489.5925469338
2018-06,656136.9299288265
2018-07,674851.3518112872
2018-08,646793.6550288739
2018-09,663374.3989909742
2018-10,634611.7503849998
2018-11,624846.8039615694
2018-12,590053.2668788669
2019-01,626902.3481760755
2019-02,648747.8212072853
2019-03,654404.748106243
2019-04,677899.6949463375
2019-05,634960.4016508842
2019-06,660309.3584209323
2019-07,654431.9559226449
2019-08,632132.9253141414
2019-09,673909.6921046692
2019-10,680906.9643824261
2019-11,697092.7726811368
2019-12,711600.4597447698
2020-01,691617.7468506207
2020-02,625251.4894739154
2020-03,505552.83234757243
2020-04,532956.3540461931
2020-05,537742.0468027913
2020-06,563048.6054719157
2020-07,540360.8081120651
2020-08,560979.8524120877
2020-09,541659.3268628343
2020-10,510874.2495430432
2020-11,612734.2784202559
2020-12,622331.4405729315
2021-01,619582.5881116834
2021-02,647823.1901345412
2021-03,697363.9771511763
2021-04,697613.3543909327
2021-05,719252.9061797946
2021-06,716530.6547669229
2021-07,719640.3833317957
2021-08,732771.0342403612
2021-09,722838.5472963788
2021-10,743997.4745435088
2021-11,713817.180239321
2021-12,769358.3968812005
2022-01,790855.4568765457
2022-02,765711.6783011224
2022-03,770049.8126173902
2022-04,775949.1599892592
2022-05,792190.705234295
2022-06,725072.0570072246
2022-07,749512.6225679134
2022-08,728901.330567243
2022-09,684328.8725380622
2022-10,732607.3816452285
2022-11,778395.195065219
2022-12,764638.5520037513
2023-01,816999.9899426218
2023-02,835104.0902670618
2023-03,808879.491884899
2023-04,840016.8118508257
2023-05,803001.8904012415
2023-06,834240.232515693
