Date,MSCI Europe Value
1978-12,10000
1979-01,10216.684738804961
1979-02,10535.364411507491
1979-03,11154.508176869253
1979-04,11526.33871760593
1979-05,11121.278934587695
1979-06,11279.733989383914
1979-07,10989.408537107607
1979-08,11403.12653794651
1979-09,11810.099942702898
1979-10,10702.38433780901
1979-11,11036.089572968654
1979-12,10897.112258561541
1980-01,11272.505030922663
1980-02,11435.335144645658
1980-03,10490.671574052334
1980-04,11803.594092898547
1980-05,11437.110522459177
1980-06,12062.931680465897
1980-07,12059.73125042227
1980-08,12369.483700942556
1980-09,12257.475786904783
1980-10,12606.0869752796
1980-11,12652.342339965562
1980-12,12808.7700656411
1981-01,12389.264559049823
1981-02,13268.196091125692
1981-03,13711.700661829263
1981-04,14202.133132188723
1981-05,13842.137245338321
1981-06,14144.887896598866
1981-07,13975.532682373441
1981-08,14702.24144127985
1981-09,12729.510270263463
1981-10,12948.64797159461
1981-11,14400.196670642546
1981-12,14099.794694483708
1982-01,14426.308611501754
1982-02,14458.155928210357
1982-03,14688.35166366771
1982-04,15393.800120609507
1982-05,14765.01094224923
1982-06,14257.876506850796
1982-07,14648.946689643873
1982-08,14775.550302951058
1982-09,15005.739362971974
1982-10,15561.584213546621
1982-11,15933.361862618325
1982-12,16213.291797269881
1983-01,16532.97456010901
1983-02,17561.8298060735
1983-03,18648.49344215367
1983-04,20513.39029400162
1983-05,20459.72953756521
1983-06,21827.409814531547
1983-07,21713.145356086698
1983-08,22182.19623058018
1983-09,22557.69073201697
1983-10,21970.271589310156
1983-11,23242.509334355735
1983-12,24243.411498792473
1984-01,26397.573902002798
1984-02,26421.692500041947
1984-03,26069.342781141924
1984-04,26303.655336846186
1984-05,25549.98494666136
1984-06,25324.674719172286
1984-07,24435.22143067892
1984-08,26848.782319271562
1984-09,27705.064997476406
1984-10,28164.02488855103
1984-11,27452.398297398235
1984-12,28716.890055873224
1985-01,30940.708133034757
1985-02,30870.658569860567
1985-03,34293.80524151259
1985-04,32699.470264090927
1985-05,34557.00268603891
1985-06,34669.28300727133
1985-07,35948.053380294565
1985-08,36481.37845734668
1985-09,37844.77577716575
1985-10,39394.46782946742
1985-11,41581.75778682931
1985-12,42723.17527292566
1986-01,42416.677824065766
1986-02,46085.47383484809
1986-03,48629.17263500547
1986-04,52679.56546245336
1986-05,47035.58851809488
1986-06,49529.44193428434
1986-07,47409.839635846794
1986-08,51117.05371236974
1986-09,48105.741266175675
1986-10,47707.05452289713
1986-11,50437.025940438405
1986-12,51130.79086750721
1987-01,50847.42611517273
1987-02,51616.477236170955
1987-03,54729.00852476385
1987-04,56391.66163277525
1987-05,55792.63326065427
