Date,MSCI World Mid-Cap Equal Weighted
2007-04,29126.570748989347
2007-05,30235.487412473056
2007-06,29807.187335061088
2007-07,28675.35371999708
2007-08,28224.46873403867
2007-09,28328.54277452571
2007-10,28643.987197342012
2007-11,26445.317721021613
2007-12,25967.26068066028
2008-01,23834.4138802959
2008-02,23549.65774642316
2008-03,22346.232845939794
2008-04,23663.118321750317
2008-05,24358.76411658499
2008-06,21690.83914742451
2008-07,21098.783411696884
2008-08,22174.618006107907
2008-09,19846.86110606167
2008-10,17167.982190170103
2008-11,16576.902396479923
2008-12,16141.951317094201
2009-01,16089.099950062422
2009-02,14605.620892122748
2009-03,15128.67989179441
2009-04,17633.01670809793
2009-05,18327.80098169953
2009-06,18356.989692939012
2009-07,19909.758370349413
2009-08,20867.1983632287
2009-09,21363.979567028615
2009-10,20376.906162162162
2009-11,20574.80362643946
2009-12,22166.751808968485
2010-01,22221.742483173424
2010-02,23281.778016212233
2010-03,25066.739942132208
2010-04,25827.24202177995
2010-05,25275.796317542863
2010-06,24649.64979545269
2010-07,25066.736788455633
2010-08,24820.44049211357
2010-09,25474.489097303634
2010-10,25949.433176012124
2010-11,27248.322437298044
2010-12,28798.166442149373
2011-01,28586.090260005843
2011-02,29236.881491976288
2011-03,28365.917848947705
2011-04,28124.281690444142
2011-05,28541.313468196036
2011-06,27882.07220646233
2011-07,27820.56273772791
2011-08,25475.118427681664
2011-09,24786.953820632447
2011-10,26001.254436111707
2011-11,26159.395343568336
2011-12,26916.118970554136
2012-01,28124.853539769272
2012-02,28874.13185747229
2012-03,29311.699407008087
2012-04,29125.33434236416
2012-05,27837.67464000645
2012-06,28739.013324861007
2012-07,29520.95355258874
2012-08,29515.893312187767
2012-09,29714.20038979118
2012-10,29527.61669206496
2012-11,30059.547685199446
2012-12,30616.219214794608
2013-01,31313.79897859779
2013-02,32630.918510168332
2013-03,34410.190269426006
2013-04,35022.0370624235
2013-05,34868.659523296934
2013-06,33913.460611620794
2013-07,35118.773610546144
2013-08,34620.2244835663
2013-09,36141.920272491676
2013-10,36812.23151381863
2013-11,36995.118360149885
2013-12,37262.73371329128
2014-01,37024.10693104469
2014-02,38095.37684210527
2014-03,38085.99248041775
2014-04,38029.12329241877
2014-05,39530.0103064599
2014-06,40388.72612681212
2014-07,40385.0450766126
2014-08,41614.49431604489
2014-09,41690.79633155845
2014-10,41989.99680613223
2014-11,42716.85435872787
2014-12,43528.647459023145
2015-01,46648.394544007075
2015-02,49786.29498932385
2015-03,51560.81038014686
2015-04,50781.02843691485
2015-05,51964.0778851413
2015-06,49691.30311555992
2015-07,50927.954875535695
2015-08,46918.270972804276
2015-09,45053.716940105325
2015-10,49176.78493963875
2015-11,51038.728847717175
2015-12,48620.03982731698
2016-01,45059.04457142857
2016-02,45563.94778839089
2016-03,47235.65675537988
2016-04,48603.93915987021
2016-05,49420.315467097
2016-06,48508.81372005043
2016-07,51222.259868622335
2016-08,51017.24981674452
2016-09,51590.05130006271
2016-10,51381.15604604421
2016-11,53386.37376210626
2016-12,54810.41215823925
2017-01,55556.61671780568
2017-02,57488.61066339529
2017-03,57638.632674211956
2017-04,57520.94238975298
2017-05,57313.3342839319
2017-06,56915.56354714336
2017-07,56648.67319519058
2017-08,56033.39496997884
2017-09,57357.84916144334
2017-10,59121.56400756144
2017-11,59513.470422820494
2017-12,59939.59997998833
2018-01,60252.574109336114
2018-02,58852.77731128213
2018-03,57755.9529778427
2018-04,59664.6005000414
2018-05,61796.643036156944
2018-06,61471.57791731001
2018-07,62150.808766189504
2018-08,62672.78869796583
2018-09,63149.058852798895
2018-10,58869.97543028804
2018-11,58972.60154591074
2018-12,54243.88656069868
2019-01,58862.749791086346
2019-02,60922.915865452
2019-03,62030.903896751224
2019-04,63977.62794080942
2019-05,60427.64019729172
2019-06,63019.10956766257
2019-07,63998.19791588198
2019-08,62670.00339253352
2019-09,65455.21566351364
2019-10,65930.04877174109
2019-11,68524.31112729921
2019-12,68727.88012106107
2020-01,68296.77439015562
2020-02,62114.77403297806
2020-03,51124.62538152611
2020-04,57317.364486943734
2020-05,59480.97780172415
2020-06,60242.88421503841
2020-07,58626.222498311945
2020-08,61648.07049916247
2020-09,61585.5087529894
2020-10,60691.26758078304
2020-11,68299.16193656094
2020-12,69876.09999511042
2021-01,70509.38653922215
2021-02,72882.16205263593
2021-03,77357.80002388058
2021-04,77740.53012415163
2021-05,78390.08915334809
2021-06,80389.07108717605
2021-07,80768.4955680767
2021-08,82942.08707115092
2021-09,81883.54386389154
2021-10,84033.23390296265
2021-11,82535.57615418462
2021-12,85889.893088469
2022-01,81767.9030620294
2022-02,81042.75831770695
2022-03,82505.12319971173
2022-04,80610.66495635673
2022-05,79620.404816578
2022-06,74192.94317897371
2022-07,80975.71517552462
2022-08,79349.444432
2022-09,72926.18440705787
2022-10,75792.05404881986
2022-11,78595.84107941402
2022-12,74932.54570410651
2023-01,80307.41175297702
2023-02,79610.43109897352
2023-03,77600.57497011495
2023-04,77668.4878827065
2023-05,76868.32387906018
2023-06,79475.15292471931
