Date,MSCI World Mid-Cap Equal Weighted
1994-05,10000
1994-06,9812.62101488498
1994-07,9685.766177049181
1994-08,9930.583751846381
1994-09,9604.351082968014
1994-10,9530.03331740723
1994-11,9145.25813479877
1994-12,9475.417991093518
1995-01,9120.318655788027
1995-02,9068.183036113775
1995-03,9043.687949623714
1995-04,9153.65502862308
1995-05,9266.159388098517
1995-06,9220.451007281552
1995-07,9595.5061698778
1995-08,9769.496414613424
1995-09,10010.117199405462
1995-10,9599.781655756644
1995-11,9839.817352782278
1995-12,10260.56394511956
1996-01,10569.31775908586
1996-02,10808.745896249002
1996-03,11006.638519700113
1996-04,11575.046988416989
1996-05,11705.723943661973
1996-06,11523.535523063252
1996-07,10867.082641209228
1996-08,10950.429906188414
1996-09,11298.430941475828
1996-10,11266.617698013879
1996-11,11467.237757480314
1996-12,11528.065622535212
1997-01,11726.904272486772
1997-02,12267.931505478387
1997-03,12014.55250130913
1997-04,12113.917557037561
1997-05,13062.020638614295
1997-06,13644.642646850672
1997-07,14172.203309692668
1997-08,14047.111269054523
1997-09,14029.446192514342
1997-10,13197.317324749642
1997-11,12553.086525965495
1997-12,12602.972281680006
1998-01,13330.096487257337
1998-02,14238.238604608465
1998-03,14790.742320095827
1998-04,14743.855404045027
1998-05,14246.369574621485
1998-06,14183.94422657952
1998-07,13808.485852593267
1998-08,11804.79870956049
1998-09,11404.304228077755
1998-10,11969.423812297196
1998-11,12770.563780498243
1998-12,13104.888642395374
1999-01,13494.581152494726
1999-02,13504.215690687966
1999-03,14513.210232731335
1999-04,15770.245631782576
1999-05,15786.301606732975
1999-06,16671.895120061967
1999-07,16349.877853001686
1999-08,16647.985078974747
1999-09,16436.065080168777
1999-10,16992.85752224242
1999-11,18203.095018322274
1999-12,19493.094565000996
2000-01,19281.14189766112
2000-02,20383.50535721639
2000-03,21143.52524233225
2000-04,20904.221217391303
2000-05,20113.682296033538
2000-06,20688.040284637922
2000-07,20679.413142918962
2000-08,22699.70563664945
2000-09,22188.40163377068
2000-10,22002.846315789473
2000-11,20098.298424689085
2000-12,19532.09687694788
2001-01,20176.269140213062
2001-02,19032.784532871974
2001-03,18482.565778985507
2001-04,19946.010004506537
2001-05,20983.579320754718
2001-06,20476.585981132073
2001-07,19231.834627070246
2001-08,17934.643861105043
2001-09,15729.072951483953
2001-10,16476.029462508293
2001-11,17595.55044279613
2001-12,17921.97793259957
2002-01,17848.567993516266
2002-02,17838.843805340424
2002-03,18798.386666666665
2002-04,18328.61264653641
2002-05,17926.576192606797
2002-06,15866.84095839599
2002-07,14683.262770111418
2002-08,14612.243083494355
2002-09,13300.130255578093
2002-10,13619.251257096514
2002-11,14318.45650851214
2002-12,13069.423263087632
2003-01,12411.685991124259
2003-02,12276.517662771286
2003-03,12089.294010096377
2003-04,12729.343505525108
2003-05,12969.01092877686
2003-06,13766.966209853854
2003-07,14338.510902986394
2003-08,15702.784837558342
2003-09,15034.030566426365
2003-10,16214.439511271725
2003-11,15786.206743371684
2003-12,15813.634926365796
2004-01,16524.50335917313
2004-02,16856.433461104847
2004-03,17552.254083769632
2004-04,17348.173352306017
2004-05,17195.000662403676
2004-06,17878.474912381735
2004-07,17279.602186228094
2004-08,17267.185837668236
2004-09,17345.393930211947
2004-10,17407.981609484177
2004-11,17865.282142158707
2004-12,18209.054407165404
2005-01,18709.235406214037
2005-02,19002.39038093083
2005-03,19154.711570502932
2005-04,18548.017152118544
2005-05,19881.05103560133
2005-06,20717.3692623222
2005-07,21581.712501447117
2005-08,21757.47576979833
2005-09,22841.366802856668
2005-10,22253.400462446974
2005-11,23719.722566063385
2005-12,24643.077772315
2006-01,25290.68258128404
2006-02,25688.912020210526
2006-03,26027.484124256447
2006-04,25851.403263938744
2006-05,25260.196916381723
2006-06,25457.16222449461
2006-07,25078.5446228558
2006-08,25667.05660882422
2006-09,26433.086028436017
2006-10,27290.691291745432
2006-11,27140.143696969695
2006-12,27657.901886104788
2007-01,28675.484045082594
2007-02,28462.141899931878
2007-03,28762.09826100015
