Date,Gold spot price (EUR Hedged)
1968-01,10000
1968-02,10000
1968-03,10000
1968-04,11107.954545454544
1968-05,11917.613636363636
1968-06,11619.31818181818
1968-07,11036.931818181818
1968-08,11306.81818181818
1968-09,11250
1968-10,11079.545454545454
1968-11,11321.022727272726
1968-12,11903.40909090909
1969-01,12085.227272727272
1969-02,12130.681818181818
1969-03,12187.499999999998
1969-04,12386.363636363636
1969-05,12238.636363636362
1969-06,11704.545454545454
1969-07,11758.522727272726
1969-08,11607.954545454544
1969-09,11556.81818181818
1969-10,11292.613636363636
1969-11,10113.636363636362
1969-12,10000
1970-01,9940.340909090908
1970-02,9948.863636363638
1970-03,10028.40909090909
1970-04,10184.65909090909
1970-05,10071.022727272726
1970-06,10082.386363636362
1970-07,10028.40909090909
1970-08,10170.454545454544
1970-09,10340.90909090909
1970-10,10582.386363636362
1970-11,10664.772727272726
1970-12,10619.31818181818
1971-01,10809.65909090909
1971-02,11022.727272727272
1971-03,11045.454545454544
1971-04,11278.40909090909
1971-05,11602.272727272728
1971-06,11392.045454545454
1971-07,12045.454545454544
1971-08,11548.295454545454
1971-09,12102.272727272726
1971-10,12028.409090909092
1971-11,12386.363636363636
1971-12,12394.886363636362
1972-01,13394.886363636362
1972-02,13693.181818181816
1972-03,13744.31818181818
1972-04,14090.90909090909
1972-05,16889.204545454544
1972-06,18366.477272727272
1972-07,19403.40909090909
1972-08,19000
1972-09,18238.636363636364
1972-10,18292.613636363636
1972-11,18068.181818181816
1972-12,18437.5
1973-01,18750
1973-02,24147.727272727272
1973-03,25568.181818181816
1973-04,25775.56818181818
1973-05,32599.431818181816
1973-06,35014.204545454544
1973-07,32840.90909090909
1973-08,29403.40909090909
1973-09,28409.090909090908
1973-10,27840.90909090909
1973-11,28693.181818181816
1973-12,31889.204545454544
1974-01,37642.04545454545
1974-02,46164.77272727272
1974-03,49147.72727272727
1974-04,48082.38636363636
1974-05,44531.25
1974-06,40980.11363636363
1974-07,44318.181818181816
1974-08,44318.181818181816
1974-09,42968.75
1974-10,47443.181818181816
1974-11,52272.72727272727
1974-12,52982.954545454544
1975-01,49943.181818181816
