Date,MSCI SRI LANKA
1992-12,100.0
1993-01,91.7515
1993-02,93.5409
1993-03,93.5485
1993-04,89.4042
1993-05,94.4022
1993-06,104.3079
1993-07,117.6904
1993-08,119.2323
1993-09,124.4234
1993-10,142.1966
1993-11,162.5943
1993-12,165.6902
1994-01,193.1743
1994-02,233.9223
1994-03,201.0386
1994-04,175.314
1994-05,170.7525
1994-06,169.0691
1994-07,171.3248
1994-08,179.6938
1994-09,196.2903
1994-10,185.8071
1994-11,178.4399
1994-12,160.6769
1995-01,154.2367768075612
1995-02,130.52979934312674
1995-03,133.35478255106105
1995-04,117.33046489608952
1995-05,115.07146833356357
1995-06,127.52063254956627
1995-07,128.03908954907715
1995-08,123.10409271500991
1995-09,110.62336872828622
1995-10,113.3838884620634
1995-11,107.34754904764002
1995-12,110.47203604046366
1996-01,115.70386298241955
1996-02,117.77923830718396
1996-03,118.10694080717255
1996-04,108.2247321729231
1996-05,104.64610569595027
1996-06,93.28881788939935
1996-07,86.81021059501255
1996-08,86.4789198875531
1996-09,89.37417393742064
1996-10,93.14002323083078
1996-11,94.90000614147954
1996-12,93.92206776819681
1997-01,95.03695427317294
1997-02,97.60107457014094
1997-03,97.78392737706253
1997-04,112.95124919755789
1997-05,111.77056766908323
1997-06,127.4491525679459
1997-07,143.96476156366631
1997-08,129.6455180119218
1997-09,124.7333959695042
1997-10,113.47946397125305
1997-11,102.84070914557678
1997-12,106.25974298906327
1998-01,100.14282518526741
1998-02,106.91880738493985
1998-03,111.935895694027
1998-04,124.10655589702368
1998-05,98.33703134277599
1998-06,75.8497601350254
1998-07,80.73808887453077
1998-08,60.428804876636164
1998-09,60.63231744623574
1998-10,60.705133667813
1998-11,74.42574656380319
1998-12,79.08980458738482
1999-01,72.02954787373224
1999-02,69.43095372389527
1999-03,62.85556170279841
1999-04,65.06590929391795
1999-05,66.53565413357538
1999-06,61.281453400720146
1999-07,75.81865644857072
1999-08,70.3034848039858
1999-09,69.23399989267546
1999-10,64.91111944677668
1999-11,69.38865329723366
1999-12,74.1283845669624
2000-01,68.91790909770272
2000-02,66.63012355833645
2000-03,58.76804417138216
2000-04,56.01318539448825
2000-05,55.48956576651557
2000-06,62.22803040380827
2000-07,60.35265383987324
2000-08,55.95388395508685
2000-09,58.19508579667674
2000-10,53.5719934556171
2000-11,41.51022656596112
2000-12,43.931983433866755
2001-01,39.72386837902081
2001-02,42.082689147289784
2001-03,39.60735431345324
2001-04,37.15086547087283
2001-05,37.17493626509024
2001-06,38.62538491444541
2001-07,37.822032969604706
2001-08,36.68508083203389
2001-09,35.22788903174877
2001-10,52.50868124946642
2001-11,52.141641235081394
2001-12,63.37979348761017
2002-01,53.69053832543724
2002-02,59.11513576848556
2002-03,60.93449981519447
2002-04,62.46942903302091
2002-05,71.88514620514464
2002-06,75.9756003019148
2002-07,74.36838074283385
2002-08,82.97419836817973
2002-09,92.67911646734179
2002-10,86.51761169636981
2002-11,83.1556333564728
2002-12,85.33458719968034
2003-01,83.21030707243341
2003-02,77.19717546335646
2003-03,77.92147438578532
2003-04,88.08658001019671
2003-05,96.39729656246097
2003-06,138.78313903542326
2003-07,134.3078568844135
2003-08,138.869568
2003-09,166.171892
2003-10,175.9261211845961
2003-11,149.0461012190742
2003-12,124.93215649922362
2004-01,143.59846868172787
2004-02,135.73209381769166
2004-03,135.59616891989504
2004-04,126.3672308993604
2004-05,136.40086498944538
2004-06,139.94417064131065
2004-07,141.86705816357494
2004-08,135.14240957094316
2004-09,137.15466665088496
2004-10,144.06442739781255
2004-11,140.44353867961325
2004-12,139.0762899124958
2005-01,167.086569490191
2005-02,172.6875565129741
2005-03,172.6742543979788
2005-04,190.2233416711863
2005-05,196.27853118898392
2005-06,193.43429783285302
2005-07,193.5381628761244
2005-08,199.14342406094764
2005-09,236.44283120303663
2005-10,235.3494548476653
2005-11,216.35558113106845
2005-12,186.03127498973117
2006-01,197.63474249295177
2006-02,208.28928560351375
2006-03,211.97964130627045
2006-04,204.75993973590786
2006-05,206.08423602877332
2006-06,202.46701613152976
2006-07,202.81470977889123
2006-08,206.69711864838752
2006-09,217.57932045628579
2006-10,224.04377863897312
2006-11,268.09446029604345
2006-12,271.061710691494
2007-01,293.748053454507
2007-02,286.2395397854242
2007-03,269.3522254284073
2007-04,258.29591546443896
2007-05,243.10829928291872
2007-06,246.6485812996614
2007-07,225.24520868426598
2007-08,235.80927860097617
2007-09,225.23582443037122
2007-10,235.30727669438795
2007-11,230.9324459853759
2007-12,234.63743607286233
2008-01,230.22367221
2008-02,232.81566404
2008-03,232.60826339
2008-04,229.51124724
2008-05,224.16783720788968
2008-06,218.84298066370673
2008-07,205.98907619527978
2008-08,195.24050881767582
2008-09,163.00888860356855
2008-10,123.855099525211
2008-11,120.11001849629749
2008-12,95.35458687010704
2009-01,117.56854393495296
2009-02,107.47203721467456
2009-03,110.5557562326149
2009-04,121.1528113446363
2009-05,193.90912766029047
2009-06,226.22890600719242
2009-07,227.00410034119125
2009-08,221.436809285033
2009-09,246.1495085366255
2009-10,236.01008695893964
2009-11,241.3485011393798
2009-12,277.9440648647356
2010-01,278.72232704414677
2010-02,267.53622902207434
2010-03,290.3412060918144
2010-04,294.6429495322736
2010-05,294.6164089969727
2010-06,330.87434928530934
2010-07,379.3269904077671
2010-08,392.1142149216439
2010-09,512.1702052292204
2010-10,484.6137630833464
2010-11,482.2320150868242
2010-12,483.89733885440046
2011-01,482.0791399812314
2011-02,489.22510382102064
2011-03,473.35844482130136
2011-04,471.4911698047667
2011-05,471.05019375535664
2011-06,432.22635791754794
2011-07,427.3198178793974
2011-08,437.62057680686195
2011-09,423.70679541068176
2011-10,396.640978634281
2011-11,349.17133775240956
2011-12,350.6765432050123
2012-01,346.96752283577626
2012-02,329.7711960954687
2012-03,338.19130052577657
2012-04,340.1916461279183
2012-05,311.66650027636985
2012-06,305.87310569543786
2012-07,307.5088808210468
2012-08,325.45079288944453
2012-09,382.2464443906985
2012-10,343.5378423806598
2012-11,344.4914247841909
2012-12,369.70267209108727
2013-01,388.1399995631887
2013-02,390.24643862215277
2013-03,412.8869163555864
2013-04,422.00716202863276
2013-05,474.2254498218402
2013-06,417.2977839889818
2013-07,426.0779105476518
2013-08,373.004049732814
2013-09,378.299588741516
2013-10,398.02294158005924
2013-11,380.369031210729
2013-12,409.06691265644287
2014-01,433.71422290642965
2014-02,395.4056782365878
2014-03,410.21348217059506
2014-04,432.21230141242864
2014-05,429.07562874031356
2014-06,423.10846290739465
