Date,MSCI FRANCE
1969-12,100.0
1970-01,103.938
1970-02,101.171
1970-03,100.13
1970-04,94.308
1970-05,91.884
1970-06,89.812
1970-07,95.094
1970-08,94.766
1970-09,92.184
1970-10,93.619
1970-11,92.919
1970-12,94.83
1971-01,99.711
1971-02,99.162
1971-03,97.337
1971-04,97.379
1971-05,102.741
1971-06,100.85
1971-07,103.788
1971-08,100.99
1971-09,92.517
1971-10,86.607
1971-11,92.601
1971-12,96.386
1972-01,102.747
1972-02,109.571
1972-03,123.221
1972-04,126.64
1972-05,134.174
1972-06,129.073
1972-07,137.926
1972-08,139.114
1972-09,137.283
1972-10,131.781
1972-11,123.151
1972-12,120.388
1973-01,128.956
1973-02,146.231
1973-03,154.641
1973-04,165.286
1973-05,170.304
1973-06,177.086
1973-07,166.554
1973-08,153.762
1973-09,157.477
1973-10,160.3
1973-11,131.585
1973-12,124.956
1974-01,125.183
1974-02,131.975
1974-03,123.558
1974-04,118.227
1974-05,113.146
1974-06,104.43
1974-07,108.371
1974-08,95.295
1974-09,80.721
1974-10,87.863
1974-11,90.902
1974-12,96.744
1975-01,122.701
1975-02,125.727
1975-03,135.401
1975-04,147.987
1975-05,144.591
1975-06,135.827
1975-07,136.897
1975-08,136.509
1975-09,126.188
1975-10,135.679
1975-11,141.817
1975-12,140.459
1976-01,142.995
1976-02,149.885
1976-03,139.416
1976-04,132.953
1976-05,131.491
1976-06,128.465
1976-07,118.116
1976-08,117.883
1976-09,110.572
1976-10,102.737
1976-11,99.374
1976-12,112.159
1977-01,110.165
1977-02,105.449
1977-03,94.955
1977-04,93.268
1977-05,98.37
1977-06,105.511
1977-07,103.217
1977-08,111.115
1977-09,118.13
1977-10,123.828
1977-11,118.527
1977-12,118.897
1978-01,111.938
1978-02,114.399
1978-03,144.733
1978-04,152.256
1978-05,161.03
1978-06,159.601
1978-07,183.507
1978-08,179.292
1978-09,206.699
1978-10,213.455
1978-11,189.815
1978-12,206.188
1979-01,200.611
1979-02,189.143
1979-03,198.509
1979-04,208.225
1979-05,195.067
1979-06,224.722
1979-07,225.143
1979-08,242.109
1979-09,280.587
1979-10,248.024
1979-11,266.63
1979-12,265.638
1980-01,284.458
1980-02,281.649
1980-03,236.677
1980-04,262.591
1980-05,279.999
1980-06,283.691
1980-07,271.963
1980-08,278.412
1980-09,277.904
1980-10,286.561
1980-11,281.022
1980-12,260.179
1981-01,231.178
1981-02,233.771
1981-03,244.168
1981-04,218.693
1981-05,167.99
1981-06,155.816
1981-07,167.72
1981-08,177.017
1981-09,183.319
1981-10,178.774
1981-11,191.605
1981-12,185.417
1982-01,195.027
1982-02,204.503
1982-03,190.43
1982-04,208.71
1982-05,206.944
1982-06,170.838
1982-07,166.666
1982-08,171.059
1982-09,165.069
1982-10,165.945
1982-11,173.056
1982-12,177.86
1983-01,184.255
1983-02,192.034
1983-03,198.744
1983-04,206.629
1983-05,209.837
1983-06,206.432
1983-07,204.811
1983-08,211.147
1983-09,222.025
1983-10,221.635
1983-11,230.899
1983-12,236.883
1984-01,250.027
1984-02,256.093
1984-03,260.416
1984-04,275.142
1984-05,265.346
1984-06,258.296
1984-07,230.935
1984-08,255.562
1984-09,253.237
1984-10,257.669
1984-11,252.238
1984-12,249.012
1985-01,263.432
1985-02,256.559
1985-03,288.583
1985-04,295.692
1985-05,320.79
1985-06,311.676
1985-07,318.76
1985-08,333.034
1985-09,327.862
1985-10,357.046
1985-11,415.395
1985-12,456.223277
1986-01,496.601184
1986-02,586.370714
1986-03,644.150016
1986-04,724.604491
1986-05,627.367398
1986-06,664.402652
1986-07,738.912158
1986-08,817.851099
1986-09,755.555498
1986-10,754.940305
1986-11,811.885183
1986-12,817.276338
1987-01,906.371226
1987-02,925.85036
1987-03,982.031304
1987-04,988.736861
1987-05,933.861593
1987-06,876.137985
1987-07,896.136979
1987-08,942.667341
1987-09,883.634081
1987-10,721.050234
1987-11,710.500301
1987-12,707.631029
1988-01,600.1224
1988-02,726.34735
1988-03,683.158626
1988-04,742.431581
1988-05,791.846816
1988-06,800.999648
1988-07,779.231859
1988-08,754.211458
1988-09,827.845939
1988-10,922.545287
1988-11,941.068623
1988-12,981.202692
1989-01,990.661682
1989-02,969.815818
1989-03,980.711004
1989-04,1020.239979
1989-05,990.092854
1989-06,1011.490222
1989-07,1124.360933
1989-08,1116.963518
1989-09,1181.961771
1989-10,1128.150893
