Date,CANADA
1969-12,100.0
1970-01,102.493
1970-02,107.088
1970-03,108.227
1970-04,95.896
1970-05,86.828
1970-06,91.242
1970-07,97.821
1970-08,102.311
1970-09,109.037
1970-10,107.571
1970-11,112.744
1970-12,115.836
1971-01,119.716
1971-02,119.574
1971-03,124.909
1971-04,124.645
1971-05,121.303
1971-06,120.632
1971-07,120.928
1971-08,125.772
1971-09,124.729
1971-10,118.794
1971-11,118.485
1971-12,132.233
1972-01,138.434
1972-02,143.148
1972-03,143.49
1972-04,144.268
1972-05,152.174
1972-06,155.318
1972-07,154.899
1972-08,165.655
1972-09,164.794
1972-10,161.46
1972-11,169.105
1972-12,176.136
1973-01,175.909
1973-02,172.243
1973-03,172.697
1973-04,165.355
1973-05,158.983
1973-06,162.352
1973-07,171.435
1973-08,171.09
1973-09,176.88
1973-10,190.083
1973-11,171.856
1973-12,170.623
1974-01,176.11
1974-02,183.034
1974-03,178.88
1974-04,166.256
1974-05,153.484
1974-06,148.29
1974-07,150.805
1974-08,136.095
1974-09,122.336
1974-10,135.834
1974-11,124.259
1974-12,125.19
1975-01,144.779
1975-02,148.819
1975-03,144.666
1975-04,146.933
1975-05,150.099
1975-06,153.947
1975-07,152.762
1975-08,151.522
1975-09,144.206
1975-10,138.041
1975-11,149.255
1975-12,144.24
1976-01,159.993
1976-02,168.746
1976-03,166.716
1976-04,169.767
1976-05,171.032
1976-06,170.098
1976-07,167.831
1976-08,166.473
1976-09,164.594
1976-10,158.749
1976-11,139.042
1976-12,158.418
1977-01,153.869
1977-02,152.727
1977-03,154.021
1977-04,150.66
1977-05,148.055
1977-06,154.383
1977-07,153.908
1977-08,147.619
1977-09,148.458
1977-10,138.389
1977-11,146.589
1977-12,155.357
1978-01,144.16
1978-02,143.921
1978-03,150.507
1978-04,153.418
1978-05,162.204
1978-06,161.331
1978-07,170.436
1978-08,173.901
1978-09,180.15
1978-10,172.071
1978-11,182.142
1978-12,187.392
1979-01,191.86
1979-02,196.521
1979-03,216.473
1979-04,222.574
1979-05,228.583
1979-06,244.608
1979-07,233.169
1979-08,257.014
1979-09,273.815
1979-10,245.62
1979-11,267.619
1979-12,285.096
1980-01,326.91
1980-02,370.653
1980-03,288.971
1980-04,298.789
1980-05,324.868
1980-06,348.641
1980-07,363.078
1980-08,369.217
1980-09,367.06
1980-10,356.461
1980-11,370.904
1980-12,349.551
1981-01,346.515
1981-02,338.948
1981-03,365.138
1981-04,357.483
1981-05,370.481
1981-06,370.654
1981-07,345.834
1981-08,346.796
1981-09,296.532
1981-10,289.296
1981-11,327.682
1981-12,311.901
1982-01,284.711
1982-02,262.909
1982-03,247.406
1982-04,245.613
1982-05,240.828
1982-06,208.447
1982-07,222.188
1982-08,262.13
1982-09,258.961
1982-10,288.539
1982-11,292.974
1982-12,319.721
1983-01,329.77
1983-02,341.995
1983-03,350.752
1983-04,387.492
1983-05,397.167
1983-06,405.784
1983-07,408.172
1983-08,410.313
1983-09,416.146
1983-10,392.105
1983-11,426.518
1983-12,426.654
1984-01,406.415
1984-02,402.347
1984-03,390.41
1984-04,380.347
1984-05,364.188
1984-06,357.469
1984-07,347.012
1984-08,397.838
1984-09,394.322
1984-10,387.353
1984-11,387.803
1984-12,394.268
1985-01,425.941
1985-02,408.307
1985-03,418.898
1985-04,421.277
1985-05,434.659
1985-06,432.275
1985-07,452.968
1985-08,448.156
1985-09,420.124
1985-10,427.743
1985-11,455.563
1985-12,457.349958
1986-01,437.63461
1986-02,442.956244
1986-03,482.786534
1986-04,491.844147
1986-05,498.207244
1986-06,488.763309
1986-07,466.190696
1986-08,485.388481
1986-09,482.025716
1986-10,492.634081
1986-11,497.938714
1986-12,506.675592
1987-01,578.325721
1987-02,606.454423
1987-03,663.600933
1987-04,646.563385
1987-05,643.554178
1987-06,663.640871
1987-07,720.017278
1987-08,720.146046
1987-09,710.205023
1987-10,553.784847
1987-11,540.182454
1987-12,581.004146
1988-01,573.459686
1988-02,611.659652
1988-03,639.75169
1988-04,650.398311
1988-05,626.628246
1988-06,679.827463
1988-07,667.477984
1988-08,633.000689
1988-09,646.992216
1988-10,668.836826
1988-11,666.333387
1988-12,685.742073
1989-01,742.71686
1989-02,719.570161
1989-03,728.084117
1989-04,747.86709
1989-05,753.644761
1989-06,772.017571
1989-07,832.128131
1989-08,845.502109
1989-09,832.485191
1989-10,833.041216
1989-11,841.905857
1989-12,859.146661
1990-01,780.430961
1990-02,782.37238
1990-03,789.69972
1990-04,730.925806
1990-05,785.046098
1990-06,782.525904
1990-07,799.009018
1990-08,758.652129
1990-09,725.36305
1990-10,703.348696
1990-11,722.691894
1990-12,754.263674
1991-01,754.539649
1991-02,805.337751
1991-03,804.370444
1991-04,813.624159
1991-05,843.255698
1991-06,823.094787
1991-07,836.807233
1991-08,847.037569
1991-09,825.52111
1991-10,862.669684
1991-11,841.681153
1991-12,844.9474855999999
1992-01,856.7197299
1992-02,850.1720442
1992-03,803.9266518
