Date,AUSTRALIA
1969-12,100.0
1970-01,96.92
1970-02,95.85
1970-03,95.575
1970-04,84.926
1970-05,79.47
1970-06,89.789
1970-07,92.703
1970-08,92.038
1970-09,92.216
1970-10,83.818
1970-11,79.769
1970-12,80.809
1971-01,79.039
1971-02,77.621
1971-03,81.96
1971-04,79.033
1971-05,76.873
1971-06,77.642
1971-07,74.59
1971-08,72.106
1971-09,65.038
1971-10,65.387
1971-11,64.457
1971-12,79.501
1972-01,77.068
1972-02,85.016
1972-03,87.899
1972-04,86.271
1972-05,90.094
1972-06,92.602
1972-07,87.456
1972-08,88.081
1972-09,85.365
1972-10,90.653
1972-11,93.6
1972-12,96.273
1973-01,99.534
1973-02,100.731
1973-03,100.652
1973-04,94.406
1973-05,102.356
1973-06,99.952
1973-07,101.925
1973-08,90.849
1973-09,88.114
1973-10,93.369
1973-11,85.512
1973-12,84.606
1974-01,95.804
1974-02,104.755
1974-03,98.39
1974-04,94.827
1974-05,81.115
1974-06,76.291
1974-07,64.471
1974-08,63.324
1974-09,44.833
1974-10,56.27
1974-11,58.686
1974-12,56.475
1975-01,69.593
1975-02,71.006
1975-03,69.792
1975-04,68.711
1975-05,75.843
1975-06,73.772
1975-07,72.413
1975-08,70.011
1975-09,74.866
1975-10,77.16
1975-11,82.536
1975-12,85.213
1976-01,86.791
1976-02,88.333
1976-03,86.374
1976-04,88.505
1976-05,89.516
1976-06,90.815
1976-07,100.188
1976-08,100.013
1976-09,92.054
1976-10,86.644
1976-11,68.53
1976-12,76.551
1977-01,77.998
1977-02,75.749
1977-03,80.33
1977-04,79.525
1977-05,83.211
1977-06,83.048
1977-07,78.609
1977-08,74.899
1977-09,74.966
1977-10,80.627
1977-11,78.568
1977-12,85.764
1978-01,81.685
1978-02,77.312
1978-03,81.811
1978-04,87.163
1978-05,91.529
1978-06,91.376
1978-07,97.584
1978-08,103.853
1978-09,108.33
1978-10,103.652
1978-11,98.388
1978-12,104.624
1979-01,108.972
1979-02,112.66
1979-03,114.155
1979-04,110.385
1979-05,113.91
1979-06,112.445
1979-07,116.088
1979-08,130.213
1979-09,139.379
1979-10,137.55
1979-11,133.99
1979-12,150.591
1980-01,181.898
1980-02,186.781
1980-03,152.99
1980-04,163.866
1980-05,187.06
1980-06,201.23
1980-07,201.274
1980-08,213.055
