Date,MSCI MALAYSIA
1987-12,100.0
1988-01,105.3447
1988-02,99.8635
1988-03,105.9063
1988-04,115.2975
1988-05,118.536
1988-06,133.2386
1988-07,132.6181
1988-08,118.2622
1988-09,120.5478
1988-10,124.6499
1988-11,125.2494
1988-12,127.3363
1989-01,137.8954
1989-02,137.6611
1989-03,143.1648
1989-04,158.4147
1989-05,157.5771
1989-06,158.3645
1989-07,166.1199
1989-08,163.81
1989-09,176.2723
1989-10,169.5152
1989-11,181.3643
1989-12,199.9259
1990-01,202.8699
1990-02,213.0988
1990-03,205.2997
1990-04,185.1822
1990-05,212.1966
1990-06,210.1908
1990-07,229.7251
1990-08,199.2308
1990-09,168.8978
1990-10,180.9022
1990-11,174.3767
1990-12,185.8743
1991-01,185.588
1991-02,206.3316
1991-03,212.5405
1991-04,208.0522
1991-05,214.4129
1991-06,206.6502
1991-07,202.6439
1991-08,186.0314
1991-09,178.4889
1991-10,184.3064
1991-11,186.1342
1991-12,196.7379
1992-01,207.7676
1992-02,223.3617
1992-03,217.206
1992-04,218.9554
1992-05,215.0751
1992-06,216.573
1992-07,217.9146
1992-08,209.0938
1992-09,224.5047
1992-10,242.1965
1992-11,243.6909
1992-12,233.2503
1993-01,227.2685
1993-02,238.5538
1993-03,246.1226
1993-04,287.497
1993-05,297.7476
1993-06,286.2087
1993-07,300.7716
1993-08,329.9006
1993-09,354.5362
1993-10,411.2063
1993-11,404.4448
1993-12,488.7383
1994-01,412.4161
1994-02,429.02660000000003
1994-03,366.66630000000004
1994-04,404.3129
1994-05,390.8105
1994-06,397.29920000000004
1994-07,407.5238
1994-08,453.0239
1994-09,450.7869
1994-10,447.35630000000003
1994-11,409.50050000000005
1994-12,390.3482
1995-01,350.7147
1995-02,398.1558991071708
1995-03,399.49126736848933
1995-04,394.80062066054467
1995-05,439.0035446185995
1995-06,431.46343587242035
1995-07,440.7990435978008
1995-08,415.70756458833745
1995-09,407.88194519618315
1995-10,385.4199018227618
1995-11,386.1480724576125
1995-12,408.6073044974815
1996-01,423.5964711209397
1996-02,439.4288836528889
1996-03,467.565293610179
1996-04,492.1006295072596
1996-05,472.92230833653593
1996-06,474.8136416760968
1996-07,445.9259287790468
1996-08,470.1555549703413
1996-09,478.0721182681212
1996-10,488.0590054837397
1996-11,508.0036342100653
1996-12,512.9885458748466
1997-01,521.1578227627994
1997-02,543.9861651645808
1997-03,513.5894637150748
1997-04,455.9550921694827
1997-05,465.4878209455151
1997-06,453.288788513217
1997-07,409.0433950609351
1997-08,285.51610922949186
1997-09,264.69959584183766
1997-10,209.49367948789546
1997-11,164.95784691044045
1997-12,164.24345527487722
1998-01,145.80613518079667
1998-02,218.77764853026318
1998-03,213.13652298280945
1998-04,179.6182686787025
1998-05,148.22415373209154
1998-06,114.86450390464617
1998-07,102.60982251326499
1998-08,74.24807636797344
1998-09,69.20852999464186
1998-10,76.40374471414454
1998-11,96.10710738733876
1998-12,113.64489632879412
1999-01,115.38513911677339
1999-02,127.0972587895111
1999-03,117.633933295102
1999-04,163.44447527704355
1999-05,182.3657195142501
1999-06,201.68998819931318
1999-07,192.47117758401632
1999-08,224.74104843130178
1999-09,195.76207946040088
1999-10,221.51378872954646
1999-11,219.0114710957576
1999-12,243.5796601906133
2000-01,279.791938279865
2000-02,300.41475365924435
2000-03,297.80787169017594
2000-04,274.76432592051896
2000-05,283.2669090934304
2000-06,253.65013544125395
2000-07,242.0300498551121
2000-08,239.91182911599634
2000-09,211.31774089659885
2000-10,225.45265895242662
2000-11,220.21126106277478
2000-12,204.71839788799687
2001-01,220.9857802163462
2001-02,215.8907698414131
2001-03,196.95881787617088
2001-04,176.90281942665695
2001-05,172.88022376448671
