Date,MSCI MALAYSIA
2001-06,179.42264317474934
2001-07,202.5036283902739
2001-08,212.77371600222202
2001-09,190.42347104964375
2001-10,185.0349035574795
2001-11,196.705131946945
2001-12,214.04856554048706
2002-01,225.44216336449884
2002-02,221.8265149956867
2002-03,239.8985374618934
2002-04,253.26062051116932
2002-05,236.28553064197413
2002-06,232.9946509843421
2002-07,232.48377254691218
2002-08,230.05692303168823
2002-09,206.59473883726312
2002-10,215.536579505952
2002-11,206.93864136852
2002-12,212.64137183013932
2003-01,220.88304735434832
2003-02,214.86250642128016
2003-03,210.22213648656225
2003-04,209.5772726796035
2003-05,223.92618991189423
2003-06,232.15613357239656
2003-07,243.17225549096585
2003-08,250.01051959554468
2003-09,246.01229056273598
2003-10,278.1236957003957
2003-11,267.40338915454646
2003-12,269.2299662168759
2004-01,280.5489742599988
2004-02,302.9683436176206
2004-03,308.6140491810277
2004-04,287.4344666332914
2004-05,275.2720542766256
2004-06,278.4855152487013
2004-07,282.5608762008423
2004-08,280.4087036860464
2004-09,289.6175476394583
2004-10,293.5193913745318
2004-11,312.15244467017044
2004-12,310.0662949058396
2005-01,315.13983398412165
2005-02,312.60327939854574
2005-03,299.4535217911602
2005-04,301.5323810929284
2005-05,294.90096697051376
2005-06,304.7014046270067
2005-07,327.5247385843942
2005-08,316.919384047102
2005-09,324.43407784801553
2005-10,317.603662271928
2005-11,313.8321600124078
2005-12,317.1802781568905
2006-01,326.7243500489751
2006-02,338.2082792515456
2006-03,343.88671469728183
2006-04,358.5680735542044
2006-05,350.0671000371704
2006-06,339.9939928649561
2006-07,349.204406460136
2006-08,358.3354143206928
2006-09,360.0529065650389
2006-10,374.65316857484464
2006-11,416.2475495296972
2006-12,434.9788701805034
2007-01,480.09847282793083
2007-02,482.5332786185693
2007-03,514.546931606747
2007-04,548.912980228664
2007-05,568.7456784338407
2007-06,559.9341886263338
2007-07,568.8326216020474
2007-08,521.9350163323157
2007-09,565.7406940608874
2007-10,612.108884705664
2007-11,596.8408092081414
2007-12,635.3942708380735
2008-01,629.9866942488071
2008-02,627.9252731201353
2008-03,576.1268430109018
2008-04,591.5392192389753
2008-05,573.572559115381
2008-06,523.696237936576
2008-07,516.8501488546112
2008-08,471.64496552681794
2008-09,430.12688914568054
2008-10,354.98578116476165
2008-11,350.70246614522836
2008-12,373.54135163275623
2009-01,365.3989855451923
2009-02,360.8965726525532
2009-03,362.14957835446415
2009-04,420.4164193483316
2009-05,449.8003129655782
2009-06,463.73498618701274
2009-07,511.5430064572954
2009-08,511.48286885861575
2009-09,532.4575915112312
2009-10,557.2920427608007
2009-11,564.4325896057255
2009-12,568.018112823207
2010-01,563.0345995662468
2010-02,567.9504632565912
2010-03,619.520710911321
2010-04,646.248121561245
2010-05,601.4641176357823
2010-06,620.894206492608
2010-07,655.4697305493113
2010-08,697.8686677317457
2010-09,737.9480358382157
2010-10,757.5014493168421
2010-11,735.992380149272
2010-12,778.2159801280565
2011-01,785.0425550507439
2011-02,770.4272696506879
2011-03,811.3133979723799
2011-04,826.8934107315984
2011-05,824.1296460933826
2011-06,840.0925720094612
2011-07,838.4466678253638
2011-08,774.0766651104169
2011-09,697.4754546977423
2011-10,784.2399422065746
2011-11,749.0677597348056
2011-12,779.1341128819031
2012-01,813.702141556079
2012-02,848.7489265560436
2012-03,845.735774338646
2012-04,839.15385158284
2012-05,804.284388154803
2012-06,815.0099601927516
2012-07,840.2885691673878
2012-08,845.5670154543196
2012-09,858.4713865910105
2012-10,879.8419374047864
2012-11,855.6726758799026
2012-12,890.283775406591
2013-01,847.9215144834409
2013-02,861.4021341366778
2013-03,882.3308575677693
2013-04,923.8198705287466
2013-05,951.8551310533803
2013-06,937.4285451358501
2013-07,912.3281037158453
2013-08,875.3835616230136
2013-09,909.286670855321
2013-10,961.8340284796056
2013-11,944.9567636558102
2013-12,958.6246020167041
2014-01,905.0952404891924
2014-02,941.7580593139123
2014-03,954.6630673086338
2014-04,966.2098116264798
2014-05,980.5458277359445
2014-06,988.1558214059304
2014-07,988.9969507694591
2014-08,1001.193936406316
2014-09,956.800027436257
2014-10,958.2710064069107
2014-11,912.7068392199466
2014-12,856.4079961450315
2015-01,834.3569644834636
2015-02,862.8483135501053
2015-03,842.6646518629096
2015-04,874.3541849983856
2015-05,818.801044794704
2015-06,776.2291721039683
2015-07,773.3687235345769
2015-08,655.9001336696607
2015-09,634.7047909515524
2015-10,670.585272452256
2015-11,679.9617016147351
2015-12,684.6289412929827
2016-01,701.6070360796749
2016-02,687.8989654838442
2016-03,775.3080307605876
2016-04,755.5953045086621
2016-05,699.8902835015922
2016-06,729.3537661313783
2016-07,723.2807893124041
2016-08,740.0729337283963
2016-09,718.3019285521676
2016-10,717.197648737855
2016-11,654.8013242408227
2016-12,657.983098655406
2017-01,678.3570897112453
2017-02,690.5164650342219
2017-03,712.5530567249175
2017-04,740.108027
2017-05,750.972598
2017-06,749.149665
2017-07,750.082902
2017-08,758.587441
2017-09,762.900884
2017-10,760.997774
2017-11,774.578844
2017-12,822.829822
2018-01,886.813272
2018-02,874.358793
2018-03,892.948456
2018-04,885.1591802839663
2018-05,813.2234620592683
2018-06,790.7828397240773
2018-07,828.1491523502917
2018-08,834.2642107030645
2018-09,820.9132526099309
2018-10,768.5560961014647
2018-11,760.8360287139506
2018-12,773.1785597532026
2019-01,783.7950489623336
2019-02,798.2482047090443
2019-03,775.7297047519359
2019-04,767.9222271787826
2019-05,762.6379689314087
2019-06,784.6829528692572
2019-07,768.0908993501146
2019-08,739.363612048153
2019-09,735.1707167728123
2019-10,743.4986391846028
2019-11,728.5169394495811
2019-12,757.7510795755052
2020-01,728.0391732535994
2020-02,681.803240809781
2020-03,612.3824444417229
2020-04,645.9993506559553
2020-05,677.2192886791134
2020-06,695.5403758440281
2020-07,753.2102490997655
2020-08,725.5304577844455
2020-09,713.5592923029965
2020-10,702.6788467354409
2020-11,754.5258956891165
2020-12,785.5041092633772
2021-01,753.1619533666569
2021-02,754.6522288568898
2021-03,739.8995733387699
2021-04,765.3094029405281
2021-05,750.8472741241084
2021-06,721.7245385003713
2021-07,692.8719889421631
2021-08,751.1169044228407
2021-09,723.4911762240766
2021-10,741.6215325485197
2021-11,706.8648852051524
2021-12,736.4942283198039
2022-01,710.0236981335034
2022-02,749.0204792823416
2022-03,750.8571479100025
2022-04,730.3094864354879
2022-05,713.7206648567205
2022-06,654.9243773467956
2022-07,670.7640115592019
2022-08,674.331325442465
2022-09,608.5811348917647
2022-10,626.474762398223
2022-11,681.8053057962129
2022-12,693.9525698705628
2023-01,713.7635716469855
2023-02,662.0476501807207
2023-03,668.990867176365
2023-04,660.3584046574335
2023-05,624.9596421191139
2023-06,613.001415341197
