Date,PANAMA
2017-05,1000.0
2017-06,1031.072077307004
2017-07,1086.9789107111983
2017-08,1087.036961093651
2017-09,1107.8495746032795
2017-10,1090.934808936246
2017-11,1185.4694573809193
2017-12,1166.993946062903
2018-01,1217.8688800361188
2018-02,1190.352866705529
2018-03,1147.6222880500713
2018-04,1053.5000760167002
2018-05,1012.5175712258307
2018-06,878.2474819722604
2018-07,895.0477037327254
2018-08,749.9808857619705
2018-09,751.078860861371
2018-10,667.9487781509295
2018-11,774.2598914931206
2018-12,724.9562042682252
2019-01,858.1275604598334
2019-02,828.6819996452598
2019-03,766.4582274524729
2019-04,802.656424982707
2019-05,843.5321787296696
2019-06,911.6488505162489
2019-07,943.2016711664614
2019-08,942.2212019180072
2019-09,921.6667998895548
2019-10,953.1201983966923
2019-11,985.0810957096955
2019-12,1013.5759488486764
2020-01,924.7304294162151
2020-02,799.7636183781717
2020-03,440.1338956911876
2020-04,442.06184509228495
2020-05,442.26434823924114
2020-06,493.2804806573307
2020-07,421.9621398021943
2020-08,522.2629945924715
2020-09,498.76154584736486
2020-10,495.3614308175237
2020-11,757.1683069107538
2020-12,745.759819683458
2021-01,742.1967249738981
2021-02,859.1940962604546
2021-03,770.6020209505698
2021-04,813.6081046216317
2021-05,785.5253220403715
2021-06,730.4130806838778
2021-07,703.6115231738265
2021-08,745.2434057169343
2021-09,798.6810761771599
2021-10,743.4373367640815
2021-11,697.4206856029168
2021-12,803.5768190568197
2022-01,810.0787139166887
2022-02,812.047460232164
2022-03,805.5858415881828
2022-04,729.5515383550883
2022-05,696.6693527483878
2022-06,624.0253731558333
2022-07,660.3276468330789
2022-08,700.6158542698121
2022-09,654.2615037479957
2022-10,742.2557149379676
2022-11,853.2830057156615
2022-12,814.2274113510351
2023-01,895.8388081571188
2023-02,906.5820174047633
2023-03,901.1596720865397
2023-04,896.3799032080816
2023-05,1039.9721476232266
2023-06,1107.2981527129098
