Date,UNITED KINGDOM
1969-12,100.0
1970-01,99.383
1970-02,94.182
1970-03,96.612
1970-04,86.858
1970-05,82.614
1970-06,86.466
1970-07,89.798
1970-08,89.704
1970-09,95.07
1970-10,94.962
1970-11,88.586
1970-12,94.235
1971-01,94.634
1971-02,93.033
1971-03,101.16
1971-04,112.496
1971-05,116.771
1971-06,118.905
1971-07,127.017
1971-08,128.899
1971-09,129.17
1971-10,125.963
1971-11,129.396
1971-12,139.603
1972-01,147.454
1972-02,156.631
1972-03,157.251
1972-04,162.391
1972-05,159.362
1972-06,144.851
1972-07,153.165
1972-08,154.264
1972-09,137.493
1972-10,137.254
1972-11,147.078
1972-12,145.08
1973-01,135.967
1973-02,138.001
1973-03,138.007
1973-04,139.794
1973-05,144.328
1973-06,143.828
1973-07,133.414
1973-08,126.191
1973-09,128.342
1973-10,133.073
1973-11,113.411
1973-12,107.374
1974-01,103.003
1974-02,110.319
1974-03,92.803
1974-04,100.459
1974-05,90.432
1974-06,82.011
1974-07,76.97
1974-08,65.925
1974-09,58.385
1974-10,60.741
1974-11,51.63
1974-12,53.011
1975-01,82.917
1975-02,105.234
1975-03,96.691
1975-04,111.863
1975-05,115.791
1975-06,97.902
1975-07,93.64
1975-08,105.995
1975-09,104.728
1975-10,111.038
1975-11,109.175
1975-12,114.514
1976-01,125.94
1976-02,122.03
1976-03,114.88
1976-04,115.111
1976-05,103.261
1976-06,103.561
1976-07,100.366
1976-08,95.575
1976-09,84.822
1976-10,73.848
1976-11,81.65
1976-12,100.155
1977-01,109.9
1977-02,112.703
1977-03,116.615
1977-04,120.795
1977-05,124.069
1977-06,128.119
1977-07,126.35
1977-08,141.599
1977-09,153.669
1977-10,156.462
1977-11,148.456
1977-12,158.575
1978-01,154.567
1978-02,146.408
1978-03,150.543
1978-04,150.445
1978-05,156.963
1978-06,155.392
1978-07,171.702
1978-08,176.685
1978-09,179.285
1978-10,184.502
1978-11,175.954
1978-12,181.875
1979-01,181.073
1979-02,196.983
1979-03,227.158
1979-04,238.616
1979-05,222.19
1979-06,223.621
1979-07,225.974
1979-08,232.025
1979-09,236.697
1979-10,212.538
1979-11,222.252
1979-12,222.375
1980-01,246.605
1980-02,261.262
1980-03,227.408
1980-04,246.245
1980-05,248.95
1980-06,280.889
1980-07,290.931
1980-08,298.447
1980-09,307.476
1980-10,334.848
1980-11,329.137
1980-12,314.744
1981-01,313.342
1981-02,303.627
1981-03,308.237
1981-04,316.461
1981-05,291.442
1981-06,279.872
1981-07,270.24
1981-08,282.463
1981-09,232.15
1981-10,245.555
1981-11,293.288
1981-12,281.555
1982-01,295.252
1982-02,274.122
1982-03,278.929
1982-04,286.097
1982-05,295.727
1982-06,277.196
1982-07,287.323
1982-08,292.018
1982-09,306.003
1982-10,311.821
1982-11,303.406
1982-12,307.92
1983-01,303.43
1983-02,305.247
1983-03,309.664
1983-04,353.586
1983-05,364.218
1983-06,367.31
1983-07,354.219
1983-08,351.152
1983-09,350.807
1983-10,345.03
1983-11,360.595
1983-12,361.417
1984-01,375.79
1984-02,391.009
1984-03,406.01
1984-04,403.674
1984-05,361.925
1984-06,364.964
1984-07,343.236
1984-08,377.921
1984-09,371.304
1984-10,369.369
1984-11,377.129
1984-12,382.094
1985-01,390.476
1985-02,369.881
1985-03,428.912
1985-04,439.544
1985-05,461.917
1985-06,446.57
1985-07,502.15
1985-08,529.009
1985-09,510.43
1985-10,565.439
1985-11,609.423
1985-12,584.666318
1986-01,585.15144
1986-02,654.976881
1986-03,713.804964
1986-04,755.82801
1986-05,693.908691
1986-06,749.577672
1986-07,684.962656
1986-08,727.959721
1986-09,666.922293
1986-10,680.634389
1986-11,705.34694
1986-12,742.240788
1987-01,826.656901
1987-02,926.809963
1987-03,973.466553
1987-04,1038.508286
1987-05,1097.331553
1987-06,1135.076478
1987-07,1158.618004
1987-08,1134.723354
1987-09,1192.940183
1987-10,936.05315
1987-11,893.851972
1987-12,1002.669926
1988-01,996.090484
1988-02,992.426376
1988-03,1039.869261
1988-04,1067.759619
1988-05,1037.127773
1988-06,1003.395946
1988-07,1013.261077
1988-08,944.98173
1988-09,991.238814
1988-10,1069.913288
1988-11,1081.628573
1988-12,1062.359577
1989-01,1182.644185
1989-02,1151.984824
1989-03,1159.321118
1989-04,1175.680531
1989-05,1093.789834
1989-06,1102.715976
1989-07,1269.315992
1989-08,1239.779951
1989-09,1233.087724
1989-10,1116.352181
1989-11,1175.952298
1989-12,1294.68589
1990-01,1303.357798
1990-02,1267.808754
1990-03,1231.218352
1990-04,1152.212711
1990-05,1323.850693
1990-06,1402.623401
1990-07,1463.121504
1990-08,1385.282847
1990-09,1262.254075
1990-10,1364.222134
1990-11,1438.506848
1990-12,1427.960857
1991-01,1482.128859
1991-02,1602.421867
1991-03,1518.404231
1991-04,1498.684144
1991-05,1508.896506
1991-06,1381.716031
1991-07,1543.373481
1991-08,1583.07438
1991-09,1643.055498
1991-10,1601.539829
1991-11,1526.057046
1991-12,1656.6531456
1992-01,1640.1567003999999
1992-02,1621.8369116
1992-03,1530.0410895
1992-04,1713.0755909
1992-05,1810.9152345
1992-06,1742.3941525
1992-07,1677.0848027
1992-08,1673.0898306
1992-09,1643.1670700000002
1992-10,1512.0709124
1992-11,1531.3166933
1992-12,1596.1132777
1993-01,1561.32724
1993-02,1523.247032
1993-03,1634.813367
1993-04,1683.174112
1993-05,1695.328477
1993-06,1677.875173
1993-07,1673.053639
1993-08,1790.659365
1993-09,1770.1675559999999
1993-10,1839.6400623962297
1993-11,1847.9193769028027
1993-12,1986.1818215212436
1994-01,2075.306327833883
1994-02,1972.683956273133
1994-03,1840.663856409031
1994-04,1907.5681202661838
1994-05,1807.8324847405534
1994-06,1814.1154703889517
1994-07,1911.6544467398223
1994-08,2021.1189741233068
1994-09,1927.851230361605
1994-10,2040.043574203486
1994-11,1951.5159316097054
1994-12,1953.8230075528209
1995-01,1924.2145794084424
1995-02,1935.3230268885272
1995-03,2081.290531745829
1995-04,2110.5274760323773
1995-05,2159.6578264726495
1995-06,2162.0959832098165
1995-07,2283.0150637702664
1995-08,2229.1760390481395
1995-09,2296.670437403307
1995-10,2294.2628411814717
1995-11,2308.1491876997147
1995-12,2369.3334770196684
