Date,MSCI KUWAIT DOMESTIC
2005-05,687.5593535
2005-06,745.9578611
2005-07,780.9935783
2005-08,809.4697957
2005-09,854.2389015
2005-10,905.331083
2005-11,1000.0
2005-12,935.9250457917149
2006-01,951.1731577270043
2006-02,925.7447812832182
2006-03,801.7532267138815
2006-04,852.9981099156889
2006-05,829.8291950031155
2006-06,835.7245069070391
2006-07,799.3722170740099
2006-08,839.347558918354
2006-09,862.4009240172912
2006-10,941.168178258797
2006-11,861.8276649431622
2006-12,893.6483660515452
2007-01,883.0146167099576
2007-02,923.5664779986148
2007-03,1020.9748926868548
2007-04,1057.2579544113607
2007-05,1202.698583070267
2007-06,1223.6684772679155
2007-07,1270.2575387122479
2007-08,1284.8709771797646
2007-09,1310.5863856797553
2007-10,1283.2058419224322
2007-11,1199.3964390093172
2007-12,1244.9897531488077
2008-01,1369.874247854048
2008-02,1430.6235120604083
2008-03,1349.0323836136274
2008-04,1338.5317148882955
2008-05,1302.660224009596
2008-06,1323.7877991803657
2008-07,1300.8668312324312
2008-08,1237.6359138734688
2008-09,1108.1249237866118
2008-10,905.0559621871463
2008-11,832.5704326547572
2008-12,672.6648660885999
2009-01,560.8647503244504
2009-02,498.1117310109622
2009-03,564.4071317612284
2009-04,624.4992427909625
2009-05,696.4359683375894
2009-06,754.7743564134843
2009-07,749.6216821916985
2009-08,810.0561003805001
2009-09,786.8832011010679
2009-10,719.4819925261261
2009-11,649.0510067201308
2009-12,638.7422906284568
2010-01,601.9182409169341
2010-02,732.4599348543102
2010-03,763.2961698840043
2010-04,760.5732262078808
2010-05,695.18729688
2010-06,697.2388878878498
2010-07,759.1531744376707
2010-08,813.5550030697271
2010-09,900.4141527890075
2010-10,924.0703629283996
2010-11,890.7894125371367
2010-12,953.9851719012663
2011-01,950.4618529524325
2011-02,905.0537149292137
2011-03,867.9919741622234
2011-04,953.7806010650758
2011-05,889.8396860000768
2011-06,870.4052724576622
2011-07,829.2477218908039
2011-08,802.0170333479327
2011-09,797.4805157902754
2011-10,832.8811364372403
2011-11,820.6464179165359
2011-12,804.2028562716334
2012-01,805.9954349450688
2012-02,803.0748781149946
2012-03,831.8762288426934
2012-04,815.1992430265857
2012-05,785.9635542146849
2012-06,793.9159085655907
2012-07,761.9411135408936
2012-08,764.6166278614286
2012-09,811.2362196126282
2012-10,787.6916165413015
2012-11,836.6503344245774
2012-12,811.7519675284826
2013-01,843.423179265366
2013-02,828.1694437347971
2013-03,812.1244774655004
2013-04,866.078559470101
2013-05,881.3970264116923
2013-06,824.9357126894142
2013-07,849.5202532830966
2013-08,837.1830983439638
2013-09,881.4084153447285
2013-10,890.3434574250607
2013-11,867.6870207052515
2013-12,857.5051919046621
2014-01,865.0585364774026
2014-02,894.1282622579673
2014-03,958.2638085477
2014-04,977.7706388446842
2014-05,986.6006860911971
2014-06,929.476459347572
2014-07,953.2698005486299
2014-08,964.54016473508
2014-09,961.4110145236715
2014-10,923.5115323235797
2014-11,886.0329573114175
2014-12,829.88740010549
2015-01,834.6643485718976
2015-02,870.109980750028
2015-03,801.1176364623188
2015-04,833.402611127722
2015-05,782.6067197424342
2015-06,790.1146296101529
2015-07,782.2557515144789
2015-08,714.5648708829402
2015-09,723.4175720561562
2015-10,715.9140358753147
2015-11,712.8811857831607
2015-12,695.0230765275679
2016-01,622.8104283697917
2016-02,652.5850157422814
2016-03,682.1680511223828
2016-04,692.1871972439584
2016-05,662.7267222312385
2016-06,638.6408246348534
2016-07,647.9345765047424
2016-08,636.1154044304277
2016-09,650.6652950557879
2016-10,662.2026540558943
2016-11,692.7834141262091
2016-12,721.8983505907819
2017-01,823.8200012048453
2017-02,799.8282284505148
2017-03,798.1454126170004
2017-04,782.662514
2017-05,786.495823
2017-06,786.781502
2017-07,843.235622
2017-08,908.681473
2017-09,923.838629
2017-10,892.483005
2017-11,845.618753
2017-12,858.152061
2018-01,893.308323
2018-02,903.525694
2018-03,926.692664
2018-04,899.5324706837753
2018-05,877.7030250672525
2018-06,920.4733042957549
2018-07,993.0997831775874
2018-08,986.5808082134455
2018-09,1000.485223091375
2018-10,978.9170950871686
2018-11,993.5297076676867
2018-12,991.9527844967205
2019-01,1013.0049865494526
2019-02,1020.4808815790617
2019-03,1119.6163053375947
2019-04,1159.1160691763216
2019-05,1209.3763426329983
2019-06,1236.848640743282
2019-07,1306.3214956233405
2019-08,1266.6705072993748
2019-09,1189.3635459858767
2019-10,1203.0053106593061
2019-11,1266.5807220193942
2019-12,1361.017264137997
2020-01,1363.733812295725
2020-02,1293.4037996840282
2020-03,1002.8516556362908
2020-04,1077.8334166351697
2020-05,1118.814937895521
2020-06,1156.9572396070696
2020-07,1119.6231476670246
2020-08,1204.885248880298
2020-09,1235.1960487914896
2020-10,1227.065146002773
2020-11,1223.3783631381546
2020-12,1242.1616465411569
2021-01,1309.3780956648557
2021-02,1271.781316405951
2021-03,1343.9894638241374
2021-04,1426.9327497167308
2021-05,1461.0296587172845
2021-06,1486.4229426343693
2021-07,1556.4106236994116
2021-08,1614.260372907329
2021-09,1607.298242672469
2021-10,1642.8613724246347
2021-11,1580.1893162248427
2021-12,1633.8561118700097
2022-01,1717.5941696823315
2022-02,1767.109601245129
2022-03,1956.7250587615572
2022-04,1994.3644910058426
2022-05,1868.2760579183387
2022-06,1796.953995410628
2022-07,1862.429799619923
2022-08,1856.5883498575774
2022-09,1702.3159382930828
2022-10,1773.5657322317986
2022-11,1854.2762722399748
2022-12,1774.0272720159126
2023-01,1771.658636261948
2023-02,1761.8709091016933
2023-03,1701.1349812246435
2023-04,1749.0307820308121
2023-05,1636.0798524240574
2023-06,1703.0323039972257
