Date,BAHRAIN DOMESTIC
2005-05,1211.862416
2005-06,1180.745626
2005-07,1096.82534
2005-08,1031.790152
2005-09,1029.132564
2005-10,1038.081834
2005-11,1000.0
2005-12,959.0896896527441
2006-01,1074.1469574165135
2006-02,1049.8859355780558
2006-03,944.187956344137
2006-04,912.4353325904608
2006-05,884.9348851119653
2006-06,890.1529320035929
2006-07,902.2828304752303
2006-08,1026.1081048290355
2006-09,1067.506387100162
2006-10,1072.8083456628005
2006-11,1020.2037229905718
2006-12,1031.6874086038129
2007-01,941.5441962
2007-02,961.6944076272929
2007-03,966.91274872525
2007-04,935.4956725498246
2007-05,1059.814296151401
2007-06,1049.3538345113902
2007-07,1120.509776107455
2007-08,1167.3789441204426
2007-09,1150.092539424102
2007-10,1171.8572849511067
2007-11,1175.102885347048
2007-12,1249.6429091585449
2008-01,1272.7359622810059
2008-02,1413.54264633
2008-03,1465.518865014227
2008-04,1414.2229364226905
2008-05,1461.359025973646
2008-06,1474.216175116631
2008-07,1425.8409871148287
2008-08,1278.5896660521134
2008-09,1096.2655979992044
2008-10,887.4868769288239
2008-11,671.2140276262247
2008-12,535.9328885623235
2009-01,391.90082515
2009-02,373.5596426564274
2009-03,416.9630034647543
2009-04,504.5405884868142
2009-05,500.1234184730316
2009-06,471.7001671578683
2009-07,440.99738547
2009-08,422.12871461077185
2009-09,420.15100437686283
2009-10,407.84998464051296
2009-11,367.74002307609067
2009-12,353.2379350238131
2010-01,348.74900783563106
2010-02,347.9520783841175
2010-03,351.8486739024716
2010-04,335.8008242918342
2010-05,319.0184586626213
2010-06,290.3463938544874
2010-07,285.43418271835276
2010-08,305.1997871453646
2010-09,305.25800654910455
2010-10,299.8068507580046
2010-11,296.8715546289816
2010-12,291.7589010857788
2011-01,284.66286594543516
2011-02,285.748286210248
2011-03,288.8937444787946
2011-04,291.53549811506446
2011-05,269.9941111099207
2011-06,278.7966127910611
2011-07,275.71426350188955
2011-08,271.8897894851938
2011-09,227.7205351928361
2011-10,218.8532204709458
2011-11,228.2335293825825
2011-12,242.93243259442252
2012-01,240.7393787828904
2012-02,239.57349264652623
2012-03,260.4657052575415
2012-04,269.1373114017247
2012-05,270.7796610502442
2012-06,266.79168938295976
2012-07,259.347358288154
2012-08,246.71711812766844
2012-09,246.21309719157153
2012-10,247.89693395117783
2012-11,240.2529931176359
2012-12,233.68489966338603
2013-01,241.18905024144087
2013-02,240.86354064205966
2013-03,251.01551660687636
2013-04,246.31765070696036
2013-05,260.8708222447436
2013-06,242.0897213178782
2013-07,251.53439009706867
2013-08,242.25936499381
2013-09,236.7343384733393
2013-10,238.0553562371047
2013-11,222.4888384428927
2013-12,223.35620681523469
