Date,MSCI CHINA A ONSHORE + B
2004-11,1000.0
2004-12,942.2763173933253
2005-01,899.8221040908226
2005-02,978.6941647663649
2005-03,887.4428488850184
2005-04,880.1672236563852
2005-05,809.3315859655218
2005-06,825.129001022461
2005-07,854.6416692485711
2005-08,900.5949404221524
2005-09,890.4801976859768
2005-10,846.6763563253278
2005-11,842.5693476780647
2005-12,896.64843635061
2006-01,980.3353008667007
2006-02,1025.766939970095
2006-03,1038.4357398055533
2006-04,1156.4753382841398
2006-05,1354.1739112899716
2006-06,1400.972187014795
2006-07,1312.7804128381115
2006-08,1357.8349947309664
2006-09,1432.7192669140682
2006-10,1505.8549740522756
2006-11,1770.097428622063
2006-12,2112.4559012726636
2007-01,2460.399020615451
2007-02,2645.124094046819
2007-03,2900.610267937978
2007-04,3728.3369245730596
2007-05,4168.77570910519
2007-06,4011.4462774999038
2007-07,4784.005580051445
2007-08,5587.25707557332
2007-09,5894.0321983789945
2007-10,5992.830803449987
2007-11,5046.047113544516
2007-12,5782.019010422701
2008-01,5185.044419714341
2008-02,5330.256129520842
2008-03,4376.761198016529
2008-04,4544.379603235152
2008-05,4193.416759083515
2008-06,3319.4112042739307
2008-07,3397.0097685776204
2008-08,2846.171150415943
2008-09,2652.8071808543687
2008-10,1985.5674750366545
2008-11,2207.314248196921
2008-12,2207.688149809718
2009-01,2448.3001469899646
2009-02,2589.036225567715
2009-03,3023.6523502146997
2009-04,3177.2940551641673
2009-05,3340.87750990994
2009-06,3813.464449058001
2009-07,4470.161142462595
2009-08,3446.6132933055183
2009-09,3654.8643050784863
2009-10,3990.126264376517
2009-11,4297.084118080591
2009-12,4356.184270224701
2010-01,3948.3304888083667
2010-02,4057.078088510342
2010-03,4132.929721099214
2010-04,3816.403101118359
2010-05,3474.312411450299
2010-06,3227.97355830611
2010-07,3641.9135684817516
2010-08,3740.1013537939903
2010-09,3864.5947314776463
2010-10,4395.414286597735
2010-11,4179.360728089018
2010-12,4184.340017857333
2011-01,4052.2488893167047
2011-02,4326.419445799434
2011-03,4300.312254797254
2011-04,4278.3135592059625
2011-05,4017.723032027428
2011-06,4129.463371304024
2011-07,4091.628335194496
2011-08,3940.9108104734387
2011-09,3530.448285302527
2011-10,3700.0399107566514
2011-11,3463.172215822549
2011-12,3225.1587696465235
2012-01,3350.335528592995
2012-02,3621.1994084740168
2012-03,3369.862660228019
2012-04,3591.8841797150726
2012-05,3597.460274450994
2012-06,3411.606927959508
2012-07,3220.1182668228716
2012-08,3075.7549089941886
2012-09,3224.768920795976
2012-10,3200.30669868869
2012-11,3016.9092585864532
2012-12,3542.1344997732986
