Date,EGYPT
1994-12,100.0
1995-01,103.30587672336308
1995-02,107.5954006895994
1995-03,117.35359225962462
1995-04,117.65515054352461
1995-05,117.04210911045018
1995-06,119.56934893402739
1995-07,112.8422666097755
1995-08,114.36554332997217
1995-09,115.49310113829975
1995-10,113.80012869717685
1995-11,115.37357063646607
1995-12,115.7473522930902
1996-01,109.619274458599
1996-02,113.35588164452035
1996-03,109.10458109885057
1996-04,107.65674545044652
1996-05,109.55608869532624
1996-06,109.78599614269335
1996-07,125.09210459238422
1996-08,130.12467425149603
1996-09,144.24667522278057
1996-10,147.01407337543122
1996-11,173.86288296364094
1996-12,183.87980570072668
1997-01,243.36328969412105
1997-02,287.8179817248398
1997-03,282.41383313876054
1997-04,280.38259017461996
1997-05,253.68316036651586
1997-06,257.4948377400559
1997-07,247.20842189332902
1997-08,261.9004255495399
1997-09,270.9999933048661
1997-10,260.99090857459026
1997-11,241.00286248829153
1997-12,241.30462476739444
1998-01,223.97108412701976
1998-02,225.50517497653112
1998-03,237.51030700133552
1998-04,228.05069303536993
1998-05,204.67899574191742
1998-06,195.40154292976817
1998-07,193.46690725917713
1998-08,171.31015011384633
1998-09,186.5813310424019
1998-10,174.2878307597873
1998-11,171.02168951917
1998-12,176.16061551587097
1999-01,233.16995346828745
1999-02,220.56800960955806
1999-03,218.27540547407807
1999-04,217.57874244725028
1999-05,217.71747569536416
1999-06,233.17191886189025
1999-07,229.33513419695907
1999-08,216.10250234202942
1999-09,228.61438508070054
1999-10,251.9389136688251
1999-11,283.82843144853007
1999-12,331.8920912882661
2000-01,365.4288310636771
2000-02,331.6159312314902
2000-03,326.0446614511314
2000-04,291.70511241912925
2000-05,295.30720852061324
2000-06,254.57280550351882
2000-07,228.5634442202856
2000-08,222.2470013829612
2000-09,199.0387776632401
2000-10,182.76836796456791
2000-11,193.48922091151135
2000-12,186.8333486519788
2001-01,192.9503264370273
2001-02,170.38931542124743
2001-03,155.8992539083049
2001-04,163.72488603715874
2001-05,174.8092112943947
2001-06,160.3619620404174
2001-07,142.86097681665598
2001-08,145.1028973077374
2001-09,130.26003846640995
2001-10,126.72631226847555
2001-11,116.97004174570078
2001-12,109.67844601744254
2002-01,98.77096253903197
