Date,MSCI MSCI China Free
2017-03,682.6765275304967
2017-04,700.950244
2017-05,738.094162
2017-06,755.536331
2017-07,823.252775
2017-08,858.263997
2017-09,867.307613
2017-10,901.867024
2017-11,916.172913
2017-12,933.747164
2018-01,1050.415972
2018-02,983.129679
2018-03,950.752616
2018-04,950.5551651407886
2018-05,968.2647482027731
2018-06,918.0092343432434
2018-07,895.7252786164282
2018-08,861.8067745046175
2018-09,849.8744682894659
2018-10,752.4056777828254
2018-11,807.556741752422
2018-12,758.6823131763801
2019-01,842.5843407239495
2019-02,871.6701250332591
2019-03,892.9089199348707
2019-04,912.8189668261045
2019-05,793.6706849264411
2019-06,857.8970264719591
2019-07,853.5843657416403
2019-08,817.9268972043984
2019-09,817.8269064091484
2019-10,850.841189136724
2019-11,866.0158840128088
2019-12,938.1834890859332
2020-01,893.1218504368288
2020-02,901.806135960109
2020-03,842.3458784547116
2020-04,895.5465755612169
2020-05,891.3284633503621
2020-06,971.8044498119756
2020-07,1064.121071792525
2020-08,1124.5865528965564
2020-09,1093.9318179847564
2020-10,1151.805608699127
2020-11,1183.7557033028845
2020-12,1216.520135407818
2021-01,1306.0940855938734
2021-02,1292.5773117461247
2021-03,1211.3436081684415
2021-04,1228.2276227081477
2021-05,1237.8354199889886
2021-06,1239.4523194507995
2021-07,1068.26820049146
2021-08,1068.33100046081
2021-09,1014.7620887416596
2021-10,1046.7967497200027
2021-11,984.291688
2021-12,953.2767186189437
2022-01,925.1560772769882
2022-02,889.076597479763
2022-03,817.9934386609045
2022-04,784.6037264357988
2022-05,793.9526609924561
2022-06,846.60311369945
2022-07,766.6627752594682
2022-08,768.4056548073484
2022-09,656.6465328519065
2022-10,546.2719989997187
2022-11,708.596371562176
2022-12,745.4772297270355
2023-01,833.2995638894295
2023-02,746.8467216798772
2023-03,780.5809794984477
2023-04,740.3400646951017
2023-05,678.020359357504
2023-06,705.2780716027837
