Date,MSCI MSCI China Free
2002-11,100.0
2002-12,96.20142891594735
2003-01,100.6154614149353
2003-02,98.10647722075367
2003-03,94.26372788224626
2003-04,94.33262196806695
2003-05,106.60798802844312
2003-06,113.71813379220957
2003-07,125.17261898575669
2003-08,133.7495056690255
2003-09,134.7710555110515
2003-10,155.3163365947941
2003-11,156.74640773559963
2003-12,181.29280389260515
2004-01,179.99000466389006
2004-02,191.49187066146453
2004-03,175.23653295517252
2004-04,152.2108441197146
2004-05,162.77107677794365
2004-06,161.993718141901
2004-07,162.58218348536587
2004-08,163.4148164419262
2004-09,175.58332088336854
2004-10,171.37946488675254
2004-11,188.84245493742003
2004-12,185.730843894544
2005-01,181.65721122472337
2005-02,195.07702372776927
2005-03,185.05797466646115
2005-04,185.7419847517631
2005-05,187.718784030056
2005-06,196.04545857543044
2005-07,210.32351885120656
2005-08,211.5188164083052
2005-09,224.1177822592542
2005-10,202.24187217280104
2005-11,216.62976417771097
2005-12,223.6323316069734
2006-01,255.03923099863695
2006-02,263.1615286047878
2006-03,271.6402779385995
2006-04,285.5824993240406
2006-05,270.5974282667146
2006-06,276.21986809448913
2006-07,283.6757064525615
2006-08,289.89013752356846
2006-09,300.6984898355215
2006-10,321.4081955582562
2006-11,356.4343161428638
2006-12,408.2981103468532
2007-01,390.6624953682704
2007-02,383.56317612069796
2007-03,398.12824966700407
2007-04,412.4604307798211
2007-05,443.42939574653036
2007-06,495.084104453782
2007-07,546.4302423988472
2007-08,586.5580231442473
2007-09,704.2663839888288
2007-10,821.9936276481981
2007-11,711.0722932546422
2007-12,678.681904933828
2008-01,531.863559935342
2008-02,590.1156048745454
2008-03,518.3356861058082
2008-04,600.1444715902156
2008-05,570.4869378542996
2008-06,501.0348841404737
2008-07,513.1429965911236
2008-08,472.2118248828716
2008-09,375.79019930734825
2008-10,290.7080962508393
2008-11,303.48931298665013
2008-12,335.59523091496806
2009-01,307.076544995466
2009-02,296.9604879007223
2009-03,338.5021018946353
2009-04,376.4983011767161
2009-05,442.26960821972364
2009-06,460.0381336767669
2009-07,509.7095858884826
2009-08,474.51698419877425
2009-09,496.59308092516795
2009-10,528.4678305948308
2009-11,540.787191692617
2009-12,543.0135471238639
2010-01,495.89012273877836
2010-02,506.749212809429
2010-03,534.3641155546109
2010-04,532.4496522012693
2010-05,504.455964857681
2010-06,510.4136562894007
2010-07,531.9997092411869
2010-08,517.1204741579585
2010-09,564.2606609592734
2010-10,585.398170865605
2010-11,571.7339007230031
2010-12,567.430282147795
2011-01,564.5028362243221
2011-02,554.4719264401626
2011-03,584.0326350470233
2011-04,593.6609212174712
2011-05,596.2630925374838
2011-06,574.6576571292893
2011-07,569.6643782520224
2011-08,516.5882462698526
2011-09,429.7259151345879
2011-10,494.99912653594896
2011-11,453.5605269663589
2011-12,465.0430275197244
2012-01,515.6034673471644
2012-02,548.8587380588882
2012-03,511.0405006443544
2012-04,528.9891464264566
2012-05,473.29042653758313
2012-06,483.67935262331747
2012-07,490.799233319538
2012-08,475.2154375871167
2012-09,506.8547716776183
2012-10,536.0499346551479
2012-11,545.9093417915719
2012-12,572.2205742001684
2013-01,595.3315908844074
2013-02,571.9153511051419
2013-03,545.680164514438
2013-04,552.089611159321
2013-05,547.4589765880118
2013-06,510.3929130565082
2013-07,531.4863496942255
2013-08,544.5310639353942
2013-09,573.8935453706532
2013-10,588.6440644519522
2013-11,617.3269185269284
2013-12,596.4641203652546
2014-01,556.5251573508798
2014-02,571.6338502534139
2014-03,561.9324140533325
2014-04,548.8674059572902
2014-05,575.0332307219726
2014-06,593.6716393415294
2014-07,642.0274815850319
2014-08,643.3638165171534
2014-09,602.2932466222254
2014-10,628.4148507760516
2014-11,638.4562616977746
2014-12,645.8440104490179
2015-01,660.387121172946
2015-02,681.7691583786824
2015-03,698.1572674123888
2015-04,814.674716477531
2015-05,784.7272745609076
2015-06,741.8079669563889
2015-07,662.3527018722144
2015-08,585.1954745952504
2015-09,574.0381827843798
2015-10,626.1911032173409
2015-11,605.0379074896882
2015-12,596.9500746079261
2016-01,521.0791896272935
2016-02,507.9600435987302
2016-03,568.6032618183964
2016-04,567.557900073659
2016-05,563.6259521828295
2016-06,570.5908864875954
2016-07,590.545239849713
2016-08,634.1572280198511
2016-09,650.2941539007504
2016-10,637.7877258117355
2016-11,630.1509105322847
2016-12,604.3919466320173
2017-01,645.5342908415676
2017-02,668.4137393895843
