Date,MSCI CHINA A 50 CONNECT RMB
2012-11,1000.0
2012-12,1152.1065470801018
2013-01,1208.9872848998857
2013-02,1193.3119206479885
2013-03,1117.9847088907613
2013-04,1100.9201871075554
2013-05,1149.7455505952441
2013-06,1003.1917185917818
2013-07,1009.4474142305447
2013-08,1057.4119792690403
2013-09,1093.1804220370348
2013-10,1088.5308481167372
2013-11,1118.9229959805357
2013-12,1067.0068088089454
2014-01,1000.0832393225514
2014-02,962.9960507190387
2014-03,944.8956341588547
2014-04,951.0378113988112
2014-05,954.4257276031512
2014-06,973.2714786843967
2014-07,1083.139215520632
2014-08,1072.973089302441
2014-09,1094.4560881759528
2014-10,1125.9584838678702
2014-11,1238.4504672801909
2014-12,1603.8169316227943
2015-01,1529.39539396837
2015-02,1566.551882012378
2015-03,1770.0831714007718
2015-04,2163.153809399553
2015-05,2117.652277647952
2015-06,1950.175100983143
2015-07,1694.1363350509137
2015-08,1492.4782445013643
2015-09,1425.1844719983576
2015-10,1554.2307875384492
2015-11,1513.2623816528626
2015-12,1537.5700734106151
2016-01,1231.0434367166072
2016-02,1221.6469474319704
2016-03,1368.89552697299
2016-04,1343.712050439654
2016-05,1332.329027727328
2016-06,1320.5576176888476
2016-07,1378.2122888678966
2016-08,1418.6161551840685
2016-09,1384.1343881260439
2016-10,1414.8194761827147
2016-11,1520.141516342103
2016-12,1417.0888973395747
2017-01,1498.6656613003934
2017-02,1525.9049093869128
2017-03,1543.0313613235026
2017-04,1566.0552112074186
2017-05,1661.438952961275
2017-06,1757.005110184555
2017-07,1833.4546776180562
2017-08,1896.143040046066
2017-09,1911.7844710198224
2017-10,2057.380831019355
2017-11,2077.1036118911857
2017-12,2139.2423273423574
2018-01,2399.1012323262203
2018-02,2237.617144150056
2018-03,2167.173158437836
2018-04,2096.852977810192
2018-05,2049.639182403814
2018-06,1879.612566535969
2018-07,1872.0400948641602
2018-08,1787.249246640627
2018-09,1837.8734117788151
2018-10,1656.005375901052
2018-11,1659.6063706859334
2018-12,1608.0579497409108
2019-01,1778.434942125248
2019-02,1973.2788695464674
2019-03,2029.248437294622
2019-04,2064.0946017264664
2019-05,1880.8992547150533
2019-06,2016.033246515232
2019-07,2048.1098667327487
2019-08,1977.3410765123824
2019-09,1993.2016324180627
2019-10,2073.6617209031765
2019-11,2046.1715292090553
2019-12,2199.967347658515
2020-01,2164.8161432106876
2020-02,2098.2921755216657
2020-03,1950.6557553337382
2020-04,2094.057290989163
2020-05,2046.7070756704804
2020-06,2279.248933828785
2020-07,2606.2604534094035
2020-08,2726.6159200415677
2020-09,2667.5451713233097
2020-10,2831.4956433892744
2020-11,2980.5655702198605
2020-12,3311.9422606362173
2021-01,3515.778424510353
2021-02,3522.2236304574894
2021-03,3206.6734485042666
2021-04,3370.3593365316815
2021-05,3569.030111599697
2021-06,3538.7324752122154
2021-07,3168.301230634893
2021-08,3083.0373500776186
2021-09,3213.1687010988653
2021-10,3367.223597018323
2021-11,3291.831674201938
2021-12,3340.8396236748845
2022-01,3106.581894134013
2022-02,3141.0423761495103
2022-03,2880.1311017071343
2022-04,2678.372041958326
2022-05,2698.2123695023383
2022-06,2994.406764349254
2022-07,2754.4382398512776
2022-08,2641.2490580490676
2022-09,2408.300959897917
2022-10,2113.535922559719
2022-11,2374.5787341467526
2022-12,2488.613608809637
2023-01,2771.5864300008934
2023-02,2577.362454739644
2023-03,2549.159827709709
2023-04,2484.081258265609
2023-05,2254.635747010258
2023-06,2263.437799717528
