Date,MSCI NIGERIA
2002-05,133.49850537801086
2002-06,146.62398627248038
2002-07,137.67789808173995
2002-08,146.44715553355817
2002-09,138.84641758160208
2002-10,132.74535797845505
2002-11,139.58299762727975
2002-12,144.48392925414646
2003-01,165.8211426807022
2003-02,171.48789093439675
2003-03,160.80328842026933
2003-04,164.72907129317238
2003-05,176.55997208495015
2003-06,185.5314201879919
2003-07,176.5421476723984
2003-08,185.36561776330382
2003-09,204.76391829180085
2003-10,229.0025840838489
2003-11,216.70138127196972
2003-12,233.8927100633756
2004-01,274.9634026181008
2004-02,309.7944850870494
2004-03,281.19761013004285
2004-04,341.37539014233676
2004-05,383.58059907128586
2004-06,399.8126816007327
2004-07,371.8052260480123
2004-08,322.1227256677485
2004-09,311.73960732874525
2004-10,318.515714518384
2004-11,313.94919677923536
2004-12,312.2400347151649
2005-01,290.1261223789494
2005-02,275.555952627834
2005-03,255.0613133687842
2005-04,281.2149256741889
2005-05,279.0954186655343
2005-06,271.3696920471989
2005-07,284.19404980335645
2005-08,318.2294230753349
2005-09,354.1348703621523
2005-10,385.43599867210247
2005-11,361.81048293910845
2005-12,359.7507474598458
2006-01,367.43868363859394
2006-02,361.0243214259016
2006-03,357.575257711969
2006-04,370.90589013511914
2006-05,396.76031855207526
2006-06,416.67809449332486
2006-07,482.3046239173509
2006-08,599.483654166158
2006-09,566.8304118276574
2006-10,563.715880426749
2006-11,496.3789256374475
2006-12,535.2035466260497
2007-01,635.112816927024
2007-02,698.3525608647877
2007-03,720.8293463569174
2007-04,781.9493497017909
2007-05,819.0502845685963
2007-06,876.2733182733882
2007-07,897.8885174816456
2007-08,846.6390755526683
2007-09,902.9292922494803
2007-10,921.7962337987091
2007-11,1000.0
2007-12,1054.429089451209
2008-01,1055.295689439258
2008-02,1130.884749803377
2008-03,1097.0182524488994
2008-04,1045.913623265439
2008-05,1027.9496384550907
2008-06,993.1176656973298
2008-07,937.5623889063119
2008-08,863.7682333596249
2008-09,805.1944929320274
2008-10,574.2916643075356
2008-11,534.2147285499329
2008-12,446.4280319872087
2009-01,261.8573574297995
2009-02,328.1176243467457
2009-03,288.25215944065326
2009-04,328.5575202594371
2009-05,484.7340765248628
2009-06,430.960924559748
2009-07,382.79352712591503
2009-08,355.82562682474133
2009-09,365.0975125424718
2009-10,355.2293628228566
2009-11,343.2625386557291
2009-12,345.94482199311
2010-01,375.29615580957864
2010-02,387.6641386903733
2010-03,444.70426084788414
2010-04,445.9861623593915
2010-05,423.00923635450175
2010-06,420.3268364282223
2010-07,433.08883831647915
2010-08,397.0176718720212
2010-09,382.23384442624115
2010-10,420.2642685799667
2010-11,426.0228538608339
2010-12,438.43579250787633
2011-01,467.95727967721064
2011-02,452.40064304501766
2011-03,428.17871251924225
2011-04,446.7483683925905
2011-05,454.1257495443218
2011-06,446.3693550174074
2011-07,434.92705012839014
2011-08,374.8992722939245
2011-09,351.3381982851497
2011-10,377.26164265795614
2011-11,350.8131595530393
2011-12,369.72552338863494
2012-01,370.04273190936885
2012-02,375.9023770303975
2012-03,390.1100236230727
2012-04,430.02280466070795
2012-05,422.7985745803366
2012-06,408.0099859171208
2012-07,459.1383376805252
2012-08,492.57196200957236
2012-09,538.7436401389496
2012-10,550.314160193035
2012-11,553.3356890979617
2012-12,605.0571720663145
2013-01,670.9078903573005
2013-02,690.7671662940351
2013-03,701.0005108241216
2013-04,703.7487534788969
2013-05,783.2575668058129
2013-06,693.425214013702
2013-07,732.3501680689621
2013-08,689.557930932177
2013-09,715.8340536098013
2013-10,751.1674613893548
2013-11,768.6102045193625
2013-12,784.9012173395904
2014-01,731.6833154027985
2014-02,674.0402573371402
2014-03,675.4940593029864
2014-04,718.1357146518329
2014-05,786.2055613610187
2014-06,791.7485287961548
2014-07,801.9968191254053
2014-08,792.6489002362388
2014-09,783.9945618535555
2014-10,682.6402460623735
2014-11,608.1448229770529
2014-12,580.3726219014641
2015-01,482.0917718810765
2015-02,469.30496293408123
2015-03,523.3562753491519
2015-04,572.9893490411753
2015-05,567.0953793282785
2015-06,549.6977139988984
2015-07,478.0800998545009
2015-08,472.5207429492969
2015-09,514.6539934901786
2015-10,485.8621893306777
2015-11,448.85671784662827
2015-12,464.9599123664824
2016-01,387.8591721674228
2016-02,394.2451450662184
2016-03,397.7983615979228
2016-04,409.3266818097052
2016-05,473.1006338957196
2016-06,351.6928919134938
2016-07,302.01883308079334
2016-08,304.9656024047692
2016-09,312.934760573202
2016-10,301.367288591176
2016-11,288.7109874139701
2016-12,299.36857568406145
2017-01,300.70330616080264
2017-02,277.7454624034309
2017-03,301.3562481385037
2017-04,311.184396
2017-05,365.565615
2017-06,403.105182
2017-07,439.67793
2017-08,397.69624
2017-09,394.904627
2017-10,402.015218
2017-11,404.395626
2017-12,412.038904
2018-01,467.335476
2018-02,464.311376
2018-03,441.114156
2018-04,459.9360151547592
2018-05,420.7564915396643
2018-06,425.23527951884404
2018-07,411.6282759712647
2018-08,383.7502010532265
2018-09,365.38976932194316
2018-10,362.84634090707954
2018-11,352.750912602477
2018-12,354.73320480533965
2019-01,335.2316975332715
2019-02,354.7952088112198
2019-03,356.05818514977517
2019-04,343.6581685034678
2019-05,332.5472590989652
2019-06,332.7805451325906
2019-07,294.1908007253141
2019-08,280.81166857780687
2019-09,295.1958414254629
2019-10,273.52310817644974
2019-11,292.32156170185004
2019-12,299.27669946467563
2020-01,312.37924508299716
2020-02,268.76001932915614
2020-03,200.43356863747852
2020-04,226.0848315024013
2020-05,260.5472384638964
