Date,CHINA A RMB
2008-11,995.8994120806914
2008-12,970.2767708571636
2009-01,1051.513149091059
2009-02,1096.8352520077935
2009-03,1249.1910184488686
2009-04,1313.5655198792554
2009-05,1363.117339943155
2009-06,1593.7798600587062
2009-07,1882.5767353497893
2009-08,1424.441455588837
2009-09,1514.87150600578
2009-10,1634.4826326938557
2009-11,1735.1924948878536
2009-12,1770.6080017265704
2010-01,1560.9465438541306
2010-02,1588.1856709673054
2010-03,1620.992254850436
2010-04,1481.0028242434485
2010-05,1337.7324341281164
2010-06,1263.8435746202942
2010-07,1408.9309383642237
2010-08,1399.6449782186144
2010-09,1434.62082637071
2010-10,1661.5062360214804
2010-11,1533.1668049243704
2010-12,1556.0321721834187
2011-01,1545.0306547801347
2011-02,1608.986471245337
2011-03,1615.920298389825
2011-04,1624.2574561704587
2011-05,1539.2834982325116
2011-06,1583.5187380429404
2011-07,1545.9117732784057
2011-08,1489.5231333775262
2011-09,1364.8514133041822
2011-10,1437.0542877087412
2011-11,1340.3967912051398
2011-12,1288.878300194566
2012-01,1354.5864382701695
2012-02,1435.3118106155807
2012-03,1340.3927635627015
2012-04,1428.9815892178501
2012-05,1413.39852233175
2012-06,1353.131676439727
2012-07,1298.5666697019215
2012-08,1228.8794042946668
2012-09,1292.5598033228591
2012-10,1284.2377916881162
2012-11,1231.8282776108113
2012-12,1438.70034284864
2013-01,1519.7310295736963
2013-02,1507.1458775724275
2013-03,1411.8778686018732
2013-04,1396.0503094788285
2013-05,1483.8891655273055
2013-06,1279.9570004556283
2013-07,1289.618841552923
2013-08,1361.2999734273822
2013-09,1416.918933818314
2013-10,1401.8438064539043
2013-11,1443.8439785872151
2013-12,1389.9488410604924
2014-01,1312.0440337056712
2014-02,1276.1060631677958
2014-03,1244.6435143367853
2014-04,1241.9462305028383
2014-05,1243.6028583373347
2014-06,1269.306118
2014-07,1404.15497
2014-08,1401.889093
2014-09,1464.873551
2014-10,1509.720277
2014-11,1674.648029
2014-12,2068.039019
2015-01,2001.525774
2015-02,2076.03282
2015-03,2389.628432
2015-04,2838.797978
2015-05,2895.09998
2015-06,2680.051004
2015-07,2295.712543
2015-08,1971.468334
2015-09,1875.07927
2015-10,2101.101
2015-11,2095.020803
2015-12,2139.618797
2016-01,1649.241547
2016-02,1627.199785
2016-03,1846.907355
2016-04,1797.873117
2016-05,1771.700018
2016-06,1772.041984
2016-07,1835.505515
2016-08,1892.068726
2016-09,1846.334669
2016-10,1867.570444
2016-11,1939.3178328251931
2016-12,1812.877860319228
2017-01,1875.5882224919017
2017-02,1918.9417523340846
2017-03,1914.8795484343152
2017-04,1912.2687287837912
2017-05,1946.9984816829958
2017-06,2069.218912799968
2017-07,2154.645059512706
2017-08,2244.0270553122346
2017-09,2250.4112710119844
2017-10,2342.2352582638437
2017-11,2311.428613522311
2017-12,2357.327066479785
2018-01,2562.770003752432
2018-02,2386.107628
2018-03,2326.294261
2018-04,2216.096112
2018-05,2198.01327
2018-06,1972.284768
2018-07,1932.808788
2018-08,1815.2276699180213
2018-09,1859.8632363598153
2018-10,1675.063868607434
2018-11,1698.6780178244562
2018-12,1647.4385983362777
2019-01,1791.6325730856458
2019-02,2045.044565490972
2019-03,2155.793274693811
2019-04,2160.615525576748
2019-05,1969.8231815607176
2019-06,2087.512075309141
2019-07,2101.5149571729366
2019-08,2026.4714425468246
2019-09,2035.6404020600662
2019-10,2099.942635401649
2019-11,2075.4840857103836
2019-12,2245.566693077082
2020-01,2228.318469436778
2020-02,2195.651989625579
2020-03,2037.8900570032063
2020-04,2182.261850758783
2020-05,2142.7444389067723
2020-06,2360.9699795215215
2020-07,2717.1842239375615
2020-08,2846.4860902450996
2020-09,2715.73542266884
2020-10,2813.1797255128254
2020-11,2987.9962932319318
2020-12,3200.6390081553795
2021-01,3333.5371227925175
2021-02,3303.5658141101903
2021-03,3089.922764317897
2021-04,3217.2494947997857
2021-05,3427.364240118565
2021-06,3372.7958601248497
2021-07,3157.3651268491944
2021-08,3183.616495304108
2021-09,3224.166048317341
2021-10,3295.9563403218185
2021-11,3287.792252
2021-12,3322.760755703014
2022-01,3043.605913127576
2022-02,3114.9836564525694
2022-03,2848.0919552479345
2022-04,2592.2338442449513
2022-05,2651.6711109643934
2022-06,2904.099469941691
2022-07,2725.93850838484
2022-08,2618.8470510926986
2022-09,2383.2637916538165
2022-10,2154.770240937796
2022-11,2404.0942263774086
2022-12,2461.188629003401
2023-01,2708.1814786202244
2023-02,2593.214952378422
2023-03,2586.672817401875
2023-04,2533.4663357508985
2023-05,2339.883826986859
2023-06,2318.5629526955177
