Date,MSCI TUNISIA
2004-05,477.3300843458043
2004-06,476.08436418744566
2004-07,483.3114404092859
2004-08,487.89790618823815
2004-09,484.07604059749406
2004-10,494.5884796361552
2004-11,505.91581479210174
2004-12,522.8788652183995
2005-01,522.6463257174671
2005-02,526.8758020978562
2005-03,577.4603430041655
2005-04,676.3003846968247
2005-05,656.3485221606334
2005-06,636.4818499480222
2005-07,629.1085734178722
2005-08,633.024533718496
2005-09,614.9839894679632
2005-10,624.0032706703456
2005-11,633.6816009499787
2005-12,651.0009141486721
2006-01,685.8213408394486
2006-02,720.6648257250794
2006-03,785.2404076721666
2006-04,855.901663058218
2006-05,887.1246657207487
2006-06,804.8408710126986
2006-07,785.3088423523749
2006-08,816.581901019188
2006-09,845.68539114343
2006-10,887.0197897727766
2006-11,907.6436073055015
2006-12,918.4566928033207
2007-01,1015.8223691315766
2007-02,965.4312340562763
2007-03,956.2507249271572
2007-04,970.776271511496
2007-05,945.8878720715373
2007-06,905.2687988135957
2007-07,887.2445320378146
2007-08,912.0714367314587
2007-09,928.5396868683514
2007-10,984.3500938053667
2007-11,1000.0
2007-12,1001.1098236905729
2008-01,998.1142368570986
2008-02,1043.353032193992
2008-03,1152.152388823947
2008-04,1179.2011962047663
2008-05,1061.5076294923808
2008-06,1129.11124372
2008-07,1115.602646943782
2008-08,1148.768571805776
2008-09,1157.3311197065004
2008-10,955.1470610157673
2008-11,945.7479680408427
2008-12,944.0321033515066
2009-01,902.6862810593943
2009-02,903.3329518358256
2009-03,919.0816996867286
2009-04,1141.2253162877787
2009-05,1128.9044756098212
2009-06,1163.5731926501112
2009-07,1152.8216702623538
2009-08,1166.83473739445
2009-09,1203.3092720807006
2009-10,1198.2613043386852
2009-11,1224.8219697954369
2009-12,1248.540134973987
2010-01,1305.7907143939983
2010-02,1269.0370521485577
2010-03,1265.3355093764767
2010-04,1270.5047900006623
2010-05,1259.3532537158867
2010-06,1234.7042861577004
2010-07,1377.172152072638
2010-08,1411.8390227296654
2010-09,1588.1553057323963
2010-10,1429.196076006099
2010-11,1423.9100595142008
2010-12,1396.998248597063
2011-01,1248.0748164232891
2011-02,1134.0154047041424
2011-03,1249.9374430341843
2011-04,1245.6548199721137
2011-05,1201.066314986402
2011-06,1264.6299828244028
2011-07,1296.6599347478814
2011-08,1356.6978793066019
2011-09,1370.0720980683018
2011-10,1402.4932709834643
2011-11,1326.7029672204956
2011-12,1281.7971460798956
2012-01,1249.0205109029253
2012-02,1261.4942452280482
2012-03,1258.7423981116215
2012-04,1283.9996114638302
2012-05,1203.0108416326407
2012-06,1235.5531843191688
2012-07,1297.9073573438268
2012-08,1324.1695771365075
2012-09,1283.8871246082838
2012-10,1258.3502486310485
2012-11,1204.344583118657
2012-12,1219.8349180188295
2013-01,1294.2668609566322
2013-02,1206.3332064824117
2013-03,1196.2171179743646
2013-04,1192.1366909787744
2013-05,1174.6444500687157
2013-06,1174.5209568614857
2013-07,1194.8877691055122
2013-08,1189.7243978228732
2013-09,1149.7213587753124
2013-10,1129.3838900579553
2013-11,1110.6307069059358
2013-12,1148.3533515987638
2014-01,1194.933796080074
2014-02,1292.655108731477
2014-03,1247.0699229861148
2014-04,1207.817641570986
2014-05,1265.879426424273
2014-06,1189.9643304926756
2014-07,1197.122192177748
2014-08,1226.1311170709312
2014-09,1180.8491409103012
2014-10,1225.4748123216802
2014-11,1191.236050049834
2014-12,1209.4272718743937
2015-01,1191.8212732310467
2015-02,1221.5941416841847
2015-03,1192.1745483616462
2015-04,1227.7872597590292
2015-05,1194.9971613583866
2015-06,1206.6643281134195
2015-07,1204.1325702506667
2015-08,1195.3509858381437
2015-09,1174.283061227611
2015-10,1077.4776237451163
2015-11,1018.9549022475826
2015-12,1026.8861158122734
2016-01,1095.4921884780556
2016-02,1109.6223290007358
2016-03,1184.4719936551421
2016-04,1188.76889138652
2016-05,1127.1628875910355
2016-06,1058.2631755990365
2016-07,1068.0949783463368
2016-08,1083.944644622147
2016-09,1083.9671288390905
2016-10,1056.2546122228607
2016-11,1025.9002098444955
2016-12,1029.404917028743
2017-01,1045.842742219392
2017-02,1069.9114099025892
2017-03,1077.1172016624262
2017-04,1013.112878
2017-05,1015.187745
2017-06,1105.888415
2017-07,1126.328405
2017-08,1163.60115
2017-09,1133.742163
2017-10,1092.355353
2017-11,1133.317208
2017-12,1149.875458
2018-01,1224.830621
2018-02,1272.3781
2018-03,1497.997137
2018-04,1456.5554724055157
2018-05,1497.3321738639409
2018-06,1604.7731210342397
2018-07,1681.3535016108908
2018-08,1645.853402919693
2018-09,1491.4901843933499
2018-10,1393.8223348430383
2018-11,1337.6632936368464
2018-12,1306.4575313851572
2019-01,1298.2421825366703
2019-02,1285.9046990135287
2019-03,1264.5120180174413
2019-04,1269.488547627833
2019-05,1353.7973200248673
2019-06,1369.5130441331091
2019-07,1356.5260128202324
2019-08,1415.415628864938
2019-09,1335.8873123682024
2019-10,1351.616999220172
2019-11,1325.1160942061447
2019-12,1425.9240072189186
2020-01,1437.4842218396707
2020-02,1440.3920680632655
2020-03,1334.5575742532915
2020-04,1287.9895717209372
2020-05,1358.6709277813638
2020-06,1448.007206406397
2020-07,1501.2435112243231
2020-08,1602.6694161441105
2020-09,1593.331959546386
2020-10,1495.63017587789
2020-11,1610.1611213241513
2020-12,1633.5261343638274
2021-01,1584.3579392399795
2021-02,1584.032355462666
2021-03,1662.3779093577705
2021-04,1610.7059989067843
2021-05,1610.2933387408502
2021-06,1561.2389758036506
2021-07,1574.4680044255017
2021-08,1559.2314607973472
2021-09,1524.9009554930515
2021-10,1465.073105062993
2021-11,1426.8454274494186
2021-12,1441.967894947281
2022-01,1398.2685792048064
2022-02,1389.3471294512756
2022-03,1400.170554886468
2022-04,1309.178515022321
2022-05,1319.6285657776714
2022-06,1293.0299666206606
2022-07,1302.8620389442056
2022-08,1354.0974326949254
2022-09,1318.7475321897787
2022-10,1210.4009037887547
2022-11,1154.7402305455057
2022-12,1217.8404328190445
2023-01,1281.6310530767853
2023-02,1189.954668021552
2023-03,1231.0461519296873
2023-04,1240.4024882293659
2023-05,1298.0708483827086
2023-06,1355.5390136016692
