Date,MSCI ARGENTINA
1987-12,100.0
1988-01,99.3721
1988-02,90.5322
1988-03,96.4348
1988-04,106.3456
1988-05,146.8297
1988-06,146.4373
1988-07,195.4125
1988-08,215.3367
1988-09,296.6011
1988-10,227.3048
1988-11,202.2493
1988-12,202.6158
1989-01,183.6551
1989-02,158.1631
1989-03,158.8402
1989-04,152.2253
1989-05,250.6692
1989-06,290.5128
1989-07,209.4658
1989-08,323.2667
1989-09,630.6322
1989-10,515.6026
1989-11,342.4797
1989-12,367.1145
1990-01,226.2839
1990-02,272.1978
1990-03,319.5379
1990-04,360.4954
1990-05,356.5559
1990-06,353.3724
1990-07,410.0167
1990-08,357.8967
1990-09,390.1989
1990-10,346.9476
1990-11,362.7493
1990-12,344.7222
1991-01,360.0419
1991-02,404.1071
1991-03,614.2938
1991-04,629.5667
1991-05,643.0753
1991-06,589.9864
1991-07,617.2713
1991-08,1206.8386
1991-09,1383.2432
1991-10,1719.6547
1991-11,1405.3815
1991-12,1740.842
1992-01,1759.9315
1992-02,1588.9165
1992-03,1759.4325
1992-04,1972.8805
1992-05,2140.5919
1992-06,1608.9162
1992-07,1363.5434
1992-08,1113.9723
1992-09,1021.1459
1992-10,941.7962
1992-11,863.8929
1992-12,1070.5576
1993-01,1083.6368
1993-02,1019.2404
1993-03,1106.1392
1993-04,1070.4479
1993-05,1042.6601
1993-06,1131.3703
1993-07,1122.9601
1993-08,1266.7066
1993-09,1356.3955
1993-10,1495.23
1993-11,1425.6057
1993-12,1695.6658
1994-01,1895.3064
1994-02,1773.8964
1994-03,1556.8124
1994-04,1562.2016
1994-05,1736.0898
1994-06,1483.4223
1994-07,1602.658
1994-08,1721.3571
1994-09,1686.1687
1994-10,1579.3014
1994-11,1476.2326
1994-12,1294.9485
1995-01,1239.68139087356
1995-02,998.5053454965689
1995-03,1182.549604495415
1995-04,1218.2020275143088
1995-05,1305.1530733357329
1995-06,1231.7897200634604
1995-07,1295.321016006021
1995-08,1266.0441328104566
1995-09,1231.2367335031165
1995-10,1163.5139706609468
1995-11,1335.996140362507
1995-12,1461.5355846996194
1996-01,1635.0725311259637
1996-02,1405.577903634991
1996-03,1455.6774227080828
1996-04,1601.6648393622734
1996-05,1648.0847844146306
1996-06,1677.9054038936374
1996-07,1449.5949601954574
1996-08,1429.749446668822
1996-09,1559.6703750464517
1996-10,1549.8687406836743
1996-11,1657.669365216347
1996-12,1757.8342718457816
1997-01,1914.6951556558208
1997-02,1932.6209429853875
1997-03,1890.726152440091
1997-04,1989.9348982568968
1997-05,2144.8079478750074
1997-06,2189.3250135022763
1997-07,2351.8405256893775
1997-08,2288.332784094574
1997-09,2371.7433748842054
1997-10,1928.7367038501814
1997-11,2087.806093643493
1997-12,2190.166431420716
1998-01,1993.2438856350936
1998-02,2124.4913776585167
1998-03,2220.713359063538
1998-04,2193.2736577977544
1998-05,1928.336219151329
1998-06,1830.0846152214401
1998-07,1963.0206791924154
1998-08,1347.5015469531036
1998-09,1545.4551886202034
1998-10,1758.5587636481512
1998-11,1820.3074687267722
1998-12,1657.900790104554
1999-01,1577.391979170506
1999-02,1600.5896761307877
1999-03,1736.5926926363247
1999-04,2249.543274340549
1999-05,2160.0258055222143
1999-06,2068.9403136029014
1999-07,1969.677346531005
1999-08,2054.1498584474134
1999-09,2119.9435760887404
1999-10,2115.6912518356844
1999-11,2107.203292134882
1999-12,2226.4243617807474
2000-01,2333.1453010482383
2000-02,2648.8994092551507
2000-03,2370.6694082328163
2000-04,2155.4114135627055
2000-05,2026.6750400792275
2000-06,2150.2386260358626
2000-07,2060.013998200936
2000-08,1998.2326512153404
2000-09,1916.740365369166
2000-10,1779.4491199147649
2000-11,1610.438513244172
2000-12,1668.2317725411133
2001-01,2176.9812141792904
2001-02,1763.8385700998801
2001-03,1803.687737694779
2001-04,1766.4589192978451
2001-05,1793.699384635991
2001-06,1675.6623027830478
2001-07,1332.6023668318082
2001-08,1347.932002241102
2001-09,1028.9987418308056
2001-10,923.7937297886024
2001-11,891.6129357202278
2001-12,1363.4245054873654
2002-01,1056.987693825601
2002-02,913.0275633427289
2002-03,726.7003467435613
2002-04,635.2826103181758
2002-05,447.43462758855577
2002-06,480.8271336865713
2002-07,514.9470288044047
2002-08,534.3248967060125
2002-09,518.5703350724581
2002-10,562.3749174632826
2002-11,587.2833378460105
2002-12,674.2608076151716
2003-01,731.0656496394162
2003-02,813.1709593372426
2003-03,802.831551132694
2003-04,901.1796666773351
2003-05,894.5916963634088
2003-06,1016.5420848548426
2003-07,966.7584455240934
2003-08,946.9708418759394
2003-09,1064.4560994353549
2003-10,1121.7202113690007
2003-11,1133.4564010351964
2003-12,1357.5325738198014
2004-01,1443.7748164971815
2004-02,1486.2438191729752
2004-03,1504.4704970253754
2004-04,1317.5916638118165
2004-05,1215.7423865421833
2004-06,1250.346883547113
2004-07,1299.386256108416
2004-08,1326.088014987782
2004-09,1583.5617827832211
2004-10,1600.4915068593716
2004-11,1657.3009014732481
2004-12,1715.7152913378602
2005-01,1714.3062822169275
2005-02,2135.2358794019838
2005-03,1942.0032545492138
2005-04,1825.3985134745249
2005-05,2073.968579643059
2005-06,2156.2697025572165
2005-07,2489.822710674688
2005-08,2793.550702303872
2005-09,3220.7117292185626
2005-10,2764.758765857085
2005-11,2774.434819023871
2005-12,2798.33340558727
2006-01,3480.40695714716
2006-02,3318.9401165065765
2006-03,3571.6206265266283
2006-04,4279.070566277043
2006-05,3507.546129796805
2006-06,3754.969352247383
2006-07,3723.5208813300796
2006-08,3561.3267485551073
2006-09,3503.0119405477026
