Date,SAUDI ARABIA
2014-08,1137.4975235549475
2014-09,1105.0803095034112
2014-10,1017.1516195113692
2014-11,907.1360672335808
2014-12,827.6107299936376
2015-01,869.223399418114
2015-02,922.8216333128365
2015-03,856.8653073257341
2015-04,1019.764684940061
2015-05,1000.0
2015-06,925.5634848180453
2015-07,952.9604257294667
2015-08,817.0448159378857
2015-09,802.0288328521029
2015-10,794.9553141993183
2015-11,818.0842135109589
2015-12,774.858770617261
2016-01,670.6299230469054
2016-02,704.6416443861788
2016-03,712.9511743764488
2016-04,787.7236094972767
2016-05,759.6642872895129
2016-06,768.0739952191052
2016-07,755.7980972948405
2016-08,747.5506264889884
2016-09,708.3838179476897
2016-10,772.064962827487
2016-11,867.3026312081349
2016-12,882.1164992060648
2017-01,878.9808790601467
2017-02,866.9248205681159
2017-03,871.6195911280957
2017-04,872.429036
2017-05,881.413505
2017-06,979.241795
2017-07,931.657491
2017-08,960.019307
2017-09,960.409136
2017-10,919.434658
2017-11,937.577263
2017-12,955.880627
2018-01,1023.423951
2018-02,996.142262
2018-03,1083.7042652512157
2018-04,1135.640775984513
2018-05,1166.1151199086203
2018-06,1184.1461502812606
2018-07,1192.7183368575443
2018-08,1146.9144412937262
2018-09,1144.9305512614687
2018-10,1152.2451260183595
2018-11,1115.9453519500998
2018-12,1140.7835690423706
2019-01,1259.4169973634991
2019-02,1254.9074017490962
2019-03,1307.7880499396065
2019-04,1405.9333184999616
2019-05,1277.2646479004177
2019-06,1316.9361763327968
2019-07,1302.6174961669083
2019-08,1193.1731225858018
2019-09,1192.8007923328194
2019-10,1139.7276484168315
2019-11,1156.2279960459637
2019-12,1225.5391607869212
2020-01,1182.4526264978613
2020-02,1083.9843142887028
2020-03,931.7112156438146
2020-04,1033.9993041675662
2020-05,1040.4299076529787
2020-06,1061.0993659042922
2020-07,1078.5797835175417
2020-08,1133.2592516762998
2020-09,1160.4171293981167
2020-10,1131.27222544282
2020-11,1241.5076340006287
2020-12,1236.2092877224827
2021-01,1255.6215892259931
2021-02,1320.344933919161
2021-03,1440.149040342114
2021-04,1528.7277427930646
2021-05,1528.0154042443085
2021-06,1585.5739925589626
2021-07,1595.0481031416577
2021-08,1670.8750211899164
2021-09,1715.927670520968
2021-10,1767.5813037248295
2021-11,1621.0897967775886
2021-12,1704.567771929894
2022-01,1862.6866820106786
2022-02,1918.1944911670648
2022-03,2000.0472394346
2022-04,2118.5386703435656
2022-05,1966.2642296896893
2022-06,1750.9712218468776
2022-07,1854.764211454251
2022-08,1891.5212320965582
2022-09,1749.7647324026725
2022-10,1804.9425812269442
2022-11,1675.5129144778437
2022-12,1619.7460063875435
2023-01,1655.0412964065808
2023-02,1533.3718549222415
2023-03,1621.8246661699459
2023-04,1719.4375872397989
2023-05,1667.9088056226703
2023-06,1724.618329733316
