Date,MSCI UNITED ARAB EMIRATES
2005-05,662.5502214
2005-06,902.7266066
2005-07,729.2971659
2005-08,903.2300931
2005-09,1055.137632
2005-10,1052.065735
2005-11,1000.0
2005-12,921.45204694067
2006-01,826.8550048112284
2006-02,766.872931836852
2006-03,773.3854313170121
2006-04,650.4142051008583
2006-05,568.7230998877535
2006-06,516.6153277658952
2006-07,505.5799195935563
2006-08,576.0103851515286
2006-09,577.3514443790247
2006-10,556.0961448195171
2006-11,467.252557436689
2006-12,484.64395129263477
2007-01,495.0222423299106
2007-02,503.37977983161863
2007-03,447.37563437846006
2007-04,465.61683872874806
2007-05,543.9152280093986
2007-06,531.84523211
2007-07,509.97201475
2007-08,504.1472663954962
2007-09,505.9188304986921
2007-10,624.681827353918
2007-11,611.6064173736427
2007-12,669.5562839896182
2008-01,613.3366157626784
2008-02,631.1751648791557
2008-03,585.270595752764
2008-04,644.0337517539291
2008-05,643.4151254383415
2008-06,620.1848842758254
2008-07,608.4667983675058
2008-08,533.5428529969762
2008-09,443.5537530750176
2008-10,295.5726990969319
2008-11,207.19423910888202
2008-12,182.9294668085052
2009-01,151.1454816570135
2009-02,153.529266293073
2009-03,167.780701958292
2009-04,191.0975601488418
2009-05,225.30947889164906
2009-06,223.7010216304928
2009-07,243.35507438161218
2009-08,262.89812201771815
2009-09,303.4791590302395
2009-10,297.0017510810208
2009-11,253.53679161336794
2009-12,252.1873653460748
2010-01,227.5365298744126
2010-02,215.67688858175873
2010-03,270.0247287029326
2010-04,262.4593430514884
2010-05,229.83289316572862
2010-06,212.55732351971406
2010-07,224.84297120796984
2010-08,220.71376199628995
2010-09,248.54367799429775
2010-10,262.8699923921886
2010-11,247.68551943792988
2010-12,247.35000730431418
2011-01,228.29579953727568
2011-02,208.8462880402183
2011-03,234.43242017532148
2011-04,256.82776756935306
2011-05,247.89036349234746
2011-06,239.74214291012987
2011-07,236.370555558638
2011-08,229.4134059915813
2011-09,217.31414590718558
2011-10,219.98460384237185
2011-11,211.9572258140885
2011-12,203.72471007542222
2012-01,214.9228987353761
2012-02,244.39482670286813
2012-03,238.71850106429366
2012-04,243.67712389466925
2012-05,226.76786405502642
2012-06,227.13858188424706
2012-07,241.3122666849353
2012-08,241.16593204650297
2012-09,249.51870009150923
2012-10,258.7703725731647
2012-11,259.1871102764325
2012-12,259.49828283376877
2013-01,308.2070731010137
2013-02,321.5065241433788
2013-03,326.33721956537676
2013-04,363.17713844505715
2013-05,388.73976056312654
2013-06,368.64848592315457
2013-07,413.7100738857972
2013-08,395.1144339048187
2013-09,414.68786249473976
2013-10,426.4395232100775
2013-11,421.4937349111098
2013-12,493.096944003341
2014-01,538.6319986453833
2014-02,579.9363567496586
2014-03,615.9389074748268
2014-04,692.5042512306052
2014-05,766.7457948053396
2014-06,582.1252849762285
2014-07,680.4315319113032
2014-08,680.0759493089827
2014-09,715.5403122588243
2014-10,638.4243850847802
2014-11,647.454394617844
2014-12,560.7070175134903
2015-01,528.8992272634837
2015-02,574.6865078238926
2015-03,530.9094104681428
2015-04,611.8479329512675
2015-05,570.402311359621
2015-06,587.7167107076442
2015-07,597.6530256686749
2015-08,544.326646125958
2015-09,526.5678578824492
2015-10,502.4645727426489
2015-11,454.4758382451246
2015-12,460.14162547375383
2016-01,419.84229365645086
2016-02,473.0428142792335
2016-03,499.6212484373234
2016-04,524.9348649172154
2016-05,482.7176702201103
2016-06,499.9289004666673
2016-07,529.1609846038278
2016-08,528.5046524074273
2016-09,530.398851538021
2016-10,507.79225667097984
2016-11,498.214194185688
2016-12,522.6348051672526
2017-01,526.5248639949655
2017-02,531.5715646229892
2017-03,534.7720593668679
2017-04,535.823011
2017-05,537.425373
2017-06,541.907404
2017-07,576.949618
2017-08,576.935784
2017-09,564.124167
2017-10,573.864603
2017-11,538.848353
2017-12,537.945022
2018-01,556.80942
2018-02,535.029329
2018-03,532.484633
2018-04,533.6935139502054
2018-05,518.9724853957634
2018-06,509.3374075281673
2018-07,535.6085397038144
2018-08,532.1720813065962
2018-09,525.1865527316468
2018-10,523.1876416894712
2018-11,495.2624674831053
2018-12,496.3210501803172
2019-01,512.4587271349429
2019-02,526.1293608783349
2019-03,539.4735447999861
2019-04,562.0019021207366
2019-05,530.0019255335078
2019-06,524.7468674879249
2019-07,569.408996978926
2019-08,543.6222093292213
2019-09,523.89107037126
2019-10,523.9453149571699
2019-11,511.8828767419754
2019-12,515.9746820980452
2020-01,520.4484942355757
2020-02,492.2137701848133
2020-03,375.96282661165
2020-04,426.2942200241567
2020-05,415.4766888458899
2020-06,435.0842364452093
2020-07,430.5944390883792
2020-08,462.95049524692644
2020-09,462.12898712705334
2020-10,464.81929811490227
2020-11,509.1450554496021
2020-12,511.20038510832984
2021-01,574.6229248852836
2021-02,560.480822162844
2021-03,588.3724552648363
2021-04,597.5119576745323
2021-05,651.3387560311402
2021-06,654.1720157485286
2021-07,659.4376069682944
2021-08,685.9667937290199
2021-09,695.8465469926846
2021-10,710.9374617044225
2021-11,765.675946246031
2021-12,767.7446879230721
2022-01,794.3424650581244
2022-02,848.1020260269364
2022-03,930.4609534707585
2022-04,919.9250800797867
2022-05,841.1468289124347
2022-06,750.0237864857513
2022-07,791.5592597847303
2022-08,777.0466857902528
2022-09,731.3267786390113
2022-10,763.3900987948313
2022-11,766.527910340087
2022-12,720.2658408607995
2023-01,692.5953256383852
2023-02,702.5695366443922
2023-03,665.9557826402025
2023-04,729.0595711521363
2023-05,690.1822704604045
2023-06,704.5989858901733
