Date,MSCI CHINA FREE + OVERSEAS CHINA
2008-05,1000.0
2008-06,875.5623233575052
2008-07,896.6575862260316
2008-08,832.2395887841234
2008-09,659.8178851953566
2008-10,510.104853271219
2008-11,521.9479775266817
2008-12,574.9594086923578
2009-01,525.5488573887066
2009-02,509.26029869234793
2009-03,580.7522925367432
2009-04,648.0915962298841
2009-05,760.5828619675469
2009-06,792.6034716719334
2009-07,878.516409434795
2009-08,818.4519782014636
2009-09,860.6539287953622
2009-10,909.3532562350724
2009-11,935.022073261678
2009-12,938.5390084129035
2010-01,857.3329742994906
2010-02,882.5765890760574
2010-03,931.8146023475379
2010-04,932.0630095772883
2010-05,886.5521639992056
2010-06,893.9586626254743
2010-07,937.8696893278998
2010-08,912.5094341731449
2010-09,1003.1305237213363
2010-10,1043.903463309471
2010-11,1017.5850329809563
2010-12,1006.5804151660307
2011-01,1008.9231891156934
2011-02,996.8879542899002
2011-03,1056.1706204554828
2011-04,1082.5209460216902
2011-05,1077.2456019422627
2011-06,1040.913890591705
2011-07,1042.0549399976755
2011-08,947.3779422046252
2011-09,777.6926658943289
2011-10,903.8563736660191
2011-11,826.1637141126937
2011-12,837.9902646384579
2012-01,928.9145138218021
2012-02,988.8654039707707
2012-03,929.0643175647849
2012-04,953.2971530617091
2012-05,853.6644337753027
2012-06,869.079273191479
2012-07,877.9833133600965
2012-08,851.4612622244271
2012-09,907.8020705170289
2012-10,951.8461595948703
2012-11,963.0943193178351
2012-12,1009.542809110867
2013-01,1050.7888538867344
2013-02,1005.2071308127379
2013-03,961.891380293047
2013-04,973.0646424084044
2013-05,972.7411811588114
2013-06,909.9871002358711
2013-07,961.111936207624
2013-08,987.1360347250687
2013-09,1047.8633389529195
2013-10,1073.3167722556211
2013-11,1122.2333254225598
2013-12,1094.2558871294168
2014-01,1017.182255706642
2014-02,1050.8534402921748
2014-03,1024.9190649833777
2014-04,999.3918522850907
2014-05,1049.1107778433047
2014-06,1091.0017760463434
2014-07,1179.6172799415692
2014-08,1182.2049382736216
2014-09,1111.3382088775527
2014-10,1166.3021479069962
2014-11,1190.1060839954216
2014-12,1186.313805802039
2015-01,1202.941111804526
2015-02,1230.9884128180352
2015-03,1262.5830441509622
2015-04,1451.7578508155384
2015-05,1410.2935771806751
2015-06,1339.5434176547
2015-07,1199.5395942924508
2015-08,1053.7494245740843
2015-09,1027.7860638959169
2015-10,1155.2989397494546
2015-11,1138.5489415699215
2015-12,1119.5718335111385
2016-01,975.5424559021383
2016-02,953.8986106051417
2016-03,1066.7460943409453
2016-04,1064.7060660845934
2016-05,1059.157957280403
2016-06,1072.229391407911
2016-07,1109.6401411922507
2016-08,1191.299018605036
2016-09,1221.558823771306
2016-10,1198.0567761305285
2016-11,1183.803448916506
2016-12,1135.444020815231
2017-01,1212.6713410356538
2017-02,1255.7971739225463
2017-03,1282.8716594909047
2017-04,1317.195442
2017-05,1387.164195
2017-06,1419.757159
2017-07,1547.259751
2017-08,1613.096838
2017-09,1629.943769
2017-10,1695.046409
2017-11,1721.91177
2017-12,1754.72154
2018-01,1973.93027
2018-02,1847.48069
2018-03,1787.0910027280065
2018-04,1786.6704091450492
2018-05,1820.4439148527244
2018-06,1724.848682131286
2018-07,1684.2681681911647
2018-08,1620.6514314813553
2018-09,1598.4453872834843
2018-10,1414.4933799318705
2018-11,1518.6211446539037
2018-12,1426.870162588239
2019-01,1584.7191489996756
2019-02,1639.3795719309587
2019-03,1679.377378660772
2019-04,1716.8726958734526
2019-05,1492.8364258413308
2019-06,1613.7619693427005
2019-07,1605.4720548088535
2019-08,1537.6409775288812
2019-09,1537.5347654991956
2019-10,1599.5584717934773
2019-11,1628.1725741822358
2019-12,1763.886177241438
2020-01,1678.9744527110456
2020-02,1695.2493227313541
2020-03,1583.3774877549831
2020-04,1683.5356330324353
2020-05,1675.6063495962978
2020-06,1826.7767316422055
2020-07,2000.1863876821578
2020-08,2113.776700577237
2020-09,2056.29814644458
2020-10,2164.906883901336
2020-11,2224.8889945371616
2020-12,2285.9958668913937
2021-01,2454.342048604217
2021-02,2428.6109521197322
2021-03,2276.3348181042893
2021-04,2308.2564578430975
2021-05,2326.4696835290797
2021-06,2329.3575427596193
2021-07,2007.8289679904735
2021-08,2008.3050115202898
2021-09,1907.3630628625613
2021-10,1967.5834846636192
2021-11,1850.0446264701607
2021-12,1790.5803671105743
2022-01,1735.4365873595052
2022-02,1670.0953088284643
2022-03,1538.841716870975
2022-04,1473.872303456047
2022-05,1493.1365578222674
2022-06,1589.1939279492515
2022-07,1442.810751263779
2022-08,1445.7443589606605
2022-09,1234.9917964715155
2022-10,1028.9648750143654
2022-11,1332.861755022786
2022-12,1400.6535140205024
2023-01,1566.3385140206792
2023-02,1407.0539049497502
2023-03,1470.2962045280253
2023-04,1394.2412989229142
2023-05,1279.0654385434023
2023-06,1331.7129477263784
