Date,MSCI INDIA DOMESTIC
2008-05,1000.0
2008-06,801.7267284503943
2008-07,861.3512290546128
2008-08,852.8791176865674
2008-09,700.3973215194611
2008-10,497.08145514650664
2008-11,450.96234661544446
2008-12,499.9126332322519
2009-01,479.733302506851
2009-02,431.60633902861
2009-03,478.1934833650721
2009-04,574.599469050796
2009-05,789.9245571558795
2009-06,776.2437890307461
2009-07,841.7690790105107
2009-08,833.1214241107286
2009-09,923.2111417045246
2009-10,881.9608386237402
2009-11,953.2271695338699
2009-12,988.2634939166736
2010-01,938.9873315014083
2010-02,948.9187525879338
2010-03,1037.3518920182933
2010-04,1060.6614704154251
2010-05,974.3285722810256
2010-06,1016.0953974617363
2010-07,1031.0032303626308
2010-08,1027.2378013088016
2010-09,1193.7355186377367
2010-10,1210.081142640582
2010-11,1137.27333401919
2010-12,1214.055614611271
2011-01,1059.422168002546
2011-02,1040.78047637448
2011-03,1155.3075489730472
2011-04,1146.4823668254794
2011-05,1096.2861461749696
2011-06,1119.792573171306
2011-07,1101.8963584712963
2011-08,965.5506813352897
2011-09,897.2691753799497
2011-10,967.034311053605
2011-11,817.494548149114
2011-12,764.9872651435966
2012-01,930.7676554315295
2012-02,976.8727493247278
2012-03,928.3832469873363
2012-04,887.3100575764566
2012-05,782.0785394940879
2012-06,844.9556901697892
2012-07,843.7493467050692
2012-08,847.4919169879314
2012-09,976.4504729929257
2012-10,943.332461433965
2012-11,984.9501725566198
2012-12,989.9432161975559
2013-01,1035.719661363312
2013-02,953.9397119281365
2013-03,951.3532420915969
2013-04,1002.4089730957828
2013-05,971.5405357881912
2013-06,899.2579135927971
2013-07,866.2413551888746
2013-08,764.21439827799
2013-09,845.0521352689017
2013-10,945.9556900405967
2013-11,914.3954208187306
2013-12,944.8364007906888
2014-01,898.3845300678844
2014-02,936.760571574731
2014-03,1036.5781748760173
2014-04,1026.1083484058302
2014-05,1133.7362922339544
2014-06,1178.908249983454
2014-07,1195.8109153283958
2014-08,1233.9027910711754
2014-09,1219.0696472797624
2014-10,1280.3191656761626
2014-11,1311.0319011735771
2014-12,1249.932649490477
2015-01,1362.1967663941955
2015-02,1371.3007577031938
2015-03,1312.584823676145
2015-04,1244.1515197630001
2015-05,1275.299381233907
2015-06,1273.4758512073363
2015-07,1296.3849476060066
2015-08,1175.7217005517987
2015-09,1183.2451531597499
2015-10,1208.0848340216103
2015-11,1164.8683859542507
2015-12,1178.626729020577
2016-01,1091.5773101553675
2016-02,1003.1144630191905
2016-03,1149.6086094091233
2016-04,1165.6718522867077
2016-05,1196.542786100907
2016-06,1218.379027480692
2016-07,1289.9520177379811
2016-08,1312.3541776830698
2016-09,1297.2038790812458
2016-10,1298.134145111675
2016-11,1204.1778008356953
2016-12,1201.0624542557184
2017-01,1262.3274848930246
2017-02,1335.7720051954996
2017-03,1420.4878311675848
2017-04,1459.826366
2017-05,1500.915983
2017-06,1492.493694
2017-07,1601.179611
2017-08,1591.736871
2017-09,1538.001997
2017-10,1636.267006
2017-11,1633.20183
2017-12,1702.577379
2018-01,1770.72097
2018-02,1649.456939
2018-03,1596.506874
2018-04,1662.0640746449735
2018-05,1635.4906570854941
2018-06,1606.9303909376597
2018-07,1700.1704839032266
2018-08,1697.8274938791176
2018-09,1539.5500206638208
2018-10,1445.1138835782847
2018-11,1608.1260439344946
2018-12,1609.6107518362169
2019-01,1567.5081704094694
2019-02,1561.375998238613
2019-03,1724.2810173404976
2019-04,1727.378201665914
2019-05,1750.596931848535
2019-06,1749.60897500833
2019-07,1660.901937652438
2019-08,1596.3738906993597
2019-09,1672.5090734019261
2019-10,1728.768462915796
2019-11,1733.6965090600793
2019-12,1758.0199195195546
2020-01,1737.3453534414143
2020-02,1611.044396692258
2020-03,1181.8088171715635
2020-04,1365.3086834542685
2020-05,1319.2156405855894
2020-06,1417.0509955157913
2020-07,1534.656289361983
2020-08,1605.121587023184
2020-09,1589.9792613871923
2020-10,1633.549319014488
2020-11,1822.341900012776
2020-12,1991.2088767801436
2021-01,1942.4416647606088
2021-02,2056.6845426225905
2021-03,2089.399660055339
2021-04,2056.2631704713503
2021-05,2238.985308676095
2021-06,2212.3788677874563
2021-07,2223.438661720312
2021-08,2464.5181785077075
2021-09,2484.5289758592576
2021-10,2469.33997757066
2021-11,2381.1445877473184
2021-12,2457.9719191508716
2022-01,2434.2660655398518
2022-02,2336.379627942312
2022-03,2412.9391331767515
2022-04,2366.9870482630317
2022-05,2247.3205308847323
2022-06,2098.0944160546296
2022-07,2297.9776687705917
2022-08,2394.309662390868
2022-09,2250.5065671559983
2022-10,2315.1697146334272
2022-11,2440.8764589196903
2022-12,2320.0013488799077
2023-01,2254.0815570761683
2023-02,2166.0896506183
2023-03,2191.9136604372957
2023-04,2295.0569543127567
2023-05,2350.596142787461
2023-06,2463.7146566196443
