Date,MSCI UNITED ARAB EMIRATES DOMESTIC
2005-05,785.5456885
2005-06,947.5825441
2005-07,796.3649888
2005-08,944.0041109
2005-09,1001.402099
2005-10,1022.555387
2005-11,1000.0
2005-12,935.4693163276622
2006-01,845.1254093531281
2006-02,812.4769634492051
2006-03,803.3720389223057
2006-04,677.7144885780343
2006-05,612.6987281671973
2006-06,576.8508835682912
2006-07,563.834911990456
2006-08,630.0666254506278
2006-09,625.1077329068953
2006-10,606.3989641967127
2006-11,520.4715111520283
2006-12,527.8891928490374
2007-01,529.952345001127
2007-02,546.0116746647224
2007-03,505.6571129764679
2007-04,523.7673827043059
2007-05,610.8567113686357
2007-06,605.6750121207795
2007-07,588.0087495503265
2007-08,580.9536504179028
2007-09,585.8217799009693
2007-10,742.5920934545026
2007-11,709.9611158098321
2007-12,779.3568340299463
2008-01,737.3383547643227
2008-02,768.6416315173575
2008-03,710.2760308728116
2008-04,776.910546393442
2008-05,772.5422354844661
2008-06,748.5214409673988
2008-07,747.1791060042148
2008-08,650.3863053877496
2008-09,555.1573554890728
2008-10,401.64000114033746
2008-11,288.64422132584315
2008-12,248.03803520130216
2009-01,222.23351479678485
2009-02,236.23660136429
2009-03,255.4965463542497
2009-04,273.55620221660695
2009-05,304.82835546317284
2009-06,300.4255977622801
2009-07,331.7767914281191
2009-08,350.9737244093172
2009-09,395.1745622420666
2009-10,394.63120493818735
2009-11,336.644195967104
2009-12,329.1131055286166
2010-01,298.6992811883474
2010-02,292.45759765453096
2010-03,350.98738635153273
2010-04,341.1110635421454
2010-05,302.44039807559636
2010-06,277.3167937633905
2010-07,290.93482987927877
2010-08,284.7694645801518
2010-09,321.9343542817039
2010-10,343.444833039214
2010-11,321.0576564489132
2010-12,319.2768990952061
2011-01,294.8530329729348
2011-02,270.80591813270553
2011-03,303.14069831869347
2011-04,328.157893134553
2011-05,312.7229574102818
2011-06,300.3025364097802
2011-07,296.10184604673094
2011-08,289.1754446645765
2011-09,274.7977191517966
2011-10,276.9238359289742
2011-11,267.3804220877106
2011-12,257.6810665822747
2012-01,270.92689562699644
2012-02,305.5388746158901
2012-03,300.14361145678384
2012-04,305.50477803557663
2012-05,284.8830299324811
2012-06,283.48037494256306
2012-07,303.7556436119066
2012-08,303.3416156366425
2012-09,312.87841134763255
2012-10,325.0353388357009
2012-11,325.69382321785224
2012-12,324.74105320403476
2013-01,382.6188362152942
2013-02,401.5318398917953
2013-03,404.94492995063956
2013-04,459.6620091080746
2013-05,498.8627872799942
2013-06,471.24933675744467
2013-07,535.4203738032726
2013-08,511.3227465256043
2013-09,538.1440912354348
2013-10,556.3935536889875
2013-11,551.7786187447612
2013-12,645.3716849378008
2014-01,706.967378054639
2014-02,751.5665818998351
2014-03,797.9921205330512
2014-04,900.5433287572918
2014-05,989.095462189572
2014-06,743.1347523542373
2014-07,890.9709723746599
2014-08,911.644511950775
2014-09,955.365693352173
2014-10,845.119983021305
2014-11,859.1635594679534
2014-12,730.7526228567871
2015-01,687.2779553151026
2015-02,744.7999714918939
2015-03,688.6688796000722
2015-04,813.7195429837304
2015-05,758.3247503816225
2015-06,779.2966728694558
2015-07,792.936238095058
2015-08,715.6873132808046
2015-09,694.9569448208881
2015-10,667.3045425582045
2015-11,612.0026890591573
2015-12,622.1538433790665
2016-01,547.5130854350522
2016-02,629.5696064542201
2016-03,663.8427408099744
2016-04,698.3223895545692
2016-05,644.7742503110205
2016-06,657.0510475464431
2016-07,699.7941193041522
2016-08,697.1132006048421
2016-09,693.7629537886338
2016-10,671.2201830741602
2016-11,661.0076658345457
2016-12,701.0696168428808
2017-01,722.880370691764
2017-02,730.2081166098707
2017-03,722.207460222234
2017-04,725.031245
2017-05,725.179168
2017-06,736.349929
2017-07,780.912156
2017-08,784.761073
2017-09,774.336667
2017-10,786.861539
2017-11,743.071146
2017-12,724.035807
2018-01,744.648462
2018-02,716.912314
2018-03,697.224904
2018-04,703.5329177404884
2018-05,691.0319301253361
2018-06,672.7729341356088
2018-07,704.4274754693871
2018-08,699.0985632787803
2018-09,694.581559422752
2018-10,682.1473018926846
2018-11,641.8801415585621
2018-12,633.5458532129522
2019-01,655.2429827329645
2019-02,680.3896675360837
2019-03,697.0374000061964
2019-04,733.0660310911697
2019-05,693.039321748094
2019-06,683.3333260165067
2019-07,753.8213541062232
2019-08,710.6607209807444
2019-09,685.9487182658858
2019-10,683.6545898110141
2019-11,667.6681912999634
2019-12,678.5643081060779
2020-01,688.7525616088541
2020-02,647.3650128431668
2020-03,469.62651459867
2020-04,522.9621555409653
2020-05,499.6688828892802
2020-06,527.4230529252994
2020-07,516.1120181776928
2020-08,561.557584216113
2020-09,565.7406657066522
2020-10,584.1562973227013
2020-11,645.4948929864285
2020-12,656.4366814297254
2021-01,727.1744009349987
2021-02,703.1964781130299
2021-03,720.9241692117669
2021-04,737.8043803587533
2021-05,814.3591542603358
2021-06,818.674556392221
2021-07,818.1667649475145
2021-08,850.5245004992107
2021-09,858.7324704211925
2021-10,868.2053892762821
2021-11,909.191946915171
2021-12,918.1770187010777
2022-01,944.8832026719035
2022-02,1014.3313192846705
2022-03,1136.8840213494043
2022-04,1148.5871791690734
2022-05,1074.7506814484213
2022-06,974.2753819169151
2022-07,1024.0728589707462
2022-08,1031.8053366651964
2022-09,985.5561855112422
2022-10,1005.6032335269806
2022-11,1009.6486193896749
2022-12,970.4152105628563
2023-01,882.2116507292407
2023-02,904.578778899581
2023-03,886.0453706786396
2023-04,966.8760304264264
2023-05,907.7055437546023
2023-06,943.8793137554312
