Date,OVERSEAS CHINA (US)
2008-06,830.9351967990827
2008-07,854.4632636651764
2008-08,911.4195782199715
2008-09,691.6928936976667
2008-10,537.2087119157783
2008-11,394.3536590362552
2008-12,394.7826618213433
2009-01,353.99998829742594
2009-02,360.83872226537704
2009-03,415.7226340100186
2009-04,498.33145774793576
2009-05,569.7291846605873
2009-06,619.1300082377902
2009-07,691.3954494420792
2009-08,655.1921530965726
2009-09,759.1750197956011
2009-10,699.0049143881922
2009-11,794.9906310684846
2009-12,791.1033893342781
2010-01,725.8401740992502
2010-02,858.3251344734798
2010-03,926.3193098799302
2010-04,977.1328167205053
2010-05,994.7546139349685
2010-06,946.9209539252324
2010-07,1095.2882377580709
2010-08,1081.5088536107733
2010-09,1319.6320006214053
2010-10,1429.1387693401898
2010-11,1356.8191753509102
2010-12,1274.7465967267747
2011-01,1417.733021355712
2011-02,1514.6538477547701
2011-03,1716.6488746372554
2011-04,1918.8084296064799
2011-05,1735.3358454146412
2011-06,1724.2178494091788
2011-07,1914.302107005909
2011-08,1795.29499855278
2011-09,1288.2720279497516
2011-10,1644.3325451453443
2011-11,1467.9620975561645
2011-12,1319.6122573582447
2012-01,1453.9679013079065
2012-02,1549.4692285439576
2012-03,1612.0542273914457
2012-04,1499.628546480517
2012-05,1355.9488996603131
2012-06,1319.0324844144766
2012-07,1259.375045876628
2012-08,1246.3847201291487
2012-09,1323.5823625980963
2012-10,1235.2019466415143
2012-11,1130.7720573781837
2012-12,1187.741501375592
2013-01,1246.4813372703036
2013-02,1108.7634800941105
2013-03,1113.7133048832982
2013-04,1125.6287609339197
2013-05,1283.8630097364621
2013-06,1265.0194154112758
2013-07,1604.7609682251473
2013-08,1697.019062402073
2013-09,1943.9129029870028
2013-10,1959.0507483689316
2013-11,1984.9979465354945
2013-12,2116.793219649532
2014-01,1896.8589783078148
2014-02,2072.2914601413245
2014-03,1872.7405080957835
2014-04,1792.5955613399137
2014-05,1924.22883479703
2014-06,2139.5696277259367
2014-07,2311.9921486946982
2014-08,2316.5311765462557
2014-09,2255.0181323774796
2014-10,2449.132559641323
2014-11,2572.663252764681
2014-12,2373.704631809046
2015-01,2294.6494145783045
2015-02,2226.442473836705
2015-03,2308.2808890145866
2015-04,2388.237430810406
2015-05,2467.461647585876
2015-06,2412.190752065128
2015-07,2197.223082458911
2015-08,1866.2168114415351
2015-09,1755.0208526268195
2015-10,2346.3325172314867
2015-11,2551.544457564576
2015-12,2439.0475213180825
2016-01,2094.0070926298818
2016-02,2101.0929966112094
2016-03,2328.273264450008
2016-04,2321.3628621997814
2016-05,2355.1278096898695
2016-06,2244.0228193388243
2016-07,2310.756604200852
2016-08,2573.4457677408004
2016-09,2763.7500129653463
2016-10,2696.627019752833
2016-11,2548.021462025297
2016-12,2389.623775235186
2017-01,2676.737210644844
2017-02,2782.5190605795374
2017-03,2862.177630337693
2017-04,3044.311622
2017-05,3252.069648
2017-06,3449.786998
2017-07,3872.524151
2017-08,4013.382867
2017-09,4084.576062
2017-10,4179.184832
2017-11,4099.042472
2017-12,4104.324205
2018-01,4656.724494
2018-02,4417.239571
2018-03,4237.986039905604
2018-04,4191.93490406089
2018-05,4414.876367704359
2018-06,4249.2609159662525
2018-07,4178.936522273554
2018-08,3867.3557422429362
2018-09,3684.032195353389
2018-10,3201.0806983026823
2018-11,3404.369271237494
2018-12,2985.6941968009087
2019-01,3547.8883517155564
2019-02,3772.2518375788
2019-03,3882.0450554276567
2019-04,3999.5780425033654
2019-05,3186.2527068095615
2019-06,3566.621516048956
2019-07,3560.9597789702275
2019-08,3581.1754428575296
2019-09,3432.5897523460135
2019-10,3647.822403861724
2019-11,4019.791559934425
2019-12,4251.916974549435
2020-01,4152.816563052548
2020-02,4181.826154522414
2020-03,3909.2917540985954
2020-04,4140.689415813087
2020-05,4312.617799702523
2020-06,4657.417653136473
2020-07,5230.725173685089
2020-08,5832.432180882576
2020-09,5875.125997971176
2020-10,6125.112337541227
2020-11,5982.321338043365
2020-12,5899.696057459559
2021-01,6389.043316470015
2021-02,6305.721103044462
2021-03,5615.365610537198
2021-04,5670.804951689429
2021-05,5334.4870270346
2021-06,5518.773684850125
2021-07,4390.923290766362
2021-08,4362.01164088992
2021-09,4016.135386790013
2021-10,4244.0596487813755
2021-11,4128.372949132533
2021-12,3660.3338637567776
2022-01,3351.568357937664
2022-02,3288.9175420258057
2022-03,2827.944844572865
2022-04,2628.386393624683
2022-05,2781.501029013036
2022-06,3262.2573271373717
2022-07,3017.3955933401626
2022-08,3173.1800358788555
2022-09,2706.3746256878135
2022-10,2138.200686472633
2022-11,3010.830007332165
2022-12,2961.6111479027863
2023-01,3455.3189091124427
2023-02,3230.922613056226
2023-03,3265.7959648584842
2023-04,2993.8412271029024
2023-05,2766.3879520394526
2023-06,2975.3552799759436
