Date,MSCI IVORY COAST
2016-11,1000.0
2016-12,1008.1064991984038
2017-01,990.4605729352086
2017-02,1043.5038014446247
2017-03,1085.2674462700304
2017-04,1133.4674903331404
2017-05,1177.7954868196584
2017-06,1160.9362227349409
2017-07,1111.477457567804
2017-08,958.780291601867
2017-09,888.3650384924874
2017-10,883.7585646802297
2017-11,932.6463862336778
2017-12,947.4590021686347
2018-01,1003.7755923573746
2018-02,1207.289481403273
2018-03,1176.2183588285352
2018-04,1114.244290797597
2018-05,954.9174013451249
2018-06,983.4365498897164
2018-07,1000.7949318123246
2018-08,915.6439663278034
2018-09,835.4943105783664
2018-10,724.9237098580522
2018-11,570.4030950494794
2018-12,608.8024886147134
2019-01,660.6405766093359
2019-02,639.2127106805806
2019-03,662.6391299465847
2019-04,645.23932737087
2019-05,689.7021150074904
2019-06,737.617918891985
2019-07,739.5067274861808
2019-08,719.2461916891135
2019-09,643.6422907263945
2019-10,645.494367786413
2019-11,634.6890525453093
2019-12,637.8601454847171
2020-01,678.8043923824188
2020-02,701.609938669151
2020-03,639.706957839783
2020-04,630.4869427059112
2020-05,632.0923996201565
2020-06,634.0851678474958
2020-07,701.0731937189109
2020-08,635.3800339323373
2020-09,568.8272958294982
2020-10,623.3418832071476
2020-11,781.9571475792885
2020-12,762.6232479919369
2021-01,701.5736530188279
2021-02,745.33120653286
2021-03,719.4279879152775
2021-04,764.6800656849787
2023-06,1108.713704507261
