Date,MSCI HUNGARY
1994-12,100.0
1995-01,77.26337983386395
1995-02,78.95747828700145
1995-03,79.0455836241351
1995-04,91.60523509996683
1995-05,92.36671170361832
1995-06,91.43663288293784
1995-07,92.77323515041087
1995-08,92.81153759196947
1995-09,92.2862173857692
1995-10,81.25641570755228
1995-11,79.75806256116074
1995-12,82.87329408060121
1996-01,121.13150821061113
1996-02,121.54691449082863
1996-03,120.5752874396211
1996-04,122.65110438606126
1996-05,135.73516449859488
1996-06,146.23295730769408
1996-07,127.11703816019616
1996-08,152.70682162031366
1996-09,145.08726716550535
1996-10,150.8838248969385
1996-11,156.99095752821083
1996-12,171.72535122141144
1997-01,224.68268842276746
1997-02,217.9947392381016
1997-03,213.2307864313703
1997-04,229.50891549724608
1997-05,239.26797602028336
1997-06,268.6351064882758
1997-07,298.06418847660365
1997-08,278.9536884809059
1997-09,297.70430162632584
1997-10,280.27905799674465
1997-11,271.4868515319442
1997-12,335.2196122072821
1998-01,304.45776886666846
1998-02,337.3564892756747
1998-03,375.9963975609858
1998-04,364.55034552773145
1998-05,314.93569382600305
1998-06,334.8215340084335
1998-07,368.0598722671866
1998-08,225.27012691768408
1998-09,222.07349071752375
1998-10,260.67932896403653
1998-11,283.3186911978285
1998-12,307.8596550114694
1999-01,324.6136045879147
1999-02,276.4332447511281
1999-03,261.20107712677833
1999-04,275.3076094112062
1999-05,292.4734274948174
1999-06,280.86080836012474
1999-07,320.78195964813415
1999-08,314.8071786019264
1999-09,279.1245448449874
1999-10,289.3888495976017
1999-11,298.6539883964732
1999-12,343.74886926516047
2000-01,368.17342578569367
2000-02,403.08405988135127
2000-03,389.22868141229424
2000-04,317.65764300748987
2000-05,325.5256063536666
2000-06,316.9479071719762
2000-07,300.44303799852116
2000-08,274.9584729520128
2000-09,259.1102308513115
2000-10,245.3496613115888
2000-11,201.72317614345042
2000-12,251.60972533801151
2001-01,265.4708478022798
2001-02,217.71430602819026
2001-03,192.5824577191572
2001-04,203.2629908936898
2001-05,210.0714480783381
2001-06,203.173693702577
2001-07,199.11709660109136
2001-08,192.33838918202235
2001-09,189.00367027685436
2001-10,211.60744427253334
2001-11,224.12481618062927
2001-12,228.5668570234558
2002-01,254.46437091670379
2002-02,245.2432579376875
2002-03,254.2121775850587
2002-04,281.41560095432965
2002-05,271.6010073471962
2002-06,250.0696774500481
2002-07,243.54773558175708
2002-08,267.8523683913777
2002-09,251.3750292745664
2002-10,260.70604249154013
2002-11,288.51016033745105
2002-12,298.70896473973477
2003-01,287.4501811331982
2003-02,282.2009833221822
2003-03,290.1605009255696
2003-04,328.1909851434012
2003-05,347.66434077152707
2003-06,293.2737134863355
2003-07,306.6107540668445
2003-08,339.2354810973752
2003-09,358.1022415858167
2003-10,374.70577043325704
2003-11,363.777715922205
2003-12,395.20957853212343
2004-01,416.44214784218707
2004-02,441.0017958419041
2004-03,489.85786920443644
2004-04,478.5515172564958
2004-05,504.427819008179
2004-06,512.9985306476308
2004-07,519.4055305342974
2004-08,545.0059219307153
2004-09,581.3095075205841
2004-10,634.6381845354691
2004-11,717.073829864863
2004-12,760.7359320145534
2005-01,770.8203064779407
2005-02,953.5783595551223
2005-03,846.4142567920514
2005-04,792.5293619144675
2005-05,773.1684415133476
2005-06,864.4223527351553
2005-07,974.2704247803033
2005-08,1035.713180665538
2005-09,1053.448188229742
2005-10,928.4681081384086
2005-11,918.3774962318997
2005-12,901.4810875977073
2006-01,985.3706180986435
2006-02,1011.8135934938538
2006-03,969.998915672575
2006-04,1079.4222579140337
2006-05,960.7794408743079
2006-06,890.4089809613131
2006-07,963.620787126221
2006-08,919.416585676576
2006-09,912.8697202435922
2006-10,1000.4839857689738
2006-11,1086.3251161147368
2006-12,1205.3145187378757
2007-01,1128.502640916788
2007-02,1117.2618841190915
2007-03,1175.3437341742786
2007-04,1304.0789279996366
2007-05,1354.322987949154
2007-06,1512.9922155134527
2007-07,1513.4790566631443
2007-08,1374.2084413471453
