Date,CHINA A ONSHORE + H
2004-11,1000.0
2004-12,947.8276402433071
2005-01,918.3080775140288
2005-02,1000.4934388004762
2005-03,917.1546931649232
2005-04,908.732243064252
2005-05,863.9535992660219
2005-06,896.7469508997148
2005-07,946.2871345610348
2005-08,962.8777011165225
2005-09,975.0390346439846
2005-10,905.4393224851543
2005-11,928.5142727179568
2005-12,986.849963010651
2006-01,1111.3888104639539
2006-02,1162.9490956469153
2006-03,1188.345993388852
2006-04,1275.6700148328327
2006-05,1370.1692483301142
2006-06,1399.1820545269227
2006-07,1356.9232380457531
2006-08,1385.246954750781
2006-09,1450.7750196550467
2006-10,1526.6313934618609
2006-11,1767.1374487097814
2006-12,2112.6936770544585
2007-01,2219.9657898494297
2007-02,2287.8185119643776
2007-03,2457.9853481324185
2007-04,2937.8185897900894
2007-05,3245.6120180532816
2007-06,3281.679051359434
2007-07,3816.808816305322
2007-08,4345.02455133285
2007-09,4786.01170644619
2007-10,5111.554564205213
2007-11,4310.470303641925
2007-12,4622.138402772732
2008-01,3952.681195504518
2008-02,4174.015613754346
2008-03,3469.8908648307274
2008-04,3750.4393057294915
2008-05,3527.4062570404526
2008-06,2887.9256604296193
2008-07,2984.173396296629
2008-08,2610.940080057223
2008-09,2290.688791409238
2008-10,1703.7661711908327
2008-11,1879.056814459119
2008-12,1939.8331045232285
2009-01,2013.4071092141446
2009-02,2073.5421360637806
2009-03,2423.8237165684886
2009-04,2608.5234319577326
2009-05,2832.9519657483456
2009-06,3145.885784743442
2009-07,3628.187238537999
2009-08,2973.9324539206277
2009-09,3144.899979139321
2009-10,3416.031244052755
2009-11,3614.4225308212176
2009-12,3635.0805220916372
2010-01,3288.603629896944
2010-02,3359.616243001057
2010-03,3472.2637913536823
2010-04,3270.1543869388906
2010-05,3019.03382919947
2010-06,2869.939976682367
2010-07,3159.4664838985386
2010-08,3178.584566252255
2010-09,3341.547518713957
2010-10,3725.1780750104685
2010-11,3568.2500446203962
2010-12,3559.6065853833984
2011-01,3467.1227184903114
2011-02,3628.5798388605654
2011-03,3675.413427368374
2011-04,3664.3028129047734
2011-05,3506.093746240478
2011-06,3535.502649651064
2011-07,3491.4833683891966
2011-08,3287.424337210897
2011-09,2873.768691898549
2011-10,3107.362767862053
2011-11,2883.540581069686
2011-12,2772.91423209266
2012-01,2958.0797999840825
2012-02,3170.1020078499328
2012-03,2921.3242726425215
2012-04,3088.6573915806066
2012-05,2989.7665995286593
2012-06,2885.018567578357
2012-07,2778.794621163703
2012-08,2657.99342118231
2012-09,2800.0905012347976
2012-10,2853.1182677622255
2012-11,2749.614210052101
2012-12,3135.1601884609267
2013-01,3336.4676355941624
2013-02,3279.9126284059917
2013-03,3092.512634788232
2013-04,3070.5104459432373
2013-05,3221.7793126036227
2013-06,2808.5695676536966
2013-07,2875.3310119599573
2013-08,3008.339929284845
2013-09,3149.0395053470393
2013-10,3142.62051429582
2013-11,3283.814419250513
2013-12,3146.3656002616817
2014-01,2959.5989069207517
2014-02,2923.107060291664
2014-03,2878.1177991267245
2014-04,2839.1287312053314
2014-05,2897.558428814872
2014-06,2969.604182888212
2014-07,3262.180483839181
2014-08,3255.9754458137413
2014-09,3326.5931979622983
2014-10,3434.6109257525127
2014-11,3711.017602175078
2014-12,4321.971008957858
2015-01,4236.706045882622
2015-02,4408.494790176919
2015-03,4961.618248255405
2015-04,5826.516580355446
2015-05,6022.155872713358
2015-06,5559.320526767
2015-07,4760.752679671015
2015-08,4093.9281506598904
2015-09,3906.5372854625602
2015-10,4358.902508580873
2015-11,4308.682558085466
2015-12,4396.6865332664265
2016-01,3382.043440937486
2016-02,3315.7156269964717
2016-03,3779.763192262678
2016-04,3696.5417662093982
2016-05,3625.748518146783
2016-06,3673.28310640632
2016-07,3749.6230131005564
2016-08,3907.670467927906
2016-09,3848.6992654746555
2016-10,3868.0573545289085
2016-11,3975.7393800484974
2016-12,3731.939504733626
2017-01,3831.598798615057
2017-02,3952.989575160973
2017-03,3929.0160048685025
2017-04,3876.313444
2017-05,3905.425401
2017-06,4103.309795
2017-07,4269.7254
2017-08,4451.223337
2017-09,4446.693815
2017-10,4599.425428
2017-11,4492.562974
2017-12,4571.707659
2018-01,4983.498204
2018-02,4634.785082
2018-03,4528.403326
2018-04,4354.896024046452
2018-05,4288.189381470998
2018-06,3851.862377966532
2018-07,3802.0176621882338
2018-08,3599.232717005486
2018-09,3667.0442476357657
2018-10,3312.864493365345
2018-11,3402.878116407299
2018-12,3269.1661443499024
2019-01,3556.5242152099713
2019-02,3995.0852330205544
2019-03,4163.072957307434
2019-04,4188.043232799103
2019-05,3816.2177754410413
2019-06,4038.689506188601
2019-07,4036.699609756906
2019-08,3857.4443165679304
2019-09,3893.0162902092175
2019-10,4005.159900412098
2019-11,3960.5280697100584
2019-12,4290.527986384105
2020-01,4196.68075807225
2020-02,4161.376881645414
2020-03,3832.931936017434
2020-04,4078.8985573656173
2020-05,3989.367450084227
2020-06,4334.040925752069
2020-07,4913.696539923565
2020-08,5078.936088015001
2020-09,4832.1171869226955
2020-10,5001.290141499277
2020-11,5384.308786244983
2020-12,5690.202464512091
2021-01,5884.7110059874285
2021-02,5868.902947246965
2021-03,5551.5153446472605
2021-04,5734.1628535305135
2021-05,6085.314972939351
2021-06,5970.808677284868
2021-07,5669.708659642999
2021-08,5741.813656408466
2021-09,5725.347808324458
2021-10,5837.923876430006
2021-11,5835.072102046207
2021-12,5884.611648211542
2022-01,5441.86621749558
2022-02,5573.328405945114
2022-03,5112.083378438814
2022-04,4628.047428715174
2022-05,4760.803994778811
2022-06,5194.530342046896
2022-07,4874.655626101268
2022-08,4667.189684582977
2022-09,4210.739853886879
2022-10,3853.6143661151364
2022-11,4332.477937436102
2022-12,4415.310636946354
2023-01,4868.11537683368
2023-02,4653.802684150673
2023-03,4675.31431674494
2023-04,4614.47026942143
2023-05,4282.7579285564625
2023-06,4271.622868216726
