Date,MSCI CHINA H
2004-12,955.0524383816278
2005-01,947.2693066285591
2005-02,1034.975458357229
2005-03,964.5056533082582
2005-04,955.2501251905683
2005-05,952.8754222065132
2005-06,1008.5262987643639
2005-07,1089.9361080176193
2005-08,1060.8186917084108
2005-09,1104.798766806911
2005-10,995.9577427844573
2005-11,1055.9796652938069
2005-12,1119.911652871984
2006-01,1300.2383894117017
2006-02,1359.5655002288422
2006-03,1401.3251081126652
2006-04,1453.2757664518474
2006-05,1417.7229131479455
2006-06,1420.5179290494282
2006-07,1432.4940663418163
2006-08,1441.083277147265
2006-09,1495.8617528784878
2006-10,1576.7914430467001
2006-11,1797.1664830608663
2006-12,2152.6502510938208
2007-01,1998.037640561487
2007-02,1936.8354421558556
2007-03,2013.316784739356
2007-04,2107.908387710691
2007-05,2272.834308507984
2007-06,2532.2934349460766
2007-07,2805.9939574736645
2007-08,3023.168824040527
2007-09,3640.6136466172097
2007-10,4250.271107172347
2007-11,3597.7039314910526
2007-12,3395.3000722656097
2008-01,2604.2114210523773
2008-02,2925.505361314926
2008-03,2503.5100530622262
2008-04,2930.230097813839
2008-05,2854.324358759217
2008-06,2482.1347463310817
2008-07,2599.3905254563424
2008-08,2421.4604856398514
2008-09,1904.0673689265448
2008-10,1396.683239087987
2008-11,1518.6809119872862
2008-12,1667.5973041964698
2009-01,1512.6457058825
2009-02,1464.0582657908267
2009-03,1717.563633573396
2009-04,1946.7640813990163
2009-05,2260.2437750584254
2009-06,2370.5520469084004
2009-07,2634.8030326773687
2009-08,2457.4604058037257
2009-09,2585.068750233439
2009-10,2779.1589992349464
2009-11,2835.443624135224
2009-12,2798.97417961415
2010-01,2523.996925357315
2010-02,2541.613817549199
2010-03,2721.652287641641
2010-04,2688.6320407322405
2010-05,2564.2257589835835
2010-06,2573.87094328103
2010-07,2684.7849919651317
2010-08,2572.1296759437328
2010-09,2821.89604791397
2010-10,2997.3203333446495
2010-11,2923.563217859943
2010-12,2892.5034203792684
2011-01,2858.2686701369894
2011-02,2839.6858619343484
2011-03,3018.961586288419
2011-04,3025.2735798587187
2011-05,3024.5365069756567
2011-06,2906.7914325942593
2011-07,2849.2163334343327
2011-08,2524.2681065544234
2011-09,2053.168136980484
2011-10,2429.9068102736146
2011-11,2200.3899587254973
2011-12,2297.0668704218024
2012-01,2604.7307905565294
2012-02,2741.5645308022386
2012-03,2470.410830805571
2012-04,2562.7090818076026
2012-05,2272.0480675950093
2012-06,2296.5733261529804
2012-07,2324.217877819592
2012-08,2232.8583274539315
2012-09,2376.077894023583
2012-10,2566.025069298976
2012-11,2590.791575680075
2012-12,2780.142618732184
2013-01,2946.1398641252003
2013-02,2789.9869249318303
2013-03,2662.3288137022364
2013-04,2668.0254135165173
2013-05,2612.0196822343223
2013-06,2382.87398885242
2013-07,2478.0183836953224
2013-08,2514.7138229562024
2013-09,2650.3015288266847
2013-10,2725.980700943946
2013-11,2915.005181483359
2013-12,2755.706595566991
2014-01,2506.8401190801314
2014-02,2524.9933266298062
2014-03,2565.063453501155
2014-04,2490.9113619601926
2014-05,2622.680376251591
2014-06,2702.023533558042
2014-07,2947.27547361931
2014-08,2895.8442802161962
2014-09,2739.1878964649864
2014-10,2865.5968415815273
2014-11,2970.560642458689
2014-12,3189.229333291763
2015-01,3124.64197265459
2015-02,3234.3196876878274
2015-03,3289.070701233123
2015-04,3906.108945566431
2015-05,3837.7985123964236
2015-06,3601.0789851134264
2015-07,3090.0283315027295
2015-08,2708.37458689518
2015-09,2641.4366171652905
2015-10,2901.1861767050054
2015-11,2741.1199579543827
2015-12,2703.169240257844
2016-01,2304.9775087989715
2016-02,2224.0554058518387
2016-03,2534.6797278754416
2016-04,2520.83607857707
2016-05,2458.646934377884
2016-06,2558.018883250035
2016-07,2637.2470958496956
2016-08,2816.1369608507007
2016-09,2829.249206824168
2016-10,2814.920857945426
2016-11,2897.1173224739027
2016-12,2787.6455909789715
2017-01,2900.955121059981
2017-02,3057.840359577872
2017-03,3049.3081541014217
2017-04,3036.986223
2017-05,3136.662732
2017-06,3127.524529
2017-07,3322.372518
2017-08,3456.959012
2017-09,3372.710046
2017-10,3562.94446
2017-11,3538.820573
2017-12,3644.951697
2018-01,4212.426932
2018-02,3853.422316
2018-03,3731.030495
2018-04,3831.9914659951014
2018-05,3753.3375029284007
2018-06,3436.936107825963
2018-07,3515.1894656240443
2018-08,3444.4443243217665
2018-09,3509.5647228575617
2018-10,3219.2125639849714
2018-11,3369.6797400055884
2018-12,3210.409085966274
2019-01,3503.887249603204
2019-02,3648.6590346502617
2019-03,3589.333111131115
2019-04,3654.3503788630637
2019-05,3335.886797701133
2019-06,3542.6333394707785
2019-07,3462.8121719633364
2019-08,3253.6010935301188
2019-09,3310.8432011129057
2019-10,3411.4282327750984
2019-11,3354.7801521485376
2019-12,3629.914282975633
2020-01,3273.7109485777473
2020-02,3320.116690741245
2020-03,3105.9901845593877
2020-04,3202.2022020731006
2020-05,3049.302742358128
2020-06,3101.2307576611383
2020-07,3261.4869689965453
2020-08,3219.6655056841037
2020-09,3050.9485929894727
2020-10,3153.5035867634765
2020-11,3558.7169681086807
2020-12,3629.663074761513
2021-01,3694.4962901904637
2021-02,3803.584060478293
2021-03,3802.4318633446255
2021-04,3751.7901201088184
2021-05,3929.3637570433157
2021-06,3819.348331196245
2021-07,3627.6008502435275
2021-08,3713.187891044642
2021-09,3616.8702980977046
2021-10,3637.731962124019
2021-11,3489.6301111160105
2021-12,3547.036426555861
2022-01,3645.1791639323706
2022-02,3647.665094056726
2022-03,3523.371123631307
2022-04,3377.9870902868915
2022-05,3480.088456020821
2022-06,3561.5288627532645
2022-07,3311.4958174440385
2022-08,3249.512188736805
2022-09,2892.4910080043214
2022-10,2578.21215836201
2022-11,3190.466364998504
2022-12,3274.6179271875076
2023-01,3577.3015748866324
2023-02,3314.920974193083
2023-03,3425.9620193728338
2023-04,3575.6324937059685
2023-05,3349.8629895053996
2023-06,3420.9177345915455
