Date,CHINA A ONSHORE
2000-12,1726.930639
2001-01,1706.13816
2001-02,1613.857583
2001-03,1720.985925
2001-04,1694.474311
2001-05,1705.615968
2001-06,1693.635714
2001-07,1475.054121
2001-08,1412.084525
2001-09,1368.127153
2001-10,1317.002316
2001-11,1352.29447
2001-12,1279.392265
2002-01,1160.914977
2002-02,1184.989944
2002-03,1251.997733
2002-04,1286.408322
2002-05,1181.947862
2002-06,1363.288864
2002-07,1304.384715
2002-08,1310.954284
2002-09,1239.4438
2002-10,1183.402945
2002-11,1126.347492
2002-12,1068.520614
2003-01,1169.139998
2003-02,1173.800701
2003-03,1168.325346
2003-04,1184.247369
2003-05,1237.504351
2003-06,1150.504998
2003-07,1151.665966
2003-08,1112.834332
2003-09,1065.93979
2003-10,1044.913525
2003-11,1072.318167
2003-12,1122.630184
2004-01,1202.70558
2004-02,1272.996699
2004-03,1305.332388
2004-04,1166.504222
2004-05,1137.472537
2004-06,1017.847536
2004-07,1025.221115
2004-08,988.756238
2004-09,1041.007566
2004-10,987.474874
2004-11,1000.0
2004-12,943.3814646390418
2005-01,900.5084245339797
2005-02,979.3334170145197
2005-03,887.8354910799056
2005-04,879.982693689767
2005-05,809.3458675987313
2005-06,827.8757617840586
2005-07,857.3289959688062
2005-08,904.3839805351676
2005-09,894.3001865427249
2005-10,851.5119442484454
2005-11,847.5064375652855
2005-12,902.6459304916924
2006-01,985.8886832783301
2006-02,1032.4089350513998
2006-03,1045.389298488083
2006-04,1162.9991697987432
2006-05,1363.6888975634924
2006-06,1411.257886844209
2006-07,1321.8418687924595
2006-08,1367.6187879540373
2006-09,1443.484191760006
2006-10,1516.5824096037002
2006-11,1783.0822474471786
2006-12,2128.09112867735
2007-01,2480.955138507482
2007-02,2667.750769357822
2007-03,2927.2360364430965
2007-04,3764.3065925783408
2007-05,4209.6194325010065
2007-06,4049.4313418478755
2007-07,4833.002560164963
2007-08,5653.444369924601
2007-09,5964.949706469718
2007-10,6066.5524308223685
2007-11,5108.680786217415
2007-12,5867.576661674415
2008-01,5269.680728242714
2008-02,5417.303433412947
2008-03,4444.06581270057
2008-04,4612.284628557735
2008-05,4254.606356806579
2008-06,3360.897044295679
2008-07,3443.678024317377
2008-08,2888.8484961214754
2008-09,2696.580584065505
2008-10,2020.109305953736
2008-11,2244.176325540188
2008-12,2243.5935309353263
2009-01,2488.6646542105827
2009-02,2631.721884005648
2009-03,3071.4309470556054
2009-04,3228.1316270882453
2009-05,3391.942286138183
2009-06,3872.2322607139445
2009-07,4540.7052327265865
2009-08,3497.5306739420207
2009-09,3708.6636919716398
