Date,MSCI CHINA A INTERNATIONAL
2008-11,995.9097495573611
2008-12,969.689121099537
2009-01,1051.0079205326685
2009-02,1096.7691981245375
2009-03,1249.1819546338854
2009-04,1313.3178882791253
2009-05,1363.8189058273772
2009-06,1594.0377270807826
2009-07,1884.3470680109172
2009-08,1423.903709813647
2009-09,1513.5709824091243
2009-10,1634.164941610929
2009-11,1734.849306935406
2009-12,1769.6186412158495
2010-01,1559.3349313682481
2010-02,1586.2790018452304
2010-03,1618.2537163035681
2010-04,1478.3795251604124
2010-05,1335.0035900425241
2010-06,1261.2654566232045
2010-07,1406.0568562532746
2010-08,1396.789838563403
2010-09,1431.6943393862919
2010-10,1658.11692486353
2010-11,1530.0392937262347
2010-12,1552.858017859485
2011-01,1541.8789424819254
2011-02,1605.7042953005512
2011-03,1612.6239781119039
2011-04,1620.9441289013644
2011-05,1536.143509574811
2011-06,1580.2885137974256
2011-07,1542.7582635841395
2011-08,1486.4846510254717
2011-09,1362.0672491380985
2011-10,1434.1228366998223
2011-11,1337.6625120901906
2011-12,1286.2491137916609
2012-01,1351.8232136549968
2012-02,1432.3839140904931
2012-03,1337.6584926637502
2012-04,1426.0666057288693
2012-05,1410.5153267839314
2012-06,1350.2496670186056
2012-07,1295.428517024151
2012-08,1225.5227266151076
2012-09,1289.4260069092406
2012-10,1281.0338830878302
2012-11,1228.0952662406487
2012-12,1434.0117615711365
2013-01,1514.7124603236016
2013-02,1502.0857901591644
2013-03,1407.0282271570466
2013-04,1391.2672162161928
2013-05,1479.1026610615725
2013-06,1276.3304319403985
2013-07,1285.7690586045985
2013-08,1357.2345789417272
2013-09,1412.2842171364687
2013-10,1396.5802937898743
2013-11,1439.7668165078685
2013-12,1386.572883387836
2014-01,1312.8762800211375
2014-02,1277.036903404178
2014-03,1243.5377403722828
2014-04,1240.517319954166
2014-05,1241.8882512954683
2014-06,1268.5032489662372
2014-07,1400.7760655174357
2014-08,1399.7270957075825
2014-09,1464.969075074583
2014-10,1510.2500795892022
2014-11,1673.816110589792
2014-12,2058.9012785647333
2015-01,2000.750366312827
2015-02,2076.5862177446584
2015-03,2391.7125588025915
2015-04,2844.589667170824
2015-05,2902.767648906501
2015-06,2674.7336997805824
2015-07,2293.773608474415
2015-08,1969.388522430203
2015-09,1871.2873208328851
2015-10,2087.447821561537
2015-11,2074.2940278707165
2015-12,2109.174622859977
2016-01,1610.155167782375
2016-02,1582.1012729849183
2016-03,1799.2275971476377
2016-04,1747.24656422202
2016-05,1720.7163075931028
2016-06,1719.7808766111086
2016-07,1766.4369874353079
2016-08,1826.7220636215693
2016-09,1782.628573733042
2016-10,1800.7501076284184
2016-11,1863.5402732318282
2016-12,1738.03708222934
2017-01,1793.6762346012788
2017-02,1837.0522608634742
2017-03,1827.962521374123
2017-04,1818.2770432413906
2017-05,1843.400948
2017-06,1957.0737860654908
2017-07,2031.5473330270886
2017-08,2115.5586683902093
2017-09,2116.690457390803
2017-10,2195.453002955665
2017-11,2145.27421667129
2017-12,2187.3211078499153
2018-01,2374.046316231378
2018-02,2213.9068774477028
2018-03,2159.261334710188
2018-04,2055.9209783774713
2018-05,2037.2636924118574
2018-06,1826.5968853121726
2018-07,1790.9253401462345
2018-08,1681.3191597898701
2018-09,1722.0836095178006
2018-10,1551.355129591515
2018-11,1572.7644523371803
2018-12,1526.149094774634
2019-01,1656.9998167881108
2019-02,1893.9367884075798
2019-03,1997.705092368823
2019-04,2000.382908469147
2019-05,1823.461148377384
2019-06,1929.270585384322
2019-07,1940.2997324725627
2019-08,1869.388582679236
2019-09,1877.3752800451002
2019-10,1935.7548506978378
2019-11,1913.2085250107543
2019-12,2068.236090115384
2020-01,2055.5595390337407
2020-02,2026.0786013773745
2020-03,1878.3322623365068
2020-04,2011.9645031965008
2020-05,1976.206892201457
2020-06,2176.2069594459
2020-07,2506.08747850455
2020-08,2619.9338323109364
2020-09,2495.7510716371453
2020-10,2583.827723049523
2020-11,2746.7046787228387
2020-12,2942.283464261657
2021-01,3062.3341023078783
2021-02,3028.2392939658243
2021-03,2833.4723621831276
2021-04,2951.985871851405
2021-05,3148.4830530354943
2021-06,3102.3472385487016
2021-07,2911.772715297525
2021-08,2932.453831685155
2021-09,2967.2907575169434
2021-10,3031.7490463300483
2021-11,3028.143429
2021-12,3057.063238622678
2022-01,2792.4333004687855
2022-02,2867.520252583019
2022-03,2617.1209710985545
2022-04,2371.8738747968837
2022-05,2437.849761282928
2022-06,2674.7316274944465
2022-07,2513.8309529254866
2022-08,2412.636628525293
2022-09,2194.0380699595626
2022-10,1992.5587725806117
2022-11,2218.6568694663715
2022-12,2269.3247001459495
2023-01,2494.2132545633463
2023-02,2391.3905776384354
2023-03,2389.5343445162193
2023-04,2341.144647724648
2023-05,2168.3739422558483
2023-06,2146.924824543322
