Date,SWEDEN
1969-12,100.0
1970-01,96.232
1970-02,90.238
1970-03,92.891
1970-04,83.629
1970-05,77.98
1970-06,83.57
1970-07,91.045
1970-08,85.35
1970-09,83.328
1970-10,74.867
1970-11,81.398
1970-12,80.997
1971-01,87.038
1971-02,91.263
1971-03,94.244
1971-04,91.332
1971-05,94.607
1971-06,95.675
1971-07,96.383
1971-08,97.707
1971-09,95.569
1971-10,99.916
1971-11,106.831
1971-12,110.354
1972-01,115.011
1972-02,114.026
1972-03,122.696
1972-04,125.091
1972-05,120.475
1972-06,121.916
1972-07,124.874
1972-08,130.463
1972-09,129.636
1972-10,128.127
1972-11,132.158
1972-12,128.963
1973-01,134.752
1973-02,143.466
1973-03,139.036
1973-04,142.0
1973-05,151.015
1973-06,158.577
1973-07,161.244
1973-08,148.902
1973-09,149.063
1973-10,152.651
1973-11,133.981
1973-12,132.635
1974-01,136.059
1974-02,147.977
1974-03,160.909
1974-04,167.375
1974-05,153.328
1974-06,149.896
1974-07,155.679
1974-08,140.17
1974-09,136.975
1974-10,148.728
1974-11,143.548
1974-12,148.224
1975-01,164.568
1975-02,181.243
1975-03,177.362
1975-04,184.416
1975-05,179.825
1975-06,187.699
1975-07,178.613
1975-08,170.919
1975-09,172.994
1975-10,182.087
1975-11,176.827
1975-12,179.603
1976-01,188.434
1976-02,189.497
1976-03,191.654
1976-04,211.48
1976-05,201.303
1976-06,199.603
1976-07,200.809
1976-08,189.691
1976-09,187.817
1976-10,172.954
1976-11,179.708
1976-12,191.066
1977-01,173.117
1977-02,192.93
1977-03,195.639
1977-04,185.828
1977-05,181.111
1977-06,162.762
1977-07,160.847
1977-08,137.311
1977-09,147.71
1977-10,141.626
1977-11,133.717
1977-12,150.266
1978-01,164.25
1978-02,162.1
1978-03,173.624
1978-04,181.728
1978-05,175.859
1978-06,180.253
1978-07,196.917
1978-08,201.665
1978-09,191.774
1978-10,194.859
1978-11,181.326
1978-12,186.227
1979-01,199.742
1979-02,189.923
1979-03,190.403
1979-04,180.045
1979-05,179.524
1979-06,180.558
1979-07,188.019
1979-08,184.97
1979-09,187.553
1979-10,181.596
1979-11,184.85
1979-12,191.13
1980-01,202.47
1980-02,199.604
1980-03,187.243
1980-04,203.241
1980-05,202.831
1980-06,206.017
1980-07,207.023
1980-08,199.255
1980-09,200.186
1980-10,216.118
1980-11,230.334
1980-12,234.699
1981-01,220.912
1981-02,253.759
1981-03,275.34
1981-04,256.312
1981-05,263.994
1981-06,290.605
1981-07,299.016
1981-08,304.074
1981-09,266.203
1981-10,299.622
1981-11,335.855
1981-12,325.482
1982-01,316.668
1982-02,310.832
1982-03,295.229
1982-04,289.668
1982-05,300.13
1982-06,288.773
1982-07,309.009
1982-08,306.914
1982-09,331.796
1982-10,322.701
1982-11,379.391
1982-12,404.795
1983-01,458.192
1983-02,550.518
1983-03,551.268
1983-04,636.953
1983-05,630.175
1983-06,591.435
1983-07,636.844
1983-08,642.653
1983-09,630.204
1983-10,613.199
1983-11,638.723
1983-12,608.355
1984-01,656.599
1984-02,663.962
1984-03,692.431
1984-04,640.856
1984-05,572.889
1984-06,587.514
1984-07,584.714
1984-08,575.501
1984-09,537.658
1984-10,523.388
1984-11,489.816
1984-12,480.136
1985-01,523.688
1985-02,487.023
1985-03,504.261
1985-04,512.512
1985-05,491.943
1985-06,486.177
1985-07,538.286
1985-08,529.344
1985-09,555.817
1985-10,604.213
1985-11,702.319
1985-12,760.231777
1986-01,770.978483
1986-02,864.418149
1986-03,964.213017
1986-04,1076.005297
1986-05,1092.290592
1986-06,1152.765228
1986-07,1202.598649
1986-08,1232.828784
1986-09,1213.99404
1986-10,1270.507449
1986-11,1256.10723
1986-12,1267.361397
1987-01,1153.507686
1987-02,1339.608557
1987-03,1413.5758
1987-04,1526.205568
1987-05,1441.61572
1987-06,1464.978437
1987-07,1562.198747
1987-08,1626.079389
1987-09,1680.448576
1987-10,1386.267241
1987-11,1236.322481
1987-12,1301.349587
1988-01,1429.548947
1988-02,1484.12575
1988-03,1589.162999
1988-04,1635.735841
1988-05,1680.313152
1988-06,1600.166537
1988-07,1640.252059
1988-08,1549.855316
1988-09,1644.267753
1988-10,1792.9287
1988-11,1846.992746
1988-12,1943.966754
1989-01,2034.028531
1989-02,2103.403022
1989-03,2159.577435
1989-04,2178.591163
1989-05,2150.63
1989-06,2274.825556
1989-07,2546.832747
1989-08,2517.026636
1989-09,2483.402217
1989-10,2320.58673
1989-11,2302.506419
1989-12,2577.27015
1990-01,2566.893598
1990-02,2449.933604
1990-03,2356.37625
1990-04,2419.53183
1990-05,2737.568427
1990-06,2890.282078
1990-07,3021.337911
1990-08,2623.572429
1990-09,2062.205614
1990-10,2164.123075
1990-11,1997.956299
1990-12,2052.069187
1991-01,2376.343072
1991-02,2564.177579
1991-03,2466.196544
1991-04,2320.022797
1991-05,2504.127575
1991-06,2427.964059
1991-07,2531.593508
1991-08,2500.442195
1991-09,2428.777148
1991-10,2372.109828
1991-11,2252.436207
1991-12,2368.8787113999997
1992-01,2369.9765146
1992-02,2311.4512473
1992-03,2418.5226484
1992-04,2398.4161395
1992-05,2549.5330516
1992-06,2464.6721316999997
1992-07,2400.9473930999998
1992-08,2258.7166231
1992-09,2009.9374202
1992-10,1831.575862
1992-11,2090.8156738
1992-12,2048.1580469
1993-01,1956.3957200000002
1993-02,2029.7618439999999
1993-03,2051.0861609999997
1993-04,2254.0533219999998
1993-05,2491.483551
1993-06,2319.3631929999997
1993-07,2383.171694
1993-08,2605.9641100000003
1993-09,2647.0300629999997
1993-10,2896.0339975527204
1993-11,2551.050361157364
1993-12,2818.324274608736
1994-01,3304.3166043723404
1994-02,3149.2779129980368
1994-03,2955.3209986545758
1994-04,3198.3653169191916
1994-05,3155.3931343346967
1994-06,2991.8961470570266
1994-07,3191.990459975911
1994-08,3177.8006303215857
1994-09,3188.948403359071
1994-10,3494.78638053747
1994-11,3400.1616714835145
1994-12,3348.0897109350003
1995-01,3368.1915436172494
1995-02,3427.1678914246645
1995-03,3374.004882458212
1995-04,3682.3877660553485
1995-05,3737.9310779058774
1995-06,3905.6819285626857
1995-07,4178.863115162811
1995-08,4068.9214984442224
1995-09,4632.482271504112
1995-10,4436.545896733956
1995-11,4590.135530460723
1995-12,4488.895858016546
1996-01,4381.648586426169
1996-02,4812.137805912031
1996-03,4926.102338774258
1996-04,4874.912480498603
1996-05,5094.046489023819
1996-06,5164.636572973013
1996-07,4954.957896723355
1996-08,5288.383946889226
