Date,PAKISTAN GROWTH
2017-05,1000.0
2017-06,966.7659873333436
2017-07,853.60862
2017-08,693.718006
2017-09,704.60849
2017-10,624.258055
2017-11,629.008687
2017-12,634.998502
2018-01,684.139208
2018-02,667.722894
2018-03,713.424771
2018-04,683.1274858680903
2018-05,601.0713798914223
2018-06,549.1172591584508
2018-07,575.4951756577202
2018-08,528.5695574447119
2018-09,523.846211445228
2018-10,476.09172299167955
2018-11,457.9487087988055
2018-12,411.4172631029291
2019-01,468.0594548208382
2019-02,441.6488673437835
2019-03,431.23922486977574
2019-04,414.2947547277642
2019-05,379.60656109358484
2019-06,338.3433140339499
2019-07,346.94558480924053
2019-08,334.5836529519092
2019-09,351.9690256323895
2019-10,374.36000538178655
2019-11,434.39818136932934
2019-12,452.91023804271026
2020-01,467.78778295827476
2020-02,440.2656977102091
2020-03,302.98520247143944
2020-04,331.5584806655301
2020-05,305.56622706492635
2020-06,314.71329958306563
2020-07,371.24784004569284
2020-08,385.3549124339689
2020-09,382.3865278679017
2020-10,386.2702268638477
2020-11,400.2273699184859
2020-12,408.8575495518372
2021-01,434.8602966397276
2021-02,392.00350973929847
2021-03,397.3913686580729
2021-04,410.9239130759373
2021-05,441.7245588460092
2021-06,402.61059848638354
2021-07,400.44625272374014
2021-08,371.609727711843
2021-09,320.71432162701683
2021-10,341.9938364096615
2021-11,311.72855584339555
