Date,MSCI QATAR DOMESTIC
2005-05,774.5124814
2005-06,923.7939263
2005-07,891.1041074
2005-08,1102.298103
2005-09,1161.120337
2005-10,1160.939325
2005-11,1000.0
2005-12,1031.1096432620905
2006-01,972.0111894229018
2006-02,796.0233396655527
2006-03,828.7953847930238
2006-04,827.1146954614535
2006-05,709.2168393144797
2006-06,690.7410570317007
2006-07,719.2743939972274
2006-08,702.5854277092112
2006-09,673.4783022755965
2006-10,653.783900782608
2006-11,536.396950896023
2006-12,625.7742550325838
2007-01,564.5609885403121
2007-02,558.6967837232402
2007-03,556.5804208406815
2007-04,593.6440458168371
2007-05,676.6621082585722
2007-06,677.6693508258585
2007-07,700.9105886131463
2007-08,688.3430776686517
2007-09,741.5886594312145
2007-10,867.9993962769863
2007-11,867.0607619407247
2007-12,888.5996884699409
2008-01,879.3440340782422
2008-02,971.6996080354539
2008-03,905.3481911112528
2008-04,1087.7987703568838
2008-05,1150.617942434787
2008-06,1140.0614976266793
2008-07,1114.4967715525268
2008-08,986.8372249902343
2008-09,881.6402901457712
2008-10,643.6018093000924
2008-11,539.1679339998477
2008-12,652.243543642505
2009-01,500.55148617
2009-02,435.3159676705661
2009-03,494.90686690306615
2009-04,572.6095290078314
2009-05,664.9482943191282
2009-06,668.659200627375
2009-07,699.8289314559114
2009-08,743.2912447705246
2009-09,771.7525153162237
2009-10,744.914489765094
2009-11,750.2538671708703
2009-12,724.5327266685945
2010-01,693.1603982578573
2010-02,740.864325158972
2010-03,807.1067700018749
2010-04,836.8445320316871
2010-05,750.7672464443752
2010-06,758.6442711629297
2010-07,774.9413742589946
2010-08,800.4093451784966
2010-09,857.772173946519
2010-10,872.6973585729413
2010-11,913.932622386357
2010-12,973.9273797741489
2011-01,965.6434730710974
2011-02,901.465601425339
2011-03,984.2635457675115
2011-04,1007.0541796201768
2011-05,983.7817086578298
2011-06,979.5555624631887
2011-07,983.9828359253273
2011-08,989.8906905140686
2011-09,994.8730506368765
2011-10,1022.3933867015539
2011-11,1020.5417334118581
2011-12,1041.6121217892248
2012-01,1016.2005656991984
2012-02,1050.567309469875
2012-03,1070.2293630120848
2012-04,1064.487151887785
2012-05,1037.3244393876753
2012-06,998.733710457747
2012-07,1020.608715128599
2012-08,1043.0137222528376
2012-09,1045.2072733795126
2012-10,1052.251952145542
2012-11,1038.2152075386232
2012-12,1029.3546968329313
2013-01,1090.2283911931845
2013-02,1082.790357863868
2013-03,1111.2023493078507
2013-04,1136.3110596582253
2013-05,1190.538616556845
2013-06,1197.9182930697582
2013-07,1245.9070603971543
2013-08,1221.1273904893255
2013-09,1212.620747480148
2013-10,1230.639527477464
2013-11,1301.9245727270793
2013-12,1299.598236766321
2014-01,1381.9759456256218
2014-02,1495.0179457097383
2014-03,1497.0714996532204
2014-04,1602.2639021603582
2014-05,1772.2793507705076
2014-06,1487.8974512650875
2014-07,1651.6741676309914
2014-08,1723.1849729435232
2014-09,1757.5894020349028
2014-10,1755.4050490221475
2014-11,1753.5557935375098
2014-12,1627.3077357021896
2015-01,1574.7514035206827
2015-02,1650.819477567958
2015-03,1592.5806115087325
2015-04,1635.2026918361357
2015-05,1551.143634140609
2015-06,1598.85785426543
2015-07,1533.448258073989
