Date,MSCI VIETNAM
2006-11,581.9075713480098
2006-12,861.277784072834
2007-01,1280.5334543288357
2007-02,1290.4138342326441
2007-03,1100.938445906993
2007-04,930.5627906347305
2007-05,1124.4272214647767
2007-06,1008.7105390335388
2007-07,866.3022423321878
2007-08,842.1498258597834
2007-09,1021.1207272573788
2007-10,1082.6371119328758
2007-11,1000.0
2007-12,985.5733293107282
2008-01,906.9151493483212
2008-02,692.8338682323691
2008-03,549.1579934708667
2008-04,571.0903308905944
2008-05,435.3210268119462
2008-06,423.16504107012565
2008-07,529.1544687803454
2008-08,655.0603075796644
2008-09,565.5324759526924
2008-10,438.59749416769375
2008-11,399.45650335781306
2008-12,423.2353598890325
2009-01,395.72696442476865
2009-02,302.6369109342907
2009-03,343.5331171275731
2009-04,401.8863186100472
2009-05,468.8845153172696
2009-06,486.02091888371183
2009-07,532.3591805467265
2009-08,620.3383069317382
2009-09,637.8670489423314
2009-10,656.5970343805751
2009-11,570.7544042768499
2009-12,557.5530079536171
2010-01,548.8793364266335
2010-02,549.3825058832356
2010-03,543.1314915347377
2010-04,591.2723356079597
2010-05,566.2715580060259
2010-06,577.9288874779933
2010-07,563.9634143221722
2010-08,533.4887005888987
2010-09,524.8955311789306
2010-10,554.4479477840572
2010-11,564.8370696551467
2010-12,615.407813528377
2011-01,658.3048770424775
2011-02,560.7596966506451
2011-03,580.3851500729772
2011-04,596.609475895738
2011-05,524.0903474998631
2011-06,558.1920592301451
2011-07,514.9344256152441
2011-08,511.2228030239125
2011-09,486.6193934105369
2011-10,468.8842219819362
2011-11,401.7649836707586
2011-12,380.6658822429114
2012-01,431.28058168927134
2012-02,469.30135346823636
2012-03,470.98790983846555
2012-04,503.6474704343569
2012-05,481.63642952719204
2012-06,476.5203404647319
2012-07,467.6235430940078
2012-08,433.99746601742095
2012-09,437.6550556570484
2012-10,422.1510928614502
2012-11,405.3619927559601
2012-12,452.46728727453234
2013-01,539.3182848417954
2013-02,518.5504234646154
2013-03,522.9225458948622
2013-04,490.3312166822031
2013-05,524.0933857087953
2013-06,464.84476426290564
2013-07,465.2316954642143
2013-08,452.4242791947805
2013-09,470.95041473800205
2013-10,487.8489636043226
2013-11,487.38346624676035
2013-12,484.9774858675628
2014-01,546.8386715977125
2014-02,579.1277509894472
2014-03,564.7614788640495
2014-04,542.1502992021061
2014-05,551.2665748544655
2014-06,535.5358484232753
2014-07,557.0325777891774
2014-08,595.9777570297726
2014-09,552.5649576350077
2014-10,548.5984451027791
2014-11,521.4600394688036
2014-12,511.99156193243505
2015-01,522.8921831118869
2015-02,538.1478432273506
2015-03,488.1420526912704
2015-04,501.29673816456335
2015-05,502.5170281480979
2015-06,533.1574066673251
2015-07,554.2278195658553
2015-08,485.5886195823897
2015-09,473.65162606130366
2015-10,508.39016780638815
2015-11,460.4718739368233
2015-12,484.46945844395134
2016-01,459.3498514345824
2016-02,438.6887270079232
2016-03,446.13635721977926
2016-04,480.59297142814074
2016-05,484.0164251511688
2016-06,495.1617124389241
2016-07,508.51170204393935
2016-08,511.3520013228173
2016-09,498.62149638104125
2016-10,485.2870643559149
2016-11,466.66584313704186
2016-12,446.72462335548335
2017-01,461.4763860711507
2017-02,466.8866800184639
2017-03,491.89137360554787
2017-04,491.895893
2017-05,491.04504
2017-06,505.06196
2017-07,504.091548
2017-08,518.527826
2017-09,540.546592
2017-10,581.467496
2017-11,683.483864
2017-12,736.470947
2018-01,812.920958
2018-02,810.973474
2018-03,866.039208
2018-04,789.5097508564086
2018-05,714.6443428084573
2018-06,716.9452446065305
2018-07,709.5026090676528
2018-08,712.1739312763066
2018-09,725.7730883643926
2018-10,653.9356881713222
2018-11,672.9128259916162
2018-12,642.8925187777523
2019-01,668.1635526185994
2019-02,725.3103063219412
2019-03,725.5370339890729
2019-04,722.2476722780999
2019-05,705.8802638508474
2019-06,698.1777095811407
2019-07,726.1985638311922
2019-08,720.0561059249959
2019-09,728.0269566012556
2019-10,725.7368168561622
2019-11,712.2895533459999
2019-12,693.3028428810309
2020-01,669.3433969260527
2020-02,623.8859861904435
2020-03,478.35340436621726
2020-04,553.2803127526167
2020-05,631.954142879771
2020-06,605.8825623022731
2020-07,593.9635008917148
2020-08,639.679417720945
2020-09,656.5774125375544
2020-10,700.1331658009931
2020-11,738.30987454464
2020-12,796.9561516101089
2021-01,772.4571110225231
2021-02,834.6300191085651
2021-03,833.6750245049211
2021-04,900.7487269516404
2021-05,931.2696816912014
2021-06,977.4867727709536
2021-07,917.3090550147487
2021-08,934.4677083632545
2021-09,946.2000473321252
2021-10,1004.0230984712567
2021-11,991.7788273012487
2021-12,994.508737424612
2022-01,951.9661521903888
2022-02,924.0448454655525
2022-03,912.6498288679828
2022-04,844.8064672781751
2022-05,782.1267089136368
2022-06,721.877444958004
2022-07,710.6211363957792
2022-08,744.5629897030783
2022-09,649.8723008743802
2022-10,558.3213649237932
2022-11,585.2932700691425
2022-12,558.1681241033187
2023-01,618.9497734741443
2023-02,548.9653501258639
2023-03,584.5827818527287
2023-04,568.3911275078201
2023-05,571.2335291610339
2023-06,603.2503650082763
