Date,MSCI KENYA
2002-05,90.2019232009335
2002-06,92.2720718145753
2002-07,93.53292454282649
2002-08,93.34926916284462
2002-09,95.7455561705628
2002-10,101.42174175886728
2002-11,112.9264219161366
2002-12,137.28426385716108
2003-01,145.90474856097026
2003-02,166.87861385555564
2003-03,182.24420678124673
2003-04,222.61805754449
2003-05,226.7030544440987
2003-06,223.70183900349087
2003-07,242.37346117946203
2003-08,259.7006984786329
2003-09,315.15754878549495
2003-10,346.7051029736015
2003-11,455.2182797874986
2003-12,460.83095789483446
2004-01,497.303936683505
2004-02,526.9060518929152
2004-03,434.70459090913175
2004-04,429.42136279270716
2004-05,398.84064606526096
2004-06,373.8001822697741
2004-07,390.7955743198018
2004-08,407.4914597636744
2004-09,407.27812182979795
2004-10,405.7328662246504
2004-11,442.57957468548295
2004-12,405.53609050017354
2005-01,440.4475513252625
2005-02,438.11296654142524
2005-03,461.34611905724535
2005-04,467.3238589655836
2005-05,527.8085974935494
2005-06,578.287632233432
2005-07,594.044480080048
2005-08,585.1589345602755
2005-09,587.9331148824459
2005-10,584.4072635867142
2005-11,579.5662986595286
2005-12,594.5441205014515
2006-01,622.6424108476024
2006-02,596.4670646010547
2006-03,634.8328428496036
2006-04,639.9155591399111
2006-05,677.2418735245085
2006-06,657.5696882731093
2006-07,648.0952587690933
2006-08,698.5239553712826
2006-09,751.8989092668301
2006-10,817.9635542522245
2006-11,885.8280528507672
2006-12,918.1011229796259
2007-01,914.5031782438392
2007-02,823.9181310660267
2007-03,846.7534479253592
2007-04,871.677201746992
2007-05,875.0070822768897
2007-06,941.9488128531834
2007-07,952.4992840319434
2007-08,977.29715058876
2007-09,948.3447450009331
2007-10,871.5035577361728
2007-11,1000.0
2007-12,1034.777298549848
2008-01,821.8026434873142
2008-02,928.7726937607025
2008-03,975.9801145580041
2008-04,1127.926781726107
2008-05,1157.4818688876
2008-06,1121.8934723318432
2008-07,1044.3293388576346
2008-08,957.3686694539643
2008-09,811.4106342248402
2008-10,578.9282899252227
2008-11,605.9460736494078
2008-12,650.1949777697016
2009-01,584.7693522679812
2009-02,445.8677107924636
2009-03,536.4449350641293
2009-04,535.5118647080361
2009-05,540.0646340642613
2009-06,670.1616025702292
2009-07,682.04889052493
2009-08,653.045099987931
2009-09,659.4065743307333
2009-10,664.5991084562734
2009-11,698.7903633239156
2009-12,695.2287736384142
2010-01,757.0083810334145
2010-02,744.953849684177
2010-03,784.7674273878065
2010-04,840.0746873763756
2010-05,826.6320928985504
2010-06,838.5906025758519
2010-07,865.4715549141092
2010-08,831.4391208522221
2010-09,879.9857819721207
2010-10,942.1491350381625
2010-11,908.9285613967037
