Date,JAPAN
1969-12,100.0
1970-01,98.486
1970-02,99.768
1970-03,103.893
1970-04,91.389
1970-05,89.027
1970-06,90.73
1970-07,90.997
1970-08,90.094
1970-09,89.131
1970-10,90.358
1970-11,87.839
1970-12,88.621
1971-01,93.552
1971-02,97.927
1971-03,106.087
1971-04,111.659
1971-05,110.941
1971-06,121.637
1971-07,122.295
1971-08,114.296
1971-09,118.163
1971-10,113.602
1971-11,121.595
1971-12,137.317
1972-01,148.362
1972-02,161.969
1972-03,170.436
1972-04,179.437
1972-05,194.676
1972-06,202.531
1972-07,219.908
1972-08,225.42
1972-09,235.724
1972-10,243.398
1972-11,286.819
1972-12,311.61
1973-01,316.923
1973-02,343.744
1973-03,344.66
1973-04,306.562
1973-05,314.579
1973-06,320.233
1973-07,339.74
1973-08,323.753
1973-09,306.423
1973-10,304.958
1973-11,263.148
1973-12,248.746
1974-01,247.978
1974-02,257.623
1974-03,262.08
1974-04,266.083
1974-05,275.771
1974-06,266.144
1974-07,239.773
1974-08,213.469
1974-09,215.877
1974-10,197.977
1974-11,218.609
1974-12,209.823
1975-01,220.491
1975-02,252.746
1975-03,259.137
1975-04,259.907
1975-05,258.724
1975-06,261.687
1975-07,248.368
1975-08,237.442
1975-09,222.522
1975-10,246.591
1975-11,248.794
1975-12,251.691
1976-01,267.278
1976-02,269.243
1976-03,269.239
1976-04,271.07
1976-05,272.665
1976-06,286.394
1976-07,281.173
1976-08,291.125
1976-09,292.787
1976-10,277.544
1976-11,274.563
1976-12,316.493
1977-01,307.139
1977-02,322.995
1977-03,319.984
1977-04,325.998
1977-05,324.064
1977-06,336.973
1977-07,333.077
1977-08,350.798
1977-09,355.909
1977-10,362.999
1977-11,364.158
1977-12,366.883
1978-01,382.469
1978-02,397.108
1978-03,448.638
1978-04,445.94
1978-05,450.178
1978-06,492.62
1978-07,544.146
1978-08,536.195
1978-09,548.215
1978-10,590.943
1978-11,536.602
1978-12,562.876
1979-01,561.114
1979-02,539.673
1979-03,520.623
1979-04,504.627
1979-05,512.434
1979-06,515.972
1979-07,514.631
1979-08,516.715
1979-09,526.673
1979-10,485.976
1979-11,466.628
1979-12,496.216
1980-01,506.212
1980-02,486.583
1980-03,473.016
1980-04,511.674
1980-05,542.228
1980-06,563.458
1980-07,535.553
1980-08,571.234
1980-09,608.91
1980-10,623.786
1980-11,603.847
1980-12,646.327
1981-01,659.186
1981-02,649.877
1981-03,688.879
1981-04,739.109
1981-05,720.212
1981-06,745.687
1981-07,718.316
1981-08,746.25
1981-09,675.835
1981-10,675.275
1981-11,736.878
1981-12,748.906
1982-01,736.461
1982-02,677.925
1982-03,612.892
1982-04,667.537
1982-05,642.049
1982-06,603.422
1982-07,581.059
1982-08,584.441
1982-09,562.18
1982-10,564.382
1982-11,669.032
1982-12,745.128
1983-01,714.381
1983-02,726.244
1983-03,755.454
1983-04,771.539
1983-05,773.38
1983-06,798.034
1983-07,804.67
1983-08,794.793
1983-09,857.584
1983-10,853.453
1983-11,864.049
1983-12,930.699
1984-01,974.33
1984-02,971.488
1984-03,1146.853
1984-04,1121.909
1984-05,984.081
1984-06,988.759
1984-07,919.013
1984-08,997.884
1984-09,993.682
1984-10,1042.756
1984-11,1049.894
1984-12,1090.155
1985-01,1084.727
1985-02,1120.343
1985-03,1184.311
1985-04,1143.925
1985-05,1183.919
1985-06,1237.441
1985-07,1243.782
1985-08,1273.785
1985-09,1409.083
1985-10,1453.672
1985-11,1475.511
1985-12,1562.930148
1986-01,1606.351758
1986-02,1800.069167
1986-03,2186.500673
1986-04,2269.928277
1986-05,2255.175947
1986-06,2484.476816
1986-07,2813.222748
1986-08,3069.266232
1986-09,3146.093617
1986-10,2726.660525
1986-11,2907.688724
1986-12,3121.537601
1987-01,3623.894892
1987-02,3689.151414
1987-03,4093.600576
1987-04,4737.944523
1987-05,4729.599886
1987-06,4379.591703
1987-07,4226.543066
1987-08,4753.599898
1987-09,4585.845952
1987-10,4242.069558
1987-11,4411.900275
1987-12,4469.464333
1988-01,4710.546488
1988-02,5066.684015
1988-03,5448.909818
1988-04,5506.027912
1988-05,5257.740706
1988-06,5059.949905
1988-07,5292.34973
1988-08,4892.9644
1988-09,5104.077464
1988-10,5530.443908
1988-11,6022.382608
1988-12,6057.40136
1989-01,6075.768864
1989-02,6193.710435
1989-03,5977.84902
1989-04,5968.599172
1989-05,5630.98075
1989-06,5379.166374
1989-07,6093.169312
1989-08,5673.164859
1989-09,6035.171262
1989-10,5877.428607
1989-11,6177.71583
1989-12,6166.870642
1990-01,5796.374127
1990-02,5197.538728
1990-03,4190.129925
1990-04,4243.434385
1990-05,4851.234906
1990-06,4625.240058
1990-07,4563.313178
1990-08,4119.782795
1990-09,3446.086034
1990-10,4282.11218
1990-11,3768.10156
1990-12,3945.737677
1991-01,4058.455957
1991-02,4570.80112
1991-03,4287.105099
1991-04,4394.381283
1991-05,4374.715748
1991-06,4060.407598
1991-07,4186.462375
1991-08,3955.75247
1991-09,4301.770862
1991-10,4488.179067
1991-11,4171.75848
1991-12,4304.2714287
1992-01,4105.4207764
1992-02,3763.1850964
1992-03,3355.7749827999996
1992-04,3149.723835
1992-05,3402.2536737
1992-06,3091.7528118
1992-07,3056.935782
1992-08,3599.0977067
1992-09,3513.4254711999997
1992-10,3350.8556857999997
1992-11,3438.0039048
1992-12,3387.7639141
1993-01,3377.296285
1993-02,3524.124367
1993-03,4020.5198149999997
1993-04,4735.7801389999995
1993-05,4866.8814729999995
1993-06,4800.048624999999
1993-07,5104.726452
1993-08,5216.736604
1993-09,4969.421974
1993-10,4947.447584486699
1993-11,4126.95587396282
1993-12,4258.4427266353005
1994-01,4946.597299088547
1994-02,5173.4127886484075
1994-03,4952.746681692089
1994-04,5164.501638383178
1994-05,5278.173523879856
1994-06,5539.133421551581
1994-07,5340.836360356562
1994-08,5377.839938213329
1994-09,5245.729334288197
1994-10,5390.227324944261
1994-11,5119.628213068922
1994-12,5179.029192481011
1995-01,4877.628983664072
1995-02,4642.723935094573
1995-03,5070.677661816383
1995-04,5318.892628985861
1995-05,4989.770540974208
1995-06,4752.09059801447
1995-07,5131.042570446125
1995-08,4925.4295097335
1995-09,4967.86506356269
1995-10,4690.642429450993
1995-11,4968.914413662604
1995-12,5223.576305836692
1996-01,5155.537636288433
1996-02,5064.366198154018
1996-03,5243.706053052116
1996-04,5542.462326551777
1996-05,5257.827611562421
1996-06,5286.238213514739
1996-07,5050.131563191305
1996-08,4825.021234780036
1996-09,4992.782851957534
1996-10,4658.380905153209
1996-11,4747.816649212509
1996-12,4420.198344727512
1997-01,3939.6340570118773
1997-02,4032.208433092002
1997-03,3899.9040697357177
1997-04,4041.872755409312
1997-05,4488.853099399015
1997-06,4824.910882082127
1997-07,4678.480723575597
1997-08,4273.280785519379
1997-09,4209.230274416314
1997-10,3817.694892812424
1997-11,3583.905629407909
1997-12,3379.348538189783
