Date,MSCI KOREA
1987-12,100.0
1988-01,121.6494
1988-02,117.9944
1988-03,125.5675
1988-04,129.9209
1988-05,145.4103
1988-06,138.5154
1988-07,143.8017
1988-08,135.0531
1988-09,139.4195
1988-10,153.4275
1988-11,175.4372
1988-12,196.6162
1989-01,193.1145
1989-02,198.828
1989-03,217.4351
1989-04,201.5566
1989-05,198.6076
1989-06,182.932
1989-07,192.5552
1989-08,214.5417
1989-09,208.4601
1989-10,198.6415
1989-11,201.6907
1989-12,199.8763
1990-01,193.4903
1990-02,183.9578
1990-03,179.2101
1990-04,142.7391
1990-05,164.9531
1990-06,147.645
1990-07,140.921
1990-08,123.8358
1990-09,122.3125
1990-10,144.1804
1990-11,146.4447
1990-12,145.2355
1991-01,131.9754
1991-02,140.0477
1991-03,133.091
1991-04,132.8062
1991-05,126.7416
1991-06,125.1532
1991-07,156.9374
1991-08,144.8101
1991-09,149.5368
1991-10,142.9689
1991-11,131.164
1991-12,122.7341
1992-01,134.9958
1992-02,119.4426
1992-03,110.9959
1992-04,115.0567
1992-05,103.0482
1992-06,105.3944
1992-07,97.7882
1992-08,105.5604
1992-09,95.1207
1992-10,110.7437
1992-11,120.2614
1992-12,124.6529
1993-01,123.0029
1993-02,114.5305
1993-03,121.2972
1993-04,132.3788
1993-05,140.8007
1993-06,137.3341
1993-07,132.5513
1993-08,123.6536
1993-09,132.2874
1993-10,135.1267
1993-11,147.7723
1993-12,163.7603
1994-01,185.7678
1994-02,183.4537
1994-03,167.3401
1994-04,179.7524
1994-05,187.6688
1994-06,185.6359
1994-07,185.9246
1994-08,195.0586
1994-09,224.9186
1994-10,226.1268
1994-11,216.1001
1994-12,202.5255
1995-01,183.9577436688258
1995-02,180.03235887716136
1995-03,196.5512846969865
1995-04,196.8142428865533
1995-05,195.39892866374583
1995-06,198.5948890518167
1995-07,206.36081357412127
1995-08,199.21398390136605
1995-09,217.98399778414094
1995-10,221.70496542371188
1995-11,204.10481794199274
1995-12,195.79301315880264
1996-01,191.16939370371773
1996-02,187.82468254771925
1996-03,191.87252309016407
1996-04,214.22714815501726
1996-05,188.5299558598059
1996-06,167.2941988260753
1996-07,161.2191079292404
1996-08,152.68578926328615
1996-09,150.82070542882516
1996-10,141.34247014036248
1996-11,138.74261010980155
1996-12,121.12029883920727
1997-01,127.51323259372552
1997-02,121.38288057638007
1997-03,119.04159179406506
1997-04,123.17701563359607
1997-05,132.802342924739
1997-06,135.20140207376124
1997-07,130.26222001869908
1997-08,126.03462562852584
1997-09,113.56326172377
1997-10,78.06809899738451
1997-11,58.532403209528596
1997-12,40.37076858073615
1998-01,68.87210519970517
1998-02,64.65364331524735
1998-03,64.22899009555628
1998-04,62.566365334068315
1998-05,47.003724241170175
1998-06,42.631701054460656
1998-07,55.7827798897633
1998-08,46.55878652624483
1998-09,45.4076986006914
