Date,PAKISTAN VALUE
2017-05,1000.0
2017-06,911.4918339968991
2017-07,892.674945
2017-08,814.04557
2017-09,862.209578
2017-10,822.475071
2017-11,852.059976
2017-12,845.309841
2018-01,921.063783
2018-02,942.058568
2018-03,937.545567
2018-04,878.5997450964529
2018-05,820.8290340575329
2018-06,767.4083249635543
2018-07,760.2004711385348
2018-08,731.0821752091489
2018-09,730.3340062545734
2018-10,694.275532861892
2018-11,647.5602346691471
2018-12,561.7689497174623
2019-01,671.01702910025
2019-02,646.4315629447549
2019-03,633.2043469330855
2019-04,612.738806119591
2019-05,568.5317439646643
2019-06,510.03961158812064
2019-07,502.6105077348832
2019-08,433.57475081365436
2019-09,501.12203851117374
2019-10,539.1498334803017
2019-11,572.170746215019
2019-12,625.5109853137069
2020-01,621.422686618063
2020-02,553.5524543317284
2020-03,339.32189570652224
2020-04,433.7806260298295
2020-05,448.33289698501574
2020-06,430.4242138830572
2020-07,475.1667011502614
2020-08,485.19287891187366
2020-09,455.8545417301294
2020-10,446.71458237761715
2020-11,470.8510294244442
2020-12,496.38849139454857
2021-01,512.5040431910479
2021-02,501.83395366111785
2021-03,515.3906169237896
2021-04,475.17716535333005
2021-05,497.8463803410615
2021-06,449.2065237752779
2021-07,447.17077714029534
2021-08,437.1418353174622
2021-09,387.39849450604765
2021-10,438.3555842386096
2021-11,418.38205099581535
