Date,MAURITIUS
2002-05,99.61649056605555
2002-06,99.21020106027639
2002-07,110.34492910602899
2002-08,111.73082595040363
2002-09,112.38907849975381
2002-10,110.69738819179133
2002-11,112.85451939466867
2002-12,124.19302983429621
2003-01,155.40324958607852
2003-02,137.7345364458109
2003-03,142.99082623396083
2003-04,165.14164977586233
2003-05,169.85064365494173
2003-06,158.953891926125
2003-07,159.44613567742604
2003-08,155.90885525790904
2003-09,161.79412702768482
2003-10,175.70510533587336
2003-11,188.13468410453052
2003-12,206.21327703320162
2004-01,226.71330021512037
2004-02,230.06889394006515
2004-03,224.10523530569333
2004-04,228.89605894943935
2004-05,226.16954924833368
2004-06,225.78301170316516
2004-07,219.47714697607177
2004-08,210.54056957181044
2004-09,221.59367600334963
2004-10,233.3797666550882
2004-11,244.6570995370554
2004-12,255.08363415107803
2005-01,261.5542885608032
2005-02,262.0030369051004
2005-03,261.5662631303913
2005-04,260.27089030307985
2005-05,266.8313268324027
2005-06,270.45841602901396
2005-07,282.86603571509517
2005-08,304.7357652725504
2005-09,329.8927664001166
2005-10,328.157879394824
2005-11,329.19606424975643
2005-12,319.9706544962175
2006-01,325.47772683524516
2006-02,339.764585582096
2006-03,331.9493125246056
2006-04,319.4979387128683
2006-05,317.20531760247735
2006-06,330.71969254417587
2006-07,336.40598181630895
2006-08,362.2903641039315
2006-09,380.16981434676563
2006-10,457.40530532751427
2006-11,501.80515055048676
2006-12,515.4172905721978
2007-01,532.2536529481644
2007-02,569.2295546788224
2007-03,587.4389325062526
2007-04,627.225948789427
2007-05,652.0613273335271
2007-06,678.9794038227213
2007-07,696.3903405214938
2007-08,719.2378097232028
2007-09,812.5501629308893
2007-10,913.475665719423
2007-11,1000.0
2007-12,1092.356200549275
2008-01,1157.795759646459
2008-02,1225.5952912350522
2008-03,1192.7363275555167
2008-04,1215.735620951429
2008-05,1147.2339770073806
2008-06,1131.159727771177
2008-07,1109.1971897342864
2008-08,967.9606091408766
2008-09,944.5728458976756
2008-10,681.1661549134122
2008-11,575.2101559125333
2008-12,616.8620048722325
2009-01,566.3021840034262
2009-02,411.2984965011775
2009-03,511.878965209558
2009-04,542.6248001548776
2009-05,662.7756502590252
2009-06,714.5397353324672
2009-07,785.1704802892576
2009-08,785.9694325624674
2009-09,919.3990740048677
2009-10,929.5648570865479
2009-11,927.5469408172714
